akisooqalaartartorlu	akisooq-QAR-LAAR=TAR+TUQ<ental<Absolut+LU
akisooqalaartoq	akisooq-QAR-LAAR+TUQ<ental<Absolut
akisooqarnerlu	akisooq-QAR+NIQ<ental<Absolut+LU
akisooqassagaluartorli	akisooq-QAR-SSA=GALUAR<Participium<han+LI
akisooqassaaq	akisooq-QAR-SSA<Indikativ<han
aleqatununa	aleqa<ental<Aequalis+UNA
aleqaga	aleqa<ental<min<Absolut
aleqaginiarpakka	aleqa+GӘ+NIAR<Indikativ<JegDem
aleqaannaqalaarpununa	aleqa-INNAQ-QAR-LAAR<Indikativ<de+UNA
aleqallilli	aleqa-LIK<flertal<Absolut+LI
aleqalilerivunga	aleqa-LIK-LIRI<Indikativ<jeg
aleqaleriartorpunga	aleqa-LIRI+GIARTUR<Indikativ<jeg
aleqalerissagaluarpisi	aleqa-LIRI-SSA=GALUAR<Interrogativ<I
aleqamiulerippullu	aleqa+MIU-LIRI<Indikativ<de+LU
aleqamiulerisaraluarpisi	aleqa+MIU-LIRI+TAR=GALUAR<Interrogativ<I
aleqamiulerisarpugulli	aleqa+MIU-LIRI+TAR<Indikativ<vi+LI
aleqamiunngulaartarnerilli	aleqa+MIU-NNGUR-LAAR=TAR+NIQ<flertal<Relativ+LI
aleqamiunngulaartartoq	aleqa+MIU-NNGUR-LAAR=TAR<Participium<han
aleqamioqarnerli	aleqa+MIU-QAR+NIQ<ental<Absolut+LI
aleqamioqarnerlu	aleqa+MIU-QAR+NIQ<ental<Absolut+LU
aleqamiuusimalluni	aleqa+MIU-U+SIMA<Ledsagemåde<han_selv
aleqannguarli	aleqa-NNGUAQ<ental<Absolut+LI
aleqanngua	aleqa-NNGUAQ<ental<hans<Absolut
aleqannguili	aleqa-NNGUAQ<flertal<hans<Absolut+LI
aleqanngortaraluarlutinguna	aleqa-NNGUR+TAR=GALUAR<Ledsagemåde<de_selv+UNA
aleqanngortulerinianngilasi	aleqa-NNGUR+TUQ-LIRI+NIAR=NNGIT<Interrogativ<I
aleqaqanngillat	aleqa-QAR-NNGIT<Indikativ<de
aleqaqannginnikka	aleqa-QAR-NNGIT+NIQ<flertal<min<Absolut
aleqaasaraluarlungalu	aleqa-U+TAR=GALUAR<Ledsagemåde<jeg+LU
aleqaasunnguanngorpulli	aleqa-U+TUQ-NNGUAQ-NNGUR<Indikativ<de+LI
anaanakkali	anaana<flertal<min<Absolut+LI
anaanagissatigilli	anaana+GӘ-SSA<Imperativ<ViDem+LI
anaanalerilaartarpit	anaana-LIRI-LAAR=TAR<Interrogativ<du
anaanamiuunatik	anaana+MIU-U-NNGIT<Ledsagemåde<de_selv
anaananngoraluartununa	anaana-NNGUR+GALUAR<Participium<de+UNA
anaananngorneq	anaana-NNGUR+NIQ<ental<Absolut
anaanaqassasullu	anaana-QAR-SSA<Participium<de+LU
anaanaassagaluarnikka	anaana-U-SSA=GALUAR+NIQ<flertal<min<Absolut
angajuniilerluni	angaju<flertal<Lokalis+IP-LIR<Ledsagemåde<han_selv
angajumiunilli	angaju+MIU<flertal<Instrumentalis+LI
angajumiuusinnaaneri	angaju+MIU-U+SINNAA+NIQ<flertal<hans<Absolut
angajorpassuiuna	angaju+PASSUAQ<flertal<hans<Absolut+UNA
angulli	angut<ental<Absolut+LI
angummik	angut<ental<Instrumentalis
angummununa	angut<ental<Terminalis+UNA
angutimiuunanga	angut+MIU-U-NNGIT<Ledsagemåde<jeg
aniinnaa	ani-INNAQ<flertal<hans<Absolut
anilimmullu	ani-LIK<ental<Terminalis+LU
anilerisimasarnikkali	ani-LIRI+SIMA=TAR+NIQ<flertal<min<Absolut+LI
animiunngussallutik	ani+MIU-NNGUR-SSA<Ledsagemåde<de_selv
animioqartoq	ani+MIU-QAR<Participium<han
animiuusinnaavunga	ani+MIU-U+SINNAA<Indikativ<jeg
aninngulerlunga	ani-NNGUR-LIR<Ledsagemåde<jeg
aninngortungali	ani-NNGUR<Participium<jeg+LI
anerpassuarninguna	ani+PASSUAQ<flertal<Instrumentalis+UNA
aneqanngilaq	ani-QAR-NNGIT<Indikativ<han
aneqassallutik	ani-QAR-SSA<Ledsagemåde<de_selv
aneqassalluni	ani-QAR-SSA<Ledsagemåde<han_selv
aqqalutununa	aqqalu<ental<Aequalis+UNA
aqqaluga	aqqalu<ental<min<Absolut
aqqalumukanngitsoq	aqqalu<ental<Terminalis-KAR-NNGIT<Participium<han
aqqaluginiartigilli	aqqalu+GӘ+NIAR<Imperativ<ViDem+LI
aqqalugisartiginuna	aqqalu+GӘ+TAR<Imperativ<ViDem+UNA
aqqaluinnaana	aqqalu-INNAQ<ental<hans<Absolut+UNA
aqqaluinnanngorsimasartut	aqqalu-INNAQ-NNGUR+SIMA=TAR<Participium<de
aqqalulerigaluartoqalaartarpugulli	aqqalu-LIRI+GALUAR+TUQ-QAR-LAAR=TAR<Indikativ<vi+LI
aqqalumiunngussasunga	aqqalu+MIU-NNGUR-SSA<Participium<jeg
aqqalumioqarporuna	aqqalu+MIU-QAR<Indikativ<han+UNA
aqqalumiuusimavoruna	aqqalu+MIU-U+SIMA<Indikativ<han+UNA
aqqalumiuusinnaappununa	aqqalu+MIU-U+SINNAA<Indikativ<de+UNA
aqqalunnguamilli	aqqalu-NNGUAQ<ental<Instrumentalis+LI
aqqalunnguiuna	aqqalu-NNGUAQ<flertal<hans<Absolut+UNA
aqqalorpassuillu	aqqalu+PASSUAQ<flertal<Absolut+LU
aqqalorpassui	aqqalu+PASSUAQ<flertal<hans<Absolut
aqqalorpassuilu	aqqalu+PASSUAQ<flertal<hans<Absolut+LU
aqqalorpassuarnillu	aqqalu+PASSUAQ<flertal<Instrumentalis+LU
aqqalorpassuarniilaartarluniuna	aqqalu+PASSUAQ<flertal<Lokalis+IP-LAAR=TAR<Ledsagemåde<han_selv+UNA
aqqaloqalaarnerali	aqqalu-QAR-LAAR+NIQ<ental<hans<Absolut+LI
aqqaloqalaartarpit	aqqalu-QAR-LAAR=TAR<Interrogativ<du
aqqaloqanngilanga	aqqalu-QAR-NNGIT<Indikativ<jeg
aqqaloqassagaluarpunga	aqqalu-QAR-SSA=GALUAR<Indikativ<jeg
aqqaloqassagaluarlutinguna	aqqalu-QAR-SSA=GALUAR<Ledsagemåde<de_selv+UNA
aqqaloqassagaluarnikka	aqqalu-QAR-SSA=GALUAR+NIQ<flertal<min<Absolut
aqqaloqassallungaana	aqqalu-QAR-SSA<Ledsagemåde<jeg+UNA
aqqaluujartorlunga	aqqalu-U+GIARTUR<Ledsagemåde<jeg
aqqaluussallutinguna	aqqalu-U-SSA<Ledsagemåde<de_selv+UNA
arnaq	arnaq<ental<Absolut
arnarli	arnaq<ental<Absolut+LI
arnarlu	arnaq<ental<Absolut+LU
arnarali	arnaq<ental<min<Absolut+LI
arnaralu	arnaq<ental<min<Absolut+LU
arnarisimasarpaajuna	arnaq+GӘ+SIMA=TAR<Indikativ<HanHam+UNA
arnalittulli	arnaq-LIK<ental<Aequalis+LI
arnalii	arnaq-LIK<flertal<hans<Absolut
arnalerilaarnerili	arnaq-LIRI-LAAR+NIQ<flertal<hans<Absolut+LI
arnarmiumulli	arnaq+MIU<ental<Terminalis+LI
arnarmiuninguna	arnaq+MIU<flertal<Instrumentalis+UNA
arnarmiulerilaartartunga	arnaq+MIU-LIRI-LAAR=TAR<Participium<jeg
arnarmioqarporuna	arnaq+MIU-QAR<Indikativ<han+UNA
arnarmiuujartorluni	arnaq+MIU-U+GIARTUR<Ledsagemåde<han_selv
arnarmiuusungali	arnaq+MIU-U<Participium<jeg+LI
arnanngulerpoq	arnaq-NNGUR-LIR<Indikativ<han
arnanngorsimasarlungali	arnaq-NNGUR+SIMA=TAR<Ledsagemåde<jeg+LI
arnarpassui	arnaq+PASSUAQ<flertal<hans<Absolut
arnarpassuakka	arnaq+PASSUAQ<flertal<min<Absolut
arnaqalaartarlunili	arnaq-QAR-LAAR=TAR<Ledsagemåde<han_selv+LI
arnaalaarnikka	arnaq-U-LAAR+NIQ<flertal<min<Absolut
assersuulli	assersuut<ental<Absolut+LI
assersuullu	assersuut<ental<Absolut+LU
assersuununa	assersuut<ental<Absolut+UNA
assersuutaa	assersuut<ental<hans<Absolut
assersuumminguna	assersuut<ental<Instrumentalis+UNA
assersuummi	assersuut<ental<Lokalis
assersuummiillunga	assersuut<ental<Lokalis+IP<Ledsagemåde<jeg
assersuummili	assersuut<ental<Lokalis+LI
assersuummilu	assersuut<ental<Lokalis+LU
assersuummiuna	assersuut<ental<Lokalis+UNA
assersuummukalaartorli	assersuut<ental<Terminalis-KAR-LAAR+TUQ+LI
assersuummukassagaluarlungalu	assersuut<ental<Terminalis-KAR-SSA=GALUAR<Ledsagemåde<jeg+LU
assersuummulli	assersuut<ental<Terminalis+LI
assersuutigitiginuna	assersuut+GӘ<Imperativ<ViDem+UNA
assersuutigilaarpiuk	assersuut+GӘ-LAAR<Interrogativ<DuHam
assersuutaannaqassappununa	assersuut-INNAQ-QAR-SSA<Indikativ<de+UNA
assersuutilerisimasungalu	assersuut-LIRI+SIMA<Participium<jeg+LU
assersuutilerisarporlu	assersuut-LIRI+TAR<Indikativ<han+LU
assersuutimiu	assersuut+MIU<ental<Absolut
assersuutinngualeriniannginneq	assersuut-NNGUAQ-LIRI+NIAR=NNGIT+NIQ<ental<Absolut
assersuutaagaluarluni	assersuut-U+GALUAR<Ledsagemåde<han_selv
ataaseq	ataaseqTalord<Absolut
ataasiuisi	ataaseq-U<Interrogativ<I
ataatalimmut	ataata-LIK<ental<Terminalis
ateqartunga	ateqar<Participium<jeg
atianuna	ateq<ental<deres<Absolut+UNA
aterissagaluarpiuk	ateq+GӘ-SSA=GALUAR<Interrogativ<DuHam
atiinnaasarpisi	ateq-INNAQ-U+TAR<Interrogativ<I
atileriartortoqassagaluarlutillu	ateq-LIRI+GIARTUR+TUQ-QAR-SSA=GALUAR<Ledsagemåde<de_selv+LU
atinngulaartarneri	ateq-NNGUR-LAAR=TAR+NIQ<flertal<hans<Absolut
aterpassuinuna	ateq+PASSUAQ<flertal<Absolut+UNA
atulaartuali	ator-LAAR+TUQ<ental<hans<Absolut+LI
atorniartigit	ator+NIAR<Imperativ<ViDem
atornani	ator-NNGIT<Ledsagemåde<han_selv
atorsimasorlu	ator+SIMA<Participium<han+LU
atussagaluarlunga	ator-SSA=GALUAR<Ledsagemåde<mig
atussagaluartununa	ator-SSA=GALUAR<Participium<de+UNA
atussallugulu	ator-SSA<Ledsagemåde<ham+LU
