akisooruna	akisooq<ental<Absolut+UNA
akisuua	akisooq<ental<hans<Absolut
akisuui	akisooq<flertal<hans<Absolut
akisooriilli	akisooq+GIIT<flertal<Absolut+LI
akisooriilerigama	akisooq+GIIT-LIRI<Causativ<jeg
akisooritigilli	akisooq+GӘ<Imperativ<ViDem+LI
akisoorilerpaangalu	akisooq+GӘ-LIR<Indikativ<HanMig+LU
akisuuinnaasorpassuili	akisooq-INNAQ-U+TUQ+PASSUAQ<flertal<hans<Absolut+LI
akisuuliallu	akisooq-LIK<ental<deres+LU
akisuullilli	akisooq-LIK<flertal<Absolut+LI
akisuunngooqqaarpit	akisooq-NNGUAQ-U-QQAAR<Interrogativ<du
akisuunngoraluartorlu	akisooq-NNGUR+GALUAR<Participium<han+LU
akisooqalertorli	akisooq-QAR-LIR<Participium<han+LI
akisooqaqqaarnerli	akisooq-QAR-QQAAR+NIQ+LI
akisooqaqqugakkuuna	akisooq-QAR-QQU<Causativ<JegHam+UNA
akisuujulaartutulli	akisooq-U-LAAR+TUQ<ental<Aequalis+LI
akisoooriartununa	akisooq-U-RIAR<Participium<de+UNA
akisuujussagaluarpununa	akisooq-U-SSA=GALUAR<Indikativ<de+UNA
aleqaa	aleqa<flertal<hans<Absolut
aleqaneeqqaarneruna	aleqa<flertal<Lokalis+IP-QQAAR+NIQ+UNA
aleqaneeqqaartunga	aleqa<flertal<Lokalis+IP-QQAAR<Participium<jeg
aleqakka	aleqa<flertal<min<Absolut
aleqagiittulli	aleqa+GIIT<flertal<Aequalis+LI
aleqagiivili	aleqa+GIIT<flertal<hans<Absolut+LI
aleqagiinninguna	aleqa+GIIT<flertal<Instrumentalis+UNA
aleqagiinneeqqaartungalu	aleqa+GIIT<flertal<Lokalis+IP-QQAAR<Participium<jeg+LU
aleqagiinnukaqqaarlutinguna	aleqa+GIIT<flertal<Terminalis-KAR-QQAAR<Ledsagemåde<de_selv+UNA
aleqagiinngoqqutigit	aleqa+GIIT-NNGUR-QQU<Imperativ<ViDem
aleqagiviuk	aleqa+GӘ<Interrogativ<du-dem
aleqagilaartigilli	aleqa+GӘ-LAAR<Imperativ<ViDem+LI
aleqagilaartarakku	aleqa+GӘ-LAAR=TAR<Causativ<JegHam
aleqaginikuuassiuna	aleqa+GӘ+NIKUU<Indikativ<JegJer+UNA
aleqaannanngoqqutiginuna	aleqa-INNAQ-NNGUR-QQU<Imperativ<ViDem+UNA
aleqaannaaniarniniuna	aleqa-INNAQ-U+NIAR+NIQ<ental<sin<Absolut+UNA
aleqalerigama	aleqa-LIRI<Causativ<jeg
aleqalerillutik	aleqa-LIRI<Ledsagemåde<de_selv
aleqalerisut	aleqa-LIRI<Participium<de
aleqalerisunga	aleqa-LIRI<Participium<jeg
aleqalerisoqanngilaruna	aleqa-LIRI+TUQ-QAR-NNGIT<Indikativ<han+UNA
aleqamiunillu	aleqa+MIU<flertal<Instrumentalis+LU
aleqamiulerisulli	aleqa+MIU-LIRI<Participium<de+LI
aleqamiunngoqqaarpit	aleqa+MIU-NNGUR-QQAAR<Interrogativ<du
aleqamiooqquiuk	aleqa+MIU-U-QQU<Interrogativ<du-dem
aleqanngua	aleqa-NNGUAQ<ental<hans<Absolut
aleqanngooqqummanga	aleqa-NNGUAQ-U-QQU<Causativ<HanMig
aleqannguinnaramalu	aleqa-NNGUR-INNAR<Causativ<jeg+LU
aleqarpassuakka	aleqa+PASSUAQ<flertal<min<Absolut
aleqarpassuarnukalaartarlutilli	aleqa+PASSUAQ<flertal<Terminalis-KAR-LAAR=TAR<Ledsagemåde<de_selv+LI
aleqassameeriarpit	aleqa-SSAQ<ental<Lokalis+IP-RIAR<Interrogativ<du
aleqassameereerpit	aleqa-SSAQ<ental<Lokalis+IP-RIIR<Interrogativ<du
aleqaaqqutigit	aleqa-U-QQU<Imperativ<ViDem
aleqaasooriaramaana	aleqa-U+TUQ-U-RIAR<Causativ<jeg+UNA
anaanagiinnukariarpit	anaana+GIIT<flertal<Terminalis-KAR-RIAR<Interrogativ<du
anaanagisaraluarakku	anaana+GӘ+TAR=GALUAR<Causativ<JegHam
anaanamioqartoruna	anaana+MIU-QAR<Participium<han+UNA
anaanassaq	anaana-SSAQ<ental<Absolut
angajunngoqqaarama	angaju-NNGUR-QQAAR<Causativ<jeg
angajoqanngilatit	angaju-QAR-NNGIT<Interrogativ<du
angajoqaqqaartulli	angaju-QAR-QQAAR<Participium<de+LI
angajooreerpunga	angaju-U-RIIR<Indikativ<jeg
angununa	angut<ental<Absolut+UNA
angummi	angut<ental<Lokalis
angummukalaartarpit	angut<ental<Terminalis-KAR-LAAR=TAR<Interrogativ<du
angutigeqqaarakkuuna	angut+GӘ-QQAAR<Causativ<JegHam+UNA
angutinngoriarama	angut-NNGUR-RIAR<Causativ<jeg
ania	ani<ental<hans<Absolut
anima	ani<ental<min>Relativ
animukalaarpit	ani<ental<Terminalis-KAR-LAAR<Interrogativ<du
anigigaluarlugit	ani+GӘ+GALUAR<Ledsagemåde<dem
anerpassui	ani+PASSUAQ<flertal<hans<Absolut
anerpassuakka	ani+PASSUAQ<flertal<min<Absolut
aneqanngilatit	ani-QAR-NNGIT<Interrogativ<du
aneqariarluni	ani-QAR-RIAR<Ledsagemåde<han_selv
aneqareernikkali	ani-QAR-RIIR+NIQ<flertal<min<Absolut+LI
aneqassagaluarnermulli	ani-QAR-SSA=GALUAR+NIQ<ental<Terminalis+LI
anissalerineruna	ani-SSAQ-LIRI+NIQ+UNA
aqqalorpassuit	aqqalu+PASSUAQ<flertal<Absolut
aqqaloqalaartarnernukaannarpit	aqqalu-QAR-LAAR=TAR+NIQ<flertal<Terminalis-KAR-INNAR<Interrogativ<du
aqqaloqariartununa	aqqalu-QAR-RIAR<Participium<de+UNA
aqqaloqassallutinguna	aqqalu-QAR-SSA<Ledsagemåde<de_selv+UNA
aqqalooqqugakkuli	aqqalu-U-QQU<Causativ<JegHam+LI
aqqaniliinnalerivorli	aqqanillit-INNAQ-LIRI<Indikativ<han+LI
aqqaniliinnanngorniarnerilli	aqqanillit-INNAQ-NNGUR+NIAR+NIQ<flertal<Absolut+LI
aqqanilinngoriarpugulli	aqqanillit-NNGUR-RIAR<Indikativ<vi+LI
aqqanillit	aqqanillit<Talord<flertal<Absolut
aqqanillillu	aqqanillit<Talord<flertal<Absolut+LU
aqqanillinuna	aqqanillit<Talord<flertal<Absolut+UNA
aqqanilinnukalaartoruna	aqqanillit<Talord<flertal<Terminalis-KAR-LAAR+TUQ+UNA
aqqutigigakku	aqqutigә<Causativ<JegHam
aqqutigiinnarlugilli	aqqutigә-INNAR<Ledsagemåde<dem+LI
aqqutiginiarnagilli	aqqutigә+NIAR=NNGIT<Ledsagemåde<dem+LI
aqqutiginiarnagu	aqqutigә+NIAR=NNGIT<Ledsagemåde<ham
aqqutiginikuummanga	aqqutigә+NIKUU<Causativ<HanMig
aqqutiginikuutigillu	aqqutigә+NIKUU<Imperativ<ViDem+LU
aqqutiginikuuiuk	aqqutigә+NIKUU<Interrogativ<du-dem
aqqutigissatigit	aqqutigә-SSA<Imperativ<ViDem
aqqutigivallaartiginuna	aqqutigә+VALLAAR<Imperativ<ViDem+UNA
arnaq	arnaq<ental<Absolut
arnarlu	arnaq<ental<Absolut+LU
arnara	arnaq<ental<min<Absolut
arnanik	arnaq<flertal<Instrumentalis
arnariinnik	arnaq+GIIT<flertal<Instrumentalis
arnarinerutigit	arnaq+GӘ+NIRU<Imperativ<ViDem
arnallillu	arnaq-LIK<flertal<Absolut+LU
arnallinuna	arnaq-LIK<flertal<Absolut+UNA
arnarmiulerivungaana	arnaq+MIU-LIRI<Indikativ<jeg+UNA
arnannguilu	arnaq-NNGUAQ<flertal<hans<Absolut+LU
arnaqaannartunga	arnaq-QAR-INNAR<Participium<jeg
arnaqanngillat	arnaq-QAR-NNGIT<Indikativ<de
arnassamullu	arnaq-SSAQ<ental<Terminalis+LU
arnaallutillu	arnaq-U<Ledsagemåde<de_selv+LU
assersuulli	assersuut<ental<Absolut+LI
assersuullu	assersuut<ental<Absolut+LU
assersuununa	assersuut<ental<Absolut+UNA
assersuummik	assersuut<ental<Instrumentalis
assersuummillu	assersuut<ental<Instrumentalis+LU
assersuumminguna	assersuut<ental<Instrumentalis+UNA
assersuummiilaartartoqarpoq	assersuut<ental<Lokalis+IP-LAAR=TAR+TUQ-QAR<Indikativ<han
assersuummeeqqaarpit	assersuut<ental<Lokalis+IP-QQAAR<Interrogativ<du
assersuummeeriarama	assersuut<ental<Lokalis+IP-RIAR<Causativ<jeg
assersuummeeriarnerli	assersuut<ental<Lokalis+IP-RIAR+NIQ+LI
