aallalaartarpit	aallar-LAAR=TAR<Interrogativ<du
akisoorpassuakkaana	akisooq+PASSUAQ<flertal<min<Absolut+UNA
akisooqassaarli	akisooq-QAR-SSA<Indikativ<han+LI
akisuujugaluartuussagaluarpit	akisooq-U+GALUAR+TUQ-U-SSA=GALUAR<Interrogativ<du
akisuujusartuleriinnarniniuna	akisooq-U+TAR+TUQ-LIRI-INNAR+NIQ<ental<sin<Absolut+UNA
akueriunnaarpagullu	akuerә+GUNNAAR<Indikativ<ViDem+LU
akuererusullugu	akuerә+GUSUP<Ledsagemåde<ham
akuerivaallu	akuerә<Indikativ<DeHam+LU
akueriinnarmanga	akuerә-INNAR<Causativ<HanMig
akueriinnarmangaana	akuerә-INNAR<Causativ<HanMig+UNA
akueriinnarlugu	akuerә-INNAR<Ledsagemåde<ham
akuerilaartartigit	akuerә-LAAR=TAR<Imperativ<ViDem
akuerilaartarpiuk	akuerә-LAAR=TAR<Interrogativ<DuHam
akuerineqarneq	akuerә+NIQAR+NIQ<ental<Absolut
akuerisimaviuk	akuerә+SIMA<Interrogativ<DuHam
akuerisarakkuuna	akuerә+TAR<Causativ<JegHam+UNA
akuerivallaarlara	akuerә+VALLAAR<Optativ<JegHam
aleqagiittununa	aleqa+GIIT<flertal<Aequalis+UNA
aleqagineqarput	aleqa+GӘ+NIQAR<Indikativ<de
aleqagereerlara	aleqa+GӘ-RIIR<Optativ<JegHam
aleqagisaraluarmanga	aleqa+GӘ+TAR=GALUAR<Causativ<HanMig
aleqaannaqaqqaarpit	aleqa-INNAQ-QAR-QQAAR<Interrogativ<du
aleqakkunnilli	aleqa-KKUT<flertal<Instrumentalis+LI
aleqamiulerinerpugullu	aleqa+MIU-LIRI+NIR<Indikativ<vi+LU
aleqannguusimavit	aleqa-NNGUAQ-U+SIMA<Interrogativ<du
aleqanngorpallaanngitsussatulli	aleqa-NNGUR+VALLAAR=NNGIT+TUQ-SSAQ<ental<Aequalis+LI
aleqarpassui	aleqa+PASSUAQ<flertal<hans<Absolut
aleqaqalaarneralu	aleqa-QAR-LAAR+NIQ<ental<hans<Absolut+LU
aleqasioqqaartunga	aleqa+SIUR-QQAAR<Participium<jeg
aleqasiuimmalli	aleqa+SIUR-VIP<Causativ<han+LI
aleqassakka	aleqa-SSAQ<flertal<min<Absolut
aleqaagaluarmataana	aleqa-U+GALUAR<Causativ<de+UNA
aleqaavit	aleqa-U<Interrogativ<du
aleqaanernerallu	aleqa-U+NIR+NIQ<ental<deres+LU
allatullu	alla<ental<Aequalis+LU
allamilu	alla<ental<Lokalis+LU
allaannarsioqqaarpugulli	alla-INNAQ+SIUR-QQAAR<Indikativ<vi+LI
allakkut	alla-KKUT<flertal<Absolut
allakkunneeqqaarlutinguna	alla-KKUT<flertal<Lokalis+IP-QQAAR<Ledsagemåde<de_selv+UNA
allalimmununa	alla-LIK<ental<Terminalis+UNA
allalissiulaartulerinernini	alla-LIK+SIUR-LAAR+TUQ-LIRI+NIR+NIQ<ental<sin<Absolut
allanngua	alla-NNGUAQ<ental<hans<Absolut
allanngornikuuit	alla-NNGUR+NIKUU<Interrogativ<du
allarpassuarninguna	alla+PASSUAQ<flertal<Instrumentalis+UNA
allaqassasulli	alla-QAR-SSA<Participium<de+LI
allassaq	alla-SSAQ<ental<Absolut
anaanannguimmata	anaana-NNGUR-VIP<Causativ<de
anaanarpassui	anaana+PASSUAQ<flertal<hans<Absolut
anaanarpassuarnukaqqulara	anaana+PASSUAQ<flertal<Terminalis-KAR-QQU<Optativ<JegHam
angajorpassuartut	angaju+PASSUAQ<flertal<Aequalis
angajorpassui	angaju+PASSUAQ<flertal<hans<Absolut
angajoqaqqularali	angaju-QAR-QQU<Optativ<JegHam+LI
angajooreertungali	angaju-U-RIIR<Participium<jeg+LI
angummik	angut<ental<Instrumentalis
angutilerilaartarninilu	angut-LIRI-LAAR=TAR+NIQ<ental<sin<Absolut+LU
anillit	ani-LIK<flertal<Relativ
anillilli	ani-LIK<flertal<Relativ+LI
anilerisaraluarama	ani-LIRI+TAR=GALUAR<Causativ<jeg
animiunngoriartumilu	ani+MIU-NNGUR-RIAR+TUQ<ental<Lokalis+LU
anerpassuakkalu	ani+PASSUAQ<flertal<min<Absolut+LU
aneqalaartarporli	ani-QAR-LAAR=TAR<Indikativ<han+LI
aneqanngitsoqalaartarpugut	ani-QAR-NNGIT+TUQ-QAR-LAAR=TAR<Indikativ<vi
aneqaqqaarmata	ani-QAR-QQAAR<Causativ<de
aneqareermanuna	ani-QAR-RIIR<Causativ<han+UNA
aneqassagaluarama	ani-QAR-SSA=GALUAR<Causativ<jeg
anissaanikuuvugulli	ani-SSAQ-U+NIKUU<Indikativ<vi+LI
aqqaloqaannarneq	aqqalu-QAR-INNAR+NIQ<ental<Absolut
aqqalutaaqquiuk	aqqalu+TAAR-QQU<Interrogativ<DuHam
aqqalooriarpunga	aqqalu-U-RIAR<Indikativ<jeg
aqqanilittununa	aqqanillit<Talord<Aequalis+UNA
aqqanillilli	aqqanillit<Talord<flertal<Absolut+LI
aqqanillinuna	aqqanillit<Talord<flertal<Absolut+UNA
aqqanilinneeqqaartoq	aqqanillit<Talord<Lokalis+IP-QQAAR<Participium<han
aqqanilioqqummangali	aqqanillit-U-QQU<Causativ<HanMig+LI
aqqutigivaalu	aqqutigә<Indikativ<HanDem+LU
aqqutigilaarluginuna	aqqutigә-LAAR<Ledsagemåde<dem+UNA
aqqutigilluarlara	aqqutigә+LUAR<Optativ<JegHam
aqqutiginiarnagu	aqqutigә+NIAR=NNGIT<Ledsagemåde<ham
aqqutiginertigilli	aqqutigә+NIR<Imperativ<ViDem+LI
aqqutigeqqaarpiuk	aqqutigә-QQAAR<Interrogativ<DuHam
aqqutigereerluguuna	aqqutigә-RIIR<Ledsagemåde<ham+UNA
aqqutigereerlaralu	aqqutigә-RIIR<Optativ<JegHam+LU
aqqutigisimammangali	aqqutigә+SIMA<Causativ<HanMig+LI
aqqutigisimalara	aqqutigә+SIMA<Optativ<JegHam
aqqutigisinnaaviuk	aqqutigә+SINNAA<Interrogativ<DuHam
aqqutigissagaluarmanga	aqqutigә-SSA=GALUAR<Causativ<HanMig
aqqutigissaviuk	aqqutigә-SSA<Interrogativ<DuHam
aqqutigivallaarmanga	aqqutigә+VALLAAR<Causativ<HanMig
aqqutigivallaanngilarali	aqqutigә+VALLAAR=NNGIT<Indikativ<JegHam+LI
arnaq	arnaq<ental<Absolut
arnarli	arnaq<ental<Absolut+LI
arnariinnarlara	arnaq+GӘ-INNAR<Optativ<JegHam
arnarivallaanngiliuk	arnaq+GӘ+VALLAAR=NNGIT<Interrogativ<DuHam
arnaannaq	arnaq-INNAQ<ental<Absolut
arnaannakkullu	arnaq-INNAQ<ental<Vialis+LU
arnakkullu	arnaq-KKUT<flertal<Absolut+LU
arnakkunneeqqaarlutinguna	arnaq-KKUT<flertal<Lokalis+IP-QQAAR<Ledsagemåde<de_selv+UNA
arnarmiuneeqqulluguli	arnaq+MIU<flertal<Lokalis+IP-QQU<Ledsagemåde<ham+LI
arnarmioqarneq	arnaq+MIU-QAR+NIQ
arnannguanilu	arnaq-NNGUAQ<ental<sin<Absolut+LU
arnanngussagaluartoq	arnaq-NNGUR-SSA=GALUAR+TUQ<ental<Absolut
arnarpassuakka	arnaq+PASSUAQ<flertal<min<Absolut
arnarsiormata	arnaq+SIUR<Causativ<de
arnartaalaarmata	arnaq+TAAR-LAAR<Causativ<de
arnaasimasartullu	arnaq-U+SIMA=TAR<Participium<de+LU
assersuulli	assersuut<ental<Absolut+LI
assersuununa	assersuut<ental<Absolut+UNA
assersuummillu	assersuut<ental<Instrumentalis+LU
assersuummeereerpit	assersuut<ental<Lokalis+IP-RIIR<Interrogativ<du
assersuutikka	assersuut<flertal<min<Absolut
assersuutinngua	assersuut-NNGUAQ<ental<hans<Absolut
assersuutinngooriartorli	assersuut-NNGUAQ-U-RIAR<Participium<han+LI
assulli	assut<Partikel+LI
assullu	assut<Partikel+LU
assununa	assut<Partikel+UNA
ataatsitullu	ataaseq<Talord<ental<Aequalis+LU
ataatallillu	ataata-LIK<flertal<Absolut+LU
ataatalerisaraluarlutinguna	ataata-LIRI+TAR=GALUAR<Ledsagemåde<de_selv+UNA
atassulli	atassut<ental<Absolut+LI
atassununa	atassut<ental<Absolut+UNA
atassummiippallaanngitsoq	atassut<ental<Lokalis+IP+VALLAAR=NNGIT+TUQ
atassutinnguinneraana	atassut-NNGUR-VIP+NIQ<ental<hans<Absolut+UNA
ateq	ateq<ental<Absolut
aterni	ateq<ental<sin<Absolut
atiillu	ateq<flertal<Absolut+LU
atima	ateq<flertal<min>Relativ
aternununa	ateq<flertal<Terminalis+UNA
atereqqullugillu	ateq+GӘ-QQU<Ledsagemåde<dem+LU
atiliat	ateq-LIK<ental<deres
