aallalaartarpit	aallar-LAAR=TAR<Interrogativ<du
Esbjerg	Esbjerg<Absolut
Esbjergili	Esbjerg<Absolut+LI
Esbjergilu	Esbjerg<Absolut+LU
Esbjergiuna	Esbjerg<Absolut+UNA
Esbjergimik	Esbjerg<Instrumentalis
Esbjergimilli	Esbjerg<Instrumentalis+LI
Esbjergimillu	Esbjerg<Instrumentalis+LU
Esbjergiminguna	Esbjerg<Instrumentalis+UNA
Esbjergimi	Esbjerg<Lokalis
Esbjergimiikkusuttoqarpoq	Esbjerg<Lokalis+IP+GUSUP+TUQ-QAR<Indikativ<han
Esbjergimiilerput	Esbjerg<Lokalis+IP-LIR<Indikativ<de
Esbjergimiilerpit	Esbjerg<Lokalis+IP-LIR<Interrogativ<du
Esbjergimiilluarneq	Esbjerg<Lokalis+IP+LUAR+NIQ
Esbjergimiilluartoq	Esbjerg<Lokalis+IP+LUAR+TUQ
Esbjergimeeqqaarmata	Esbjerg<Lokalis+IP-QQAAR<Causativ<de
Esbjergimeeqqaarpit	Esbjerg<Lokalis+IP-QQAAR<Interrogativ<du
Esbjergimeeqqaarlutik	Esbjerg<Lokalis+IP-QQAAR<Ledsagemåde<de_selv
Esbjergimeeqqaarneq	Esbjerg<Lokalis+IP-QQAAR+NIQ
Esbjergimeeqqaarnerli	Esbjerg<Lokalis+IP-QQAAR+NIQ+LI
Esbjergimeeqqaartoqarpoq	Esbjerg<Lokalis+IP-QQAAR+TUQ-QAR<Indikativ<han
Esbjergimeeqqummanga	Esbjerg<Lokalis+IP-QQU<Causativ<HanMig
Esbjergimeeqqutigilli	Esbjerg<Lokalis+IP-QQU<Imperativ<ViDem+LI
Esbjergimeeqquallu	Esbjerg<Lokalis+IP-QQU<Indikativ<DuHam+LU
Esbjergimeeqquiuk	Esbjerg<Lokalis+IP-QQU<Interrogativ<DuHam
Esbjergimeeqqullugilli	Esbjerg<Lokalis+IP-QQU<Ledsagemåde<dem+LI
Esbjergimeeqqulluginuna	Esbjerg<Lokalis+IP-QQU<Ledsagemåde<dem+UNA
Esbjergimeeqqulluguli	Esbjerg<Lokalis+IP-QQU<Ledsagemåde<ham+LI
Esbjergimeeqqulara	Esbjerg<Lokalis+IP-QQU<Optativ<JegHam
Esbjergimeeqqularali	Esbjerg<Lokalis+IP-QQU<Optativ<JegHam+LI
Esbjergimeeriarpit	Esbjerg<Lokalis+IP-RIAR<Interrogativ<du
Esbjergimeeriarlutillu	Esbjerg<Lokalis+IP-RIAR<Ledsagemåde<de_selv+LU
Esbjergimeeriarlutinguna	Esbjerg<Lokalis+IP-RIAR<Ledsagemåde<de_selv+UNA
Esbjergimeeriarnerli	Esbjerg<Lokalis+IP-RIAR+NIQ+LI
Esbjergimeeriartut	Esbjerg<Lokalis+IP-RIAR<Participium<de
Esbjergimeeriartulli	Esbjerg<Lokalis+IP-RIAR<Participium<de+LI
Esbjergimeereerattalu	Esbjerg<Lokalis+IP-RIIR<Causativ<vi+LU
Esbjergimeereerlutinguna	Esbjerg<Lokalis+IP-RIIR<Ledsagemåde<de_selv+UNA
Esbjergimeereertulli	Esbjerg<Lokalis+IP-RIIR<Participium<de+LI
Esbjergimeereertoqanngilarli	Esbjerg<Lokalis+IP-RIIR+TUQ-QAR-NNGIT<Indikativ<han+LI
Esbjergimiittarlutinguna	Esbjerg<Lokalis+IP+TAR<Ledsagemåde<de_selv+UNA
Esbjergimiippallaartungalu	Esbjerg<Lokalis+IP+VALLAAR<Participium<jeg+LU
Esbjergimili	Esbjerg<Lokalis+LI
Esbjergimilu	Esbjerg<Lokalis+LU
Esbjergimiumilli	Esbjerg+MIU<ental<Instrumentalis+LI
Esbjergimiumi	Esbjerg+MIU<ental<Lokalis
Esbjergimiumiittaraluartunga	Esbjerg+MIU<ental<Lokalis+IP+TAR=GALUAR<Participium<jeg
Esbjergimiumukalaarlutik	Esbjerg+MIU<ental<Terminalis-KAR-LAAR<Ledsagemåde<de_selv
Esbjergimiuninguna	Esbjerg+MIU<flertal<Instrumentalis+UNA
Esbjergimiuneeqqularaana	Esbjerg+MIU<flertal<Lokalis+IP-QQU<Optativ<JegHam+UNA
Esbjergimiuneeriarlutilli	Esbjerg+MIU<flertal<Lokalis+IP-RIAR<Ledsagemåde<de_selv+LI
Esbjergimiuniuna	Esbjerg+MIU<flertal<Lokalis+UNA
Esbjergimiulerinatillu	Esbjerg+MIU-LIRI-NNGIT<Ledsagemåde<de_selv+LU
Esbjergimiunngulaartungalu	Esbjerg+MIU-NNGUR-LAAR<Participium<jeg+LU
Esbjergimioqarporuna	Esbjerg+MIU-QAR<Indikativ<han+UNA
Esbjergimioqarneq	Esbjerg+MIU-QAR+NIQ
Esbjergimioqarnerli	Esbjerg+MIU-QAR+NIQ+LI
Esbjergimioqarneruna	Esbjerg+MIU-QAR+NIQ+UNA
Esbjergimioqartoq	Esbjerg+MIU-QAR<Participium<han
Esbjergimioqartorli	Esbjerg+MIU-QAR<Participium<han+LI
Esbjergimioqartoruna	Esbjerg+MIU-QAR<Participium<han+UNA
Esbjergimioqartorli	Esbjerg+MIU-QAR+TUQ+LI
Esbjergimiuujunnaarmata	Esbjerg+MIU-U+GUNNAAR<Causativ<de
Esbjergimiuuit	Esbjerg+MIU-U<Interrogativ<du
Esbjergimiuulerput	Esbjerg+MIU-U-LIR<Indikativ<de
Esbjergimiuuniarnatilli	Esbjerg+MIU-U+NIAR=NNGIT<Ledsagemåde<de_selv+LI
Esbjergimiuuniartungali	Esbjerg+MIU-U+NIAR<Participium<jeg+LI
Esbjergimiuunertunngooqqaartoqassallutik	Esbjerg+MIU-U+NIR+TUQ-NNGUAQ-U-QQAAR+TUQ-QAR-SSA<Ledsagemåde<de_selv
Esbjergimiooreerattalu	Esbjerg+MIU-U-RIIR<Causativ<vi+LU
Esbjergimiooreerpunga	Esbjerg+MIU-U-RIIR<Indikativ<jeg
Esbjergimiooreerlutik	Esbjerg+MIU-U-RIIR<Ledsagemåde<de_selv
Esbjergimiooreertulli	Esbjerg+MIU-U-RIIR<Participium<de+LI
Esbjergimiooreertulilli	Esbjerg+MIU-U-RIIR+TUQ-LIK<ental<Absolut+LI
Esbjergimiuuallaarlutik	Esbjerg+MIU-U+VALLAAR<Ledsagemåde<de_selv
Esbjergimut	Esbjerg<Terminalis
Esbjergimukaannaramalu	Esbjerg<Terminalis-KAR-INNAR<Causativ<jeg+LU
Esbjergimukaannartoqarpoq	Esbjerg<Terminalis-KAR-INNAR+TUQ-QAR<Indikativ<han
Esbjergimukarpit	Esbjerg<Terminalis-KAR<Interrogativ<du
Esbjergimukalaarlutik	Esbjerg<Terminalis-KAR-LAAR<Ledsagemåde<de_selv
Esbjergimukalaartarmata	Esbjerg<Terminalis-KAR-LAAR=TAR<Causativ<de
Esbjergimukanngillalli	Esbjerg<Terminalis-KAR-NNGIT<Indikativ<de+LI
Esbjergimukanngillallu	Esbjerg<Terminalis-KAR-NNGIT<Indikativ<de+LU
Esbjergimukannginnerlu	Esbjerg<Terminalis-KAR-NNGIT+NIQ+LU
Esbjergimukariarpungaana	Esbjerg<Terminalis-KAR-RIAR<Indikativ<jeg+UNA
Esbjergimukareertoq	Esbjerg<Terminalis-KAR-RIIR+TUQ
Esbjergimukassagaluarpit	Esbjerg<Terminalis-KAR-SSA=GALUAR<Interrogativ<du
Esbjergimukassagaluartungaana	Esbjerg<Terminalis-KAR-SSA=GALUAR<Participium<jeg+UNA
Esbjergimukassaagullu	Esbjerg<Terminalis-KAR-SSA<Indikativ<vi+LU
Esbjergimukavimmallu	Esbjerg<Terminalis-KAR-VIP<Causativ<han+LU
Esbjergimukavippit	Esbjerg<Terminalis-KAR-VIP<Interrogativ<du
Esbjergimulli	Esbjerg<Terminalis+LI
Esbjergimullu	Esbjerg<Terminalis+LU
Esbjergimununa	Esbjerg<Terminalis+UNA
Esbjergikkut	Esbjerg<Vialis
Esbjergikkulli	Esbjerg<Vialis+LI
Esbjergikkullu	Esbjerg<Vialis+LU
Esbjergikkununa	Esbjerg<Vialis+UNA
fiistermallu	fiister<Causativ<han+LU
fiistermanuna	fiister<Causativ<han+UNA
fiisterama	fiister<Causativ<jeg
fiisteratta	fiister<Causativ<vi
fiisterattali	fiister<Causativ<vi+LI
fiisteraluarpit	fiister+GALUAR<Interrogativ<du
fiisteraluarlutik	fiister+GALUAR<Ledsagemåde<de_selv
fiisteriartorpunga	fiister+GIARTUR<Indikativ<jeg
fiisteriartorpugullu	fiister+GIARTUR<Indikativ<vi+LU
fiisteriartornera	fiister+GIARTUR+NIQ<ental<hans<Absolut
fiisteriartortussarsiulertulli	fiister+GIARTUR+TUQ-SSAQ+SIUR-LIR<Participium<de+LI
fiisterunnaarmalli	fiister+GUNNAAR<Causativ<han+LI
fiisterunnaartoorusukkamali	fiister+GUNNAAR+TUQ-U+GUSUP<Causativ<jeg+LI
fiisterunnaartuussagaluarnini	fiister+GUNNAAR+TUQ-U-SSA=GALUAR+NIQ<ental<sin<Absolut
fiisterusummat	fiister+GUSUP<Causativ<han
fiisterusukkattali	fiister+GUSUP<Causativ<vi+LI
fiisterpoq	fiister<Indikativ<han
fiistiinnarmat	fiister-INNAR<Causativ<han
fiistiinnarpugulli	fiister-INNAR<Indikativ<vi+LI
fiistiinnarpugullu	fiister-INNAR<Indikativ<vi+LU
fiistiinnarpit	fiister-INNAR<Interrogativ<du
fiistiinnarlutik	fiister-INNAR<Ledsagemåde<de_selv
fiistiinnartoq	fiister-INNAR<Participium<han
fiistiinnartunga	fiister-INNAR<Participium<jeg
fiistiinnartulereqqaartuinnaat	fiister-INNAR+TUQ-LIRI-QQAAR+TUQ-INNAQ<ental<deres<Absolut
fiistiinnartooriarpit	fiister-INNAR+TUQ-U-RIAR<Interrogativ<du
fiistilaarama	fiister-LAAR<Causativ<jeg
fiistilaarpunga	fiister-LAAR<Indikativ<jeg
fiistilaarpit	fiister-LAAR<Interrogativ<du
fiistilaarlutilli	fiister-LAAR<Ledsagemåde<de_selv+LI
fiistilaarnerali	fiister-LAAR+NIQ<ental<hans<Absolut+LI
fiistilaarnini	fiister-LAAR+NIQ<ental<sin<Absolut
fiistilaarninili	fiister-LAAR+NIQ<ental<sin<Absolut+LI
fiistilaartullu	fiister-LAAR<Participium<de+LU
fiistilaartarpunga	fiister-LAAR=TAR<Indikativ<jeg
fiistilaartarlutik	fiister-LAAR=TAR<Ledsagemåde<de_selv
fiistilaartarnini	fiister-LAAR=TAR+NIQ<ental<sin<Absolut
fiistilaartarninilu	fiister-LAAR=TAR+NIQ<ental<sin<Absolut+LU
fiistilaartarniniuna	fiister-LAAR=TAR+NIQ<ental<sin<Absolut+UNA
fiistilaartarnerneeqqaarpugut	fiister-LAAR=TAR+NIQ<flertal<Lokalis+IP-QQAAR<Indikativ<vi
fiistilaartartut	fiister-LAAR=TAR<Participium<de
fiistilaartartoorusunnermukarnerutoqarpoq	fiister-LAAR=TAR+TUQ-U+GUSUP+NIQ<ental<Terminalis-KAR+NIRU+TUQ-QAR<Indikativ<han
fiistilaartartuusarlutik	fiister-LAAR=TAR+TUQ-U+TAR<Ledsagemåde<de_selv
fiistilaartumalu	fiister-LAAR+TUQ<flertal<min>Relativ+LU
fiistilaartukkunnillu	fiister-LAAR+TUQ-KKUT<flertal<Instrumentalis+LU
fiistilaartoqalaaratta	fiister-LAAR+TUQ-QAR-LAAR<Causativ<vi
fiistilaartooqquiuk	fiister-LAAR+TUQ-U-QQU<Interrogativ<DuHam
fiisterlutillu	fiister<Ledsagemåde<de_selv+LU
fiistilerpunga	fiister-LIR<Indikativ<jeg
fiistilerpugut	fiister-LIR<Indikativ<vi
fiistilerpit	fiister-LIR<Interrogativ<du
fiistilerlutilli	fiister-LIR<Ledsagemåde<de_selv+LI
fiistilerlutinguna	fiister-LIR<Ledsagemåde<de_selv+UNA
fiistilernera	fiister-LIR+NIQ<ental<min<Absolut
fiistilernini	fiister-LIR+NIQ<ental<sin<Absolut
fiistilernerilli	fiister-LIR+NIQ<flertal<Relativ+LI
fiistilernerillu	fiister-LIR+NIQ<flertal<Relativ+LU
fiistilertoraana	fiister-LIR+TUQ<ental<min<Absolut+UNA
fiistilertulerereertorlu	fiister-LIR+TUQ-LIRI-RIIR<Participium<han+LU
fiistilertorpassuarnik	fiister-LIR+TUQ+PASSUAQ<flertal<Instrumentalis
fiistilertoqalermatali	fiister-LIR+TUQ-QAR-LIR<Causativ<de+LI
fiistilertorsiulerpit	fiister-LIR+TUQ+SIUR-LIR<Interrogativ<du
fiisterluarmallu	fiister+LUAR<Causativ<han+LU
fiisterluarpit	fiister+LUAR<Interrogativ<du
fiisternianngilatit	fiister+NIAR=NNGIT<Interrogativ<du
fiisterniannginnerit	fiister+NIAR=NNGIT+NIQ<flertal<Absolut
fiisternerilli	fiister+NIQ<flertal<Absolut+LI
fiisternerillu	fiister+NIQ<flertal<Absolut+LU
fiistinnginnama	fiister-NNGIT<Causativ<jeg
fiistinnginnatta	fiister-NNGIT<Causativ<vi
fiistinngilaq	fiister-NNGIT<Indikativ<han
fiistinngilagut	fiister-NNGIT<Indikativ<vi
fiistinngilatit	fiister-NNGIT<Interrogativ<du
fiisternatik	fiister-NNGIT<Ledsagemåde<de_selv
fiisternatillu	fiister-NNGIT<Ledsagemåde<de_selv+LU
fiisternatinguna	fiister-NNGIT<Ledsagemåde<de_selv+UNA
fiistinnginnerit	fiister-NNGIT+NIQ<flertal<Absolut
fiistinngitsoruna	fiister-NNGIT<Participium<han+UNA
fiistinngitsunga	fiister-NNGIT<Participium<jeg
fiistinngitsora	fiister-NNGIT+TUQ<ental<min<Absolut
fiistinngitsullilli	fiister-NNGIT+TUQ-LIK<flertal<Absolut+LI
fiistinngitsoqaannartumukaannarmat	fiister-NNGIT+TUQ-QAR-INNAR+TUQ<ental<Terminalis-KAR-INNAR<Causativ<han
fiistinngitsoqaqqugakku	fiister-NNGIT+TUQ-QAR-QQU<Causativ<JegHam
fiistinngitsoqavikkatta	fiister-NNGIT+TUQ-QAR-VIP<Causativ<vi
fiistinngitsorsiuippugununa	fiister-NNGIT+TUQ+SIUR-VIP<Indikativ<vi+UNA
fiistertullu	fiister<Participium<de+LU
fiisteqqaarmatalu	fiister-QQAAR<Causativ<de+LU
fiisteqqaaratta	fiister-QQAAR<Causativ<vi
fiisteqqaarput	fiister-QQAAR<Indikativ<de
fiisteqqaarpullu	fiister-QQAAR<Indikativ<de+LU
fiisteqqaarpoq	fiister-QQAAR<Indikativ<han
fiisteqqaarpungaana	fiister-QQAAR<Indikativ<jeg+UNA
fiisteqqaarpugullu	fiister-QQAAR<Indikativ<vi+LU
fiisteqqaarpit	fiister-QQAAR<Interrogativ<du
fiisteqqaartorlu	fiister-QQAAR<Participium<han+LU
fiisteqqaartungali	fiister-QQAAR<Participium<jeg+LI
fiisteqqaartukkunni	fiister-QQAAR+TUQ-KKUT<flertal<Lokalis
fiisteqqaartoqavittulerigaluarnera	fiister-QQAAR+TUQ-QAR-VIP+TUQ-LIRI+GALUAR+NIQ<ental<hans<Absolut
fiisteqqaartoorusuppoq	fiister-QQAAR+TUQ-U+GUSUP<Indikativ<han
fiisteqqaartooriaramali	fiister-QQAAR+TUQ-U-RIAR<Causativ<jeg+LI
fiisteqqummanga	fiister-QQU<Causativ<HanMig
fiisteqquaannga	fiister-QQU<Indikativ<DeMig
fiisteqquassili	fiister-QQU<Indikativ<JegJer+LI
fiisteqquiuk	fiister-QQU<Interrogativ<DuHam
fiisteqqullugit	fiister-QQU<Ledsagemåde<dem
fiisteqqullugilli	fiister-QQU<Ledsagemåde<dem+LI
fiisteqqullugu	fiister-QQU<Ledsagemåde<ham
fiisteqqulara	fiister-QQU<Optativ<JegHam
fiisteriarmalli	fiister-RIAR<Causativ<han+LI
fiisteriarpoq	fiister-RIAR<Indikativ<han
fiisteriarpugulli	fiister-RIAR<Indikativ<vi+LI
fiisteriarlutilli	fiister-RIAR<Ledsagemåde<de_selv+LI
fiisteriarnini	fiister-RIAR+NIQ<ental<sin<Absolut
fiisteriartoq	fiister-RIAR<Participium<han
fiisteriartungalu	fiister-RIAR<Participium<jeg+LU
fiisteriartooqqaartussalereriartorpassuakka	fiister-RIAR+TUQ-U-QQAAR+TUQ-SSAQ-LIRI-RIAR+TUQ+PASSUAQ<flertal<min<Absolut
fiisteriartooqquiuk	fiister-RIAR+TUQ-U-QQU<Interrogativ<DuHam
fiistereermallu	fiister-RIIR<Causativ<han+LU
fiistereerama	fiister-RIIR<Causativ<jeg
fiistereeratta	fiister-RIIR<Causativ<vi
fiistereerpunga	fiister-RIIR<Indikativ<jeg
fiistereerpugulli	fiister-RIIR<Indikativ<vi+LI
fiistereerpit	fiister-RIIR<Interrogativ<du
fiistereerlutik	fiister-RIIR<Ledsagemåde<de_selv
fiistereerlutillu	fiister-RIIR<Ledsagemåde<de_selv+LU
fiistereernini	fiister-RIIR+NIQ<ental<sin<Absolut
fiistereernerilli	fiister-RIIR+NIQ<flertal<Relativ+LI
fiistereertununa	fiister-RIIR<Participium<de+UNA
fiistereertungalu	fiister-RIIR<Participium<jeg+LU
fiistereertui	fiister-RIIR+TUQ<flertal<hans<Absolut
fiistersimagamalu	fiister+SIMA<Causativ<jeg+LU
fiistersimavugullu	fiister+SIMA<Indikativ<vi+LU
fiistersimasarpulli	fiister+SIMA=TAR<Indikativ<de+LI
fiistersimasarnerli	fiister+SIMA=TAR+NIQ<ental<Absolut+LI
fiistersimasarnertullu	fiister+SIMA=TAR+NIQ<ental<Aequalis+LU
fiistersimasarnini	fiister+SIMA=TAR+NIQ<ental<sin<Absolut
fiistersimasartungali	fiister+SIMA=TAR<Participium<jeg+LI
fiistersinnaagattaana	fiister+SINNAA<Causativ<vi+UNA
fiistersinnaavoq	fiister+SINNAA<Indikativ<han
fiistissagamaana	fiister-SSA<Causativ<jeg+UNA
fiistissagattalu	fiister-SSA<Causativ<vi+LU
fiistissagaluaramali	fiister-SSA=GALUAR<Causativ<jeg+LI
fiistissagaluarpugut	fiister-SSA=GALUAR<Indikativ<vi
fiistissagaluarpit	fiister-SSA=GALUAR<Interrogativ<du
fiistissagaluarlutik	fiister-SSA=GALUAR<Ledsagemåde<de_selv
fiistissagaluarlutilli	fiister-SSA=GALUAR<Ledsagemåde<de_selv+LI
fiistissagaluarnertut	fiister-SSA=GALUAR+NIQ<ental<Aequalis
fiistissagaluarnini	fiister-SSA=GALUAR+NIQ<ental<sin<Absolut
fiistissagaluartullu	fiister-SSA=GALUAR<Participium<de+LU
fiistissagaluartussaq	fiister-SSA=GALUAR+TUQ-SSAQ<ental<Absolut
fiistissagaluartoorusullutinguna	fiister-SSA=GALUAR+TUQ-U+GUSUP<Ledsagemåde<de_selv+UNA
fiistissavit	fiister-SSA<Interrogativ<du
fiistissallutik	fiister-SSA<Ledsagemåde<de_selv
fiistissasulli	fiister-SSA<Participium<de+LI
fiistertaraluartussarli	fiister+TAR=GALUAR+TUQ-SSAQ<ental<Absolut+LI
fiistertarlutik	fiister+TAR<Ledsagemåde<de_selv
fiistertartunngussagaluarlutinguna	fiister+TAR+TUQ-NNGUR-SSA=GALUAR<Ledsagemåde<de_selv+UNA
fiistertoq	fiister+TUQ<ental<Absolut
fiistertunngussagaluarpungalu	fiister+TUQ-NNGUR-SSA=GALUAR<Indikativ<jeg+LU
fiisterpallaarpugut	fiister+VALLAAR<Indikativ<vi
fiisterpallaarpit	fiister+VALLAAR<Interrogativ<du
fiisterpallaanngillat	fiister+VALLAAR=NNGIT<Indikativ<de
fiisterpallaannginneralli	fiister+VALLAAR=NNGIT+NIQ<ental<deres+LI
fiisterpallaannginnini	fiister+VALLAAR=NNGIT+NIQ<ental<sin<Absolut
fiisterpallaanngitsullu	fiister+VALLAAR=NNGIT<Participium<de+LU
fiisterpallaanngitsorlu	fiister+VALLAAR=NNGIT<Participium<han+LU
fiistivimmatali	fiister-VIP<Causativ<de+LI
fiistivimmat	fiister-VIP<Causativ<han
fiistivimmanuna	fiister-VIP<Causativ<han+UNA
fiistivikkama	fiister-VIP<Causativ<jeg
fiistivikkamali	fiister-VIP<Causativ<jeg+LI
fiistivikkattali	fiister-VIP<Causativ<vi+LI
fiistivillutik	fiister-VIP<Ledsagemåde<de_selv
fiistivillutinguna	fiister-VIP<Ledsagemåde<de_selv+UNA
fiistivittuinnarsiulerpungali	fiister-VIP+TUQ-INNAQ+SIUR-LIR<Indikativ<jeg+LI
Finland	Finland<Absolut
Finlandili	Finland<Absolut+LI
Finlandilu	Finland<Absolut+LU
Finlandiuna	Finland<Absolut+UNA
Finlandimik	Finland<Instrumentalis
Finlandimilli	Finland<Instrumentalis+LI
Finlandimillu	Finland<Instrumentalis+LU
Finlandiminguna	Finland<Instrumentalis+UNA
Finlandimi	Finland<Lokalis
Finlandimiilaarnerli	Finland<Lokalis+IP-LAAR+NIQ+LI
Finlandimiilaartoq	Finland<Lokalis+IP-LAAR+TUQ
Finlandimiilernerlu	Finland<Lokalis+IP-LIR+NIQ+LU
Finlandimeeqqaarmatali	Finland<Lokalis+IP-QQAAR<Causativ<de+LI
Finlandimeeqqaarlutilli	Finland<Lokalis+IP-QQAAR<Ledsagemåde<de_selv+LI
Finlandimeeqqaarlutinguna	Finland<Lokalis+IP-QQAAR<Ledsagemåde<de_selv+UNA
Finlandimeeqqaarneruna	Finland<Lokalis+IP-QQAAR+NIQ+UNA
Finlandimeeqqaartullu	Finland<Lokalis+IP-QQAAR<Participium<de+LU
Finlandimeeqqaartoqarporuna	Finland<Lokalis+IP-QQAAR+TUQ-QAR<Indikativ<han+UNA
Finlandimeeqqaartoqanngilarli	Finland<Lokalis+IP-QQAAR+TUQ-QAR-NNGIT<Indikativ<han+LI
Finlandimeeqqutigilli	Finland<Lokalis+IP-QQU<Imperativ<ViDem+LI
Finlandimeeqquaannga	Finland<Lokalis+IP-QQU<Indikativ<DeMig
Finlandimeeqquiuk	Finland<Lokalis+IP-QQU<Interrogativ<DuHam
Finlandimeeqqullugulu	Finland<Lokalis+IP-QQU<Ledsagemåde<ham+LU
Finlandimeeqqulara	Finland<Lokalis+IP-QQU<Optativ<JegHam
Finlandimeeqqularaana	Finland<Lokalis+IP-QQU<Optativ<JegHam+UNA
Finlandimeeriarnerli	Finland<Lokalis+IP-RIAR+NIQ+LI
Finlandimeereerpoq	Finland<Lokalis+IP-RIIR<Indikativ<han
Finlandimeereerpugullu	Finland<Lokalis+IP-RIIR<Indikativ<vi+LU
Finlandimeereerpit	Finland<Lokalis+IP-RIIR<Interrogativ<du
Finlandimeereerlutilli	Finland<Lokalis+IP-RIIR<Ledsagemåde<de_selv+LI
Finlandimeereerlutinguna	Finland<Lokalis+IP-RIIR<Ledsagemåde<de_selv+UNA
Finlandimiissaagulli	Finland<Lokalis+IP-SSA<Indikativ<vi+LI
Finlandimiissasoruna	Finland<Lokalis+IP-SSA<Participium<han+UNA
Finlandimilu	Finland<Lokalis+LU
Finlandimiuna	Finland<Lokalis+UNA
Finlandimiumillu	Finland+MIU<ental<Instrumentalis+LU
Finlandimiumeeriarlutik	Finland+MIU<ental<Lokalis+IP-RIAR<Ledsagemåde<de_selv
Finlandimiumeereerpit	Finland+MIU<ental<Lokalis+IP-RIIR<Interrogativ<du
Finlandimiuneeqqaarneq	Finland+MIU<flertal<Lokalis+IP-QQAAR+NIQ
Finlandimiuneeqquiuk	Finland+MIU<flertal<Lokalis+IP-QQU<Interrogativ<DuHam
Finlandimiulerilluartunngortaraluartorli	Finland+MIU-LIRI+LUAR+TUQ-NNGUR+TAR=GALUAR<Participium<han+LI
Finlandimiulerinerlutilli	Finland+MIU-LIRI+NIR<Ledsagemåde<de_selv+LI
Finlandimiulereqqaartullu	Finland+MIU-LIRI-QQAAR<Participium<de+LU
Finlandimioqarpoq	Finland+MIU-QAR<Indikativ<han
Finlandimioqarporli	Finland+MIU-QAR<Indikativ<han+LI
Finlandimioqarporuna	Finland+MIU-QAR<Indikativ<han+UNA
Finlandimioqarneq	Finland+MIU-QAR+NIQ
Finlandimioqartoq	Finland+MIU-QAR<Participium<han
Finlandimioqartorli	Finland+MIU-QAR<Participium<han+LI
Finlandimioqartoq	Finland+MIU-QAR+TUQ
Finlandimiuugaluarpungalu	Finland+MIU-U+GALUAR<Indikativ<jeg+LU
Finlandimioorusummat	Finland+MIU-U+GUSUP<Causativ<han
Finlandimiooqqutigilli	Finland+MIU-U-QQU<Imperativ<ViDem+LI
Finlandimiooqquat	Finland+MIU-U-QQU<Indikativ<DuHam
Finlandimiooqquiuk	Finland+MIU-U-QQU<Interrogativ<DuHam
Finlandimiooriarnera	Finland+MIU-U-RIAR+NIQ<ental<hans<Absolut
Finlandimut	Finland<Terminalis
Finlandimukaannarpunga	Finland<Terminalis-KAR-INNAR<Indikativ<jeg
Finlandimukaannarpit	Finland<Terminalis-KAR-INNAR<Interrogativ<du
Finlandimukalaartarmatalu	Finland<Terminalis-KAR-LAAR=TAR<Causativ<de+LU
Finlandimukalaartartoqanngilaq	Finland<Terminalis-KAR-LAAR=TAR+TUQ-QAR-NNGIT<Indikativ<han
Finlandimukalerneq	Finland<Terminalis-KAR-LIR+NIQ
Finlandimukarnianngilatit	Finland<Terminalis-KAR+NIAR=NNGIT<Interrogativ<du
Finlandimukaqqaartut	Finland<Terminalis-KAR-QQAAR<Participium<de
Finlandimukaqqaartunga	Finland<Terminalis-KAR-QQAAR<Participium<jeg
Finlandimukariarmata	Finland<Terminalis-KAR-RIAR<Causativ<de
Finlandimukariarmataana	Finland<Terminalis-KAR-RIAR<Causativ<de+UNA
Finlandimukassagaluarpugulli	Finland<Terminalis-KAR-SSA=GALUAR<Indikativ<vi+LI
Finlandimukassagaluarneq	Finland<Terminalis-KAR-SSA=GALUAR+NIQ
Finlandimukartarlutik	Finland<Terminalis-KAR+TAR<Ledsagemåde<de_selv
Finlandimukavimmata	Finland<Terminalis-KAR-VIP<Causativ<de
Finlandimulli	Finland<Terminalis+LI
Finlandimullu	Finland<Terminalis+LU
Finlandimununa	Finland<Terminalis+UNA
Finlandikkut	Finland<Vialis
Finlandikkulli	Finland<Vialis+LI
Finlandikkullu	Finland<Vialis+LU
Finlandikkununa	Finland<Vialis+UNA
Gentofte	Gentofte<Absolut
Gentofteli	Gentofte<Absolut+LI
Gentoftelu	Gentofte<Absolut+LU
Gentofteuna	Gentofte<Absolut+UNA
Gentoftemik	Gentofte<Instrumentalis
Gentoftemilli	Gentofte<Instrumentalis+LI
Gentoftemillu	Gentofte<Instrumentalis+LU
Gentofteminguna	Gentofte<Instrumentalis+UNA
Gentoftemi	Gentofte<Lokalis
Gentoftemiiginnarlutilli	Gentofte<Lokalis+IP-INNAR<Ledsagemåde<de_selv+LI
Gentoftemiilaarlutik	Gentofte<Lokalis+IP-LAAR<Ledsagemåde<de_selv
Gentoftemiilerneq	Gentofte<Lokalis+IP-LIR+NIQ
Gentoftemiinneq	Gentofte<Lokalis+IP+NIQ
Gentoftemeeqqaarpununa	Gentofte<Lokalis+IP-QQAAR<Indikativ<de+UNA
Gentoftemeeqqaarpit	Gentofte<Lokalis+IP-QQAAR<Interrogativ<du
Gentoftemeeqqaarlutik	Gentofte<Lokalis+IP-QQAAR<Ledsagemåde<de_selv
Gentoftemeeqqullugillu	Gentofte<Lokalis+IP-QQU<Ledsagemåde<dem+LU
Gentoftemeeqqullugu	Gentofte<Lokalis+IP-QQU<Ledsagemåde<ham
Gentoftemeeqqulara	Gentofte<Lokalis+IP-QQU<Optativ<JegHam
Gentoftemeeqqularaana	Gentofte<Lokalis+IP-QQU<Optativ<JegHam+UNA
Gentoftemeeriarpunga	Gentofte<Lokalis+IP-RIAR<Indikativ<jeg
Gentoftemeeriarnerli	Gentofte<Lokalis+IP-RIAR+NIQ+LI
