aamma	aamma<Partikel
aammali	aamma<Partikel+LI
aammalu	aamma<Partikel+LU
aappaagu	aappaagu<Partikel
aappaaguli	aappaagu<Partikel+LI
aap	aap<Partikel
aalli	aap<Partikel+LI
aallu	aap<Partikel+LU
Aasiaat	Aasiaat<Absolut
Aasiaalli	Aasiaat<Absolut+LI
Aasiaallu	Aasiaat<Absolut+LU
Aasiannik	Aasiaat<Instrumentalis
Aasiannilli	Aasiaat<Instrumentalis+LI
Aasiannillu	Aasiaat<Instrumentalis+LU
Aasianni	Aasiaat<Lokalis
Aasiannili	Aasiaat<Lokalis+LI
Aasiannilu	Aasiaat<Lokalis+LU
Aasiammiulu	Aasiaat+MIU<ental<Absolut+LU
Aasiammiumi	Aasiaat+MIU<ental<Lokalis
Aasiammiunik	Aasiaat+MIU<flertal<Instrumentalis
Aasiammiunilli	Aasiaat+MIU<flertal<Instrumentalis+LI
Aasiammiuni	Aasiaat+MIU<flertal<Lokalis
Aasiammiulerigaluarpit	Aasiaat+MIU-LIRI+GALUAR<Interrogativ<du
Aasiammiulerivunga	Aasiaat+MIU-LIRI<Indikativ<jeg
Aasiammiulerivit	Aasiaat+MIU-LIRI<Interrogativ<du
Aasiammiulerissasunga	Aasiaat+MIU-LIRI-SSA<Participium<jeg
Aasiammiulerisaraluartunga	Aasiaat+MIU-LIRI+TAR+GALUAR<Participium<jeg
Aasiammiulerisassavit	Aasiaat+MIU-LIRI+TAR-SSA<Interrogativ<du
Aasiammiulerisassasunga	Aasiaat+MIU-LIRI+TAR-SSA<Participium<jeg
Aasiammiunngortassagaluartunga	Aasiaat+MIU-NNGUR+TAR-SSA+GALUAR<Participium<jeg
Aasiammioqarpoq	Aasiaat+MIU-QAR<Indikativ<han
Aasiammioqarporli	Aasiaat+MIU-QAR<Indikativ<han+LI
Aasiammioqarporlu	Aasiaat+MIU-QAR<Indikativ<han+LU
Aasiammiuugaluarpoq	Aasiaat+MIU-U+GALUAR<Indikativ<han
