aap	aap<Partikel
kingullernut	kingulleq<flertal<Terminalis
kingulliinnaq	kingulleq-INNAQ<ental<Absolut
kingulliinnartut	kingulleq-INNAQ<ental<Aequalis
kingulliinnaat	kingulleq-INNAQ<ental<deres<Absolut
kingulliinnaat	kingulleq-INNAQ<flertal<Absolut
kingulliinnaat	kingulleq-INNAQ<flertal<Relativ
kingulliinnarnut	kingulleq-INNAQ<flertal<Terminalis
kingullilik	kingulleq-LIK<ental<Absolut
kingullilittut	kingulleq-LIK<ental<Aequalis
kingulliliat	kingulleq-LIK<ental<deres<Absolut
kingullillit	kingulleq-LIK<flertal<Absolut
kingullillit	kingulleq-LIK<flertal<Relativ
kingullilinnut	kingulleq-LIK<Terminalis<flertal
kingullerpassuit	kingulleq+PASSUAQ<flertal<Absolut
kingullerpassuartut	kingulleq+PASSUAQ<flertal<Aequalis
kingullerpassuarnut	kingulleq+PASSUAQ<flertal<Terminalis
meeraq	meeraq<ental<Absolut
meeqqatut	meeraq<ental<Aequalis
meeraat	meeraq<ental<deres<Absolut
meeraannaq	meeraq-INNAQ<ental<Absolut
meeraannartut	meeraq-INNAQ<ental<Aequalis
meeraannaat	meeraq-INNAQ<ental<deres<Absolut
meeraannaat	meeraq-INNAQ<flertal<Absolut
meeraannaat	meeraq-INNAQ<flertal<Relativ
meeraannarnut	meeraq-INNAQ<flertal<Terminalis
meeralik	meeraq-LIK<ental<Absolut
meeralittut	meeraq-LIK<ental<Aequalis
meeraliat	meeraq-LIK<ental<deres<Absolut
meerallit	meeraq-LIK<flertal<Absolut
meerallit	meeraq-LIK<flertal<Relativ
meeralinnut	meeraq-LIK<Terminalis<flertal
meerarpassuit	meeraq+PASSUAQ<flertal<Absolut
meerarpassuartut	meeraq+PASSUAQ<flertal<Aequalis
meerarpassuarnut	meeraq+PASSUAQ<flertal<Terminalis
meeqqanut	meeraq<Terminalis<flertal
nammineq	nammineq<Adjektiv
nukappiaraq	nukappiaraq<ental<Absolut
nukappiaqqatut	nukappiaraq<ental<Aequalis
nukappiaraannaq	nukappiaraq-INNAQ<ental<Absolut
nukappiaraannaat	nukappiaraq-INNAQ<ental<deres<Absolut
nukappiaraannaat	nukappiaraq-INNAQ<flertal<Absolut
nukappiaraannarnut	nukappiaraq-INNAQ<flertal<Terminalis
nukappiaralittut	nukappiaraq-LIK<ental<Aequalis
nukappiarallit	nukappiaraq-LIK<flertal<Absolut
nukappiarallit	nukappiaraq-LIK<flertal<Relativ
nukappiaralinnut	nukappiaraq-LIK<Terminalis<flertal
nukappiararpassuit	nukappiaraq+PASSUAQ<flertal<Absolut
nukappiararpassuartut	nukappiaraq+PASSUAQ<flertal<Aequalis
nukappiararpassuarnut	nukappiaraq+PASSUAQ<flertal<Terminalis
nukappiaqqanut	nukappiaraq<Terminalis<flertal
nukarleq	nukarleq<ental<Absolut
nukarlertut	nukarleq<ental<Aequalis
nukarliat	nukarleq<ental<deres<Absolut
nukarliit	nukarleq<flertal<Absolut
nukarliit	nukarleq<flertal<Relativ
nukarlernut	nukarleq<flertal<Terminalis
nukarliinnaq	nukarleq-INNAQ<ental<Absolut
nukarliinnartut	nukarleq-INNAQ<ental<Aequalis
nukarliinnaat	nukarleq-INNAQ<ental<deres<Absolut
nukarliinnaat	nukarleq-INNAQ<flertal<Absolut
nukarliinnaat	nukarleq-INNAQ<flertal<Relativ
nukarliinnarnut	nukarleq-INNAQ<flertal<Terminalis
nukarlilik	nukarleq-LIK<ental<Absolut
nukarliliat	nukarleq-LIK<ental<deres<Absolut
nukarlillit	nukarleq-LIK<flertal<Absolut
nukarlillit	nukarleq-LIK<flertal<Relativ
nukarlilinnut	nukarleq-LIK<Terminalis<flertal
nukarlerpassuit	nukarleq+PASSUAQ<flertal<Absolut
nukarlerpassuartut	nukarleq+PASSUAQ<flertal<Aequalis
nukarlerpassuarnut	nukarleq+PASSUAQ<flertal<Terminalis
nuna	nuna<ental<Absolut
nunatut	nuna<ental<Aequalis
nunaat	nuna<ental<deres<Absolut
nunaannaq	nuna-INNAQ<ental<Absolut
nunaannartut	nuna-INNAQ<ental<Aequalis
nunaannaat	nuna-INNAQ<ental<deres<Absolut
nunaannaat	nuna-INNAQ<flertal<Absolut
nunaannarnut	nuna-INNAQ<flertal<Terminalis
nunalik	nuna-LIK<ental<Absolut
nunalittut	nuna-LIK<ental<Aequalis
nunaliat	nuna-LIK<ental<deres<Absolut
nunallit	nuna-LIK<flertal<Absolut
nunallit	nuna-LIK<flertal<Relativ
nunarpassuit	nuna+PASSUAQ<flertal<Absolut
nunarpassuartut	nuna+PASSUAQ<flertal<Aequalis
nunarpassuarnut	nuna+PASSUAQ<flertal<Terminalis
nunanut	nuna<Terminalis<flertal
nuuppoq	nuup<Indikativ<han
nuulaarpoq	nuup-LAAR<Indikativ<han
nuulaarneq	nuup-LAAR+NIQ<ental<Absolut
nuulaarnertut	nuup-LAAR+NIQ<ental<Aequalis
nuulaarnerat	nuup-LAAR+NIQ<ental<deres<Absolut
nuulaarnerit	nuup-LAAR+NIQ<flertal<Relativ
nuulaarnerinnaq	nuup-LAAR+NIQ-INNAQ<ental<Absolut
nuulaarnilittut	nuup-LAAR+NIQ-LIK<ental<Aequalis
nuulaarnillit	nuup-LAAR+NIQ-LIK<flertal<Absolut
nuulaarnillit	nuup-LAAR+NIQ-LIK<flertal<Relativ
nuulaarnerpassuartut	nuup-LAAR+NIQ+PASSUAQ<flertal<Aequalis
nuunneq	nuup+NIQ<ental<Absolut
nuunnerat	nuup+NIQ<ental<deres<Absolut
nuunnerit	nuup+NIQ<flertal<Absolut
nuunnerit	nuup+NIQ<flertal<Relativ
nuunnernut	nuup+NIQ<flertal<Terminalis
nuunnerinnaq	nuup+NIQ-INNAQ<ental<Absolut
nuunnerinnartut	nuup+NIQ-INNAQ<ental<Aequalis
nuunnerinnaat	nuup+NIQ-INNAQ<flertal<Relativ
nuunnilik	nuup+NIQ-LIK<ental<Absolut
nuunnilittut	nuup+NIQ-LIK<ental<Aequalis
nuunniliat	nuup+NIQ-LIK<ental<deres<Absolut
nuunnillit	nuup+NIQ-LIK<flertal<Absolut
nuunnillit	nuup+NIQ-LIK<flertal<Relativ
nuunnilinnut	nuup+NIQ-LIK<Terminalis<flertal
nuunnerpassuit	nuup+NIQ+PASSUAQ<flertal<Absolut
nuunnerpassuartut	nuup+NIQ+PASSUAQ<flertal<Aequalis
nuussimavoq	nuup+SIMA<Indikativ<han
