aasaq	aasaq<ental<Absolut
angajoqqaarsioratta	angajoqqaaq+SIUR<Causativ<vi
angajoqqaarsiorattaluunniit	angajoqqaaq+SIUR<Causativ<vi+LUUNNIIT
angajoqqaarsiorunnaaratta	angajoqqaaq+SIUR+GUNNAAR<Causativ<vi
angajoqqaarsiorunnaarporluunniit	angajoqqaaq+SIUR+GUNNAAR<Indikativ<han+LUUNNIIT
angajoqqaarsiorusuppoq	angajoqqaaq+SIUR+GUSUP<Indikativ<han
angajoqqaarsiorpoq	angajoqqaaq+SIUR<Indikativ<han
angajoqqaarsiorluarporluunniit	angajoqqaaq+SIUR+LUAR<Indikativ<han+LUUNNIIT
angajoqqaarsiuimmata	angajoqqaaq+SIUR-VIP<Causativ<de
angajoqqaarsiuimmataluunniit	angajoqqaaq+SIUR-VIP<Causativ<de+LUUNNIIT
angajoqqaarsiuimmalluunniit	angajoqqaaq+SIUR-VIP<Causativ<han+LUUNNIIT
angajoqqaarsiuikkatta	angajoqqaaq+SIUR-VIP<Causativ<vi
angajoqqaarsiuikkattaluunniit	angajoqqaaq+SIUR-VIP<Causativ<vi+LUUNNIIT
angajoqqaarsiuippoq	angajoqqaaq+SIUR-VIP<Indikativ<han
angajoqqaartaaratta	angajoqqaaq+TAAR<Causativ<vi
angajoqqaartaarunnaarmataluunniit	angajoqqaaq+TAAR+GUNNAAR<Causativ<de+LUUNNIIT
angajoqqaartaarunnaarmalluunniit	angajoqqaaq+TAAR+GUNNAAR<Causativ<han+LUUNNIIT
angajoqqaartaarunnaaratta	angajoqqaaq+TAAR+GUNNAAR<Causativ<vi
angajoqqaartaarunnaarporluunniit	angajoqqaaq+TAAR+GUNNAAR<Indikativ<han+LUUNNIIT
angajoqqaartaarporluunniit	angajoqqaaq+TAAR<Indikativ<han+LUUNNIIT
angajoqqaartaarluarporluunniit	angajoqqaaq+TAAR+LUAR<Indikativ<han+LUUNNIIT
angajoqqaartaavimmat	angajoqqaaq+TAAR-VIP<Causativ<han
angajoqqaartaavikkatta	angajoqqaaq+TAAR-VIP<Causativ<vi
angajoqqaartaavikkattaluunniit	angajoqqaaq+TAAR-VIP<Causativ<vi+LUUNNIIT
angajoqqaartaavippoq	angajoqqaaq+TAAR-VIP<Indikativ<han
angajoqqaartaavipporluunniit	angajoqqaaq+TAAR-VIP<Indikativ<han+LUUNNIIT
assut	assut<Partikel
assulluunniit	assut<Partikel+LUUNNIIT
atassut	atassut<ental<Absolut
atassulluunniit	atassut<ental<Absolut+LUUNNIIT
atassutima	atassut<flertal<min>Relativ
atassutimaluunniit	atassut<flertal<min>Relativ+LUUNNIIT
atassutikkut	atassut-KKUT<flertal<Absolut
atassutikkulluunniit	atassut-KKUT<flertal<Absolut+LUUNNIIT
atassutisiormat	atassut+SIUR<Causativ<han
atassutisiorunnaarmata	atassut+SIUR+GUNNAAR<Causativ<de
atassutisiorunnaarmalluunniit	atassut+SIUR+GUNNAAR<Causativ<han+LUUNNIIT
atassutisiorunnaarpoq	atassut+SIUR+GUNNAAR<Indikativ<han
atassutisiorluarmataluunniit	atassut+SIUR+LUAR<Causativ<de+LUUNNIIT
atassutisiuimmat	atassut+SIUR-VIP<Causativ<han
atassutisiuimmalluunniit	atassut+SIUR-VIP<Causativ<han+LUUNNIIT
atassutisiuikkatta	atassut+SIUR-VIP<Causativ<vi
atassutisiuikkattaluunniit	atassut+SIUR-VIP<Causativ<vi+LUUNNIIT
atassutisiuipporluunniit	atassut+SIUR-VIP<Indikativ<han+LUUNNIIT
atassutitaarunnaarmata	atassut+TAAR+GUNNAAR<Causativ<de
atassutitaarunnaarmat	atassut+TAAR+GUNNAAR<Causativ<han
atassutitaarusuppoq	atassut+TAAR+GUSUP<Indikativ<han
atassutitaarluaratta	atassut+TAAR+LUAR<Causativ<vi
atassutitaarluarporluunniit	atassut+TAAR+LUAR<Indikativ<han+LUUNNIIT
atassutitaavikkatta	atassut+TAAR-VIP<Causativ<vi
atassutitaavikkattaluunniit	atassut+TAAR-VIP<Causativ<vi+LUUNNIIT
atassutitaavipporluunniit	atassut+TAAR-VIP<Indikativ<han+LUUNNIIT
avimmata	avip<Causativ<de
avimmataluunniit	avip<Causativ<de+LUUNNIIT
avikkatta	avip<Causativ<vi
avikkattaluunniit	avip<Causativ<vi+LUUNNIIT
avikkunnaarattaluunniit	avip+GUNNAAR<Causativ<vi+LUUNNIIT
avikkunnaarput	avip+GUNNAAR<Indikativ<de
avikkunnaarpulluunniit	avip+GUNNAAR<Indikativ<de+LUUNNIIT
avikkusummata	avip+GUSUP<Causativ<de
avikkusukkatta	avip+GUSUP<Causativ<vi
avipput	avip<Indikativ<de
avippulluunniit	avip<Indikativ<de+LUUNNIIT
avilluarmata	avip+LUAR<Causativ<de
avilluarmataluunniit	avip+LUAR<Causativ<de+LUUNNIIT
avilluaratta	avip+LUAR<Causativ<vi
avilluarput	avip+LUAR<Indikativ<de
avilluarpulluunniit	avip+LUAR<Indikativ<de+LUUNNIIT
avivimmataluunniit	avip-VIP<Causativ<de+LUUNNIIT
avivikkatta	avip-VIP<Causativ<vi
avivipput	avip-VIP<Indikativ<de
avivippulluunniit	avip-VIP<Indikativ<de+LUUNNIIT
erniinnaq	erniinnaq<Partikel
erniinnarluunniit	erniinnaq<Partikel+LUUNNIIT
fiistermata	fiister<Causativ<de
fiistermataluunniit	fiister<Causativ<de+LUUNNIIT
fiistermat	fiister<Causativ<han
fiistermalluunniit	fiister<Causativ<han+LUUNNIIT
fiisteratta	fiister<Causativ<vi
fiisterattaluunniit	fiister<Causativ<vi+LUUNNIIT
fiisterunnaarmata	fiister+GUNNAAR<Causativ<de
fiisterunnaarmataluunniit	fiister+GUNNAAR<Causativ<de+LUUNNIIT
fiisterunnaarmat	fiister+GUNNAAR<Causativ<han
fiisterunnaarmalluunniit	fiister+GUNNAAR<Causativ<han+LUUNNIIT
fiisterunnaaratta	fiister+GUNNAAR<Causativ<vi
fiisterunnaarattaluunniit	fiister+GUNNAAR<Causativ<vi+LUUNNIIT
fiisterunnaarpoq	fiister+GUNNAAR<Indikativ<han
fiisterunnaarporluunniit	fiister+GUNNAAR<Indikativ<han+LUUNNIIT
fiisterusummata	fiister+GUSUP<Causativ<de
fiisterusummataluunniit	fiister+GUSUP<Causativ<de+LUUNNIIT
fiisterusummat	fiister+GUSUP<Causativ<han
fiisterusummalluunniit	fiister+GUSUP<Causativ<han+LUUNNIIT
fiisterusukkatta	fiister+GUSUP<Causativ<vi
fiisterusukkattaluunniit	fiister+GUSUP<Causativ<vi+LUUNNIIT
fiisterusuppoq	fiister+GUSUP<Indikativ<han
fiisterusupporluunniit	fiister+GUSUP<Indikativ<han+LUUNNIIT
fiisterpoq	fiister<Indikativ<han
fiisterporluunniit	fiister<Indikativ<han+LUUNNIIT
fiisterluarmata	fiister+LUAR<Causativ<de
fiisterluarmataluunniit	fiister+LUAR<Causativ<de+LUUNNIIT
fiisterluarmat	fiister+LUAR<Causativ<han
fiisterluarmalluunniit	fiister+LUAR<Causativ<han+LUUNNIIT
fiisterluaratta	fiister+LUAR<Causativ<vi
fiisterluarattaluunniit	fiister+LUAR<Causativ<vi+LUUNNIIT
fiisterluarpoq	fiister+LUAR<Indikativ<han
fiisterluarporluunniit	fiister+LUAR<Indikativ<han+LUUNNIIT
fiistivimmata	fiister-VIP<Causativ<de
fiistivimmataluunniit	fiister-VIP<Causativ<de+LUUNNIIT
fiistivimmat	fiister-VIP<Causativ<han
fiistivimmalluunniit	fiister-VIP<Causativ<han+LUUNNIIT
fiistivikkatta	fiister-VIP<Causativ<vi
fiistivikkattaluunniit	fiister-VIP<Causativ<vi+LUUNNIIT
fiistivippoq	fiister-VIP<Indikativ<han
fiistivipporluunniit	fiister-VIP<Indikativ<han+LUUNNIIT
guitarermata	guitarer<Causativ<de
guitarermataluunniit	guitarer<Causativ<de+LUUNNIIT
guitarermat	guitarer<Causativ<han
guitarermalluunniit	guitarer<Causativ<han+LUUNNIIT
guitareratta	guitarer<Causativ<vi
guitarerattaluunniit	guitarer<Causativ<vi+LUUNNIIT
guitarerunnaarmata	guitarer+GUNNAAR<Causativ<de
guitarerunnaarmataluunniit	guitarer+GUNNAAR<Causativ<de+LUUNNIIT
guitarerunnaarmat	guitarer+GUNNAAR<Causativ<han
guitarerunnaarmalluunniit	guitarer+GUNNAAR<Causativ<han+LUUNNIIT
guitarerunnaaratta	guitarer+GUNNAAR<Causativ<vi
guitarerunnaarattaluunniit	guitarer+GUNNAAR<Causativ<vi+LUUNNIIT
guitarerunnaarpoq	guitarer+GUNNAAR<Indikativ<han
guitarerunnaarporluunniit	guitarer+GUNNAAR<Indikativ<han+LUUNNIIT
guitarerusummata	guitarer+GUSUP<Causativ<de
guitarerusummataluunniit	guitarer+GUSUP<Causativ<de+LUUNNIIT
guitarerusummalluunniit	guitarer+GUSUP<Causativ<han+LUUNNIIT
guitarerusukkatta	guitarer+GUSUP<Causativ<vi
guitarerusukkattaluunniit	guitarer+GUSUP<Causativ<vi+LUUNNIIT
guitarerusuppoq	guitarer+GUSUP<Indikativ<han
guitarerusupporluunniit	guitarer+GUSUP<Indikativ<han+LUUNNIIT
guitarerpoq	guitarer<Indikativ<han
guitarerporluunniit	guitarer<Indikativ<han+LUUNNIIT
guitarerluarmata	guitarer+LUAR<Causativ<de
guitarerluarmataluunniit	guitarer+LUAR<Causativ<de+LUUNNIIT
guitarerluarmat	guitarer+LUAR<Causativ<han
guitarerluarmalluunniit	guitarer+LUAR<Causativ<han+LUUNNIIT
guitarerluaratta	guitarer+LUAR<Causativ<vi
guitarerluarattaluunniit	guitarer+LUAR<Causativ<vi+LUUNNIIT
guitarerluarpoq	guitarer+LUAR<Indikativ<han
guitarerluarporluunniit	guitarer+LUAR<Indikativ<han+LUUNNIIT
guitarivimmata	guitarer-VIP<Causativ<de
guitarivimmataluunniit	guitarer-VIP<Causativ<de+LUUNNIIT
guitarivimmat	guitarer-VIP<Causativ<han
guitarivimmalluunniit	guitarer-VIP<Causativ<han+LUUNNIIT
guitarivikkatta	guitarer-VIP<Causativ<vi
guitarivikkattaluunniit	guitarer-VIP<Causativ<vi+LUUNNIIT
guitarivippoq	guitarer-VIP<Indikativ<han
guitarivipporluunniit	guitarer-VIP<Indikativ<han+LUUNNIIT
ikiorti	ikiurtә<ental<Absolut
ikiortiluunniit	ikiurtә<ental<Absolut+LUUNNIIT
ikiortikkut	ikiurtә<ental<Vialis
ikiortikkulluunniit	ikiurtә<ental<Vialis+LUUNNIIT
ikiortima	ikiurtә<flertal<min>Relativ
ikiortimaluunniit	ikiurtә<flertal<min>Relativ+LUUNNIIT
