aasaq	aasaq<ental<Absolut
inuttassarsiuussinersiormataluunniit	inuttassarsiuussineq+SIUR<Causativ<de+LUUNNIIT
inuttassarsiuussinersiorluarporluunniit	inuttassarsiuussineq+SIUR+LUAR<Indikativ<han+LUUNNIIT
inuttassarsiuussinertaarusummat	inuttassarsiuussineq+TAAR+GUSUP<Causativ<han
inuummata	inuu<Causativ<de
inuummat	inuu<Causativ<han
inuugattaluunniit	inuu<Causativ<vi+LUUNNIIT
inuujunnaarmataluunniit	inuu+GUNNAAR<Causativ<de+LUUNNIIT
inuujunnaaratta	inuu+GUNNAAR<Causativ<vi
inuujunnaarattaluunniit	inuu+GUNNAAR<Causativ<vi+LUUNNIIT
inoorusummata	inuu+GUSUP<Causativ<de
inoorusummataluunniit	inuu+GUSUP<Causativ<de+LUUNNIIT
inoorusummat	inuu+GUSUP<Causativ<han
inoorusummalluunniit	inuu+GUSUP<Causativ<han+LUUNNIIT
inoorusukkatta	inuu+GUSUP<Causativ<vi
inoorusukkattaluunniit	inuu+GUSUP<Causativ<vi+LUUNNIIT
inoorusuppoq	inuu+GUSUP<Indikativ<han
inoorusupporluunniit	inuu+GUSUP<Indikativ<han+LUUNNIIT
inuuvoq	inuu<Indikativ<han
inuuvorluunniit	inuu<Indikativ<han+LUUNNIIT
inuulluarmataluunniit	inuu+LUAR<Causativ<de+LUUNNIIT
inuulluarmalluunniit	inuu+LUAR<Causativ<han+LUUNNIIT
inuulluarattaluunniit	inuu+LUAR<Causativ<vi+LUUNNIIT
inuulluarpoq	inuu+LUAR<Indikativ<han
inuulluarporluunniit	inuu+LUAR<Indikativ<han+LUUNNIIT
inuusuttoq	inuusuttoq<ental<Absolut
inuuimmata	inuu-VIP<Causativ<de
inuuimmataluunniit	inuu-VIP<Causativ<de+LUUNNIIT
kapitali	kapitali<ental<Absolut
kapitaliluunniit	kapitali<ental<Absolut+LUUNNIIT
kapitalikkut	kapitali<ental<Vialis
kapitalikkulluunniit	kapitali<ental<Vialis+LUUNNIIT
kapitalima	kapitali<flertal<min>Relativ
kapitalimaluunniit	kapitali<flertal<min>Relativ+LUUNNIIT
kapitalikkut	kapitali-KKUT<flertal<Absolut
kapitalikkulluunniit	kapitali-KKUT<flertal<Absolut+LUUNNIIT
kapitalisiormata	kapitali+SIUR<Causativ<de
kapitalisiormataluunniit	kapitali+SIUR<Causativ<de+LUUNNIIT
kapitalisiormat	kapitali+SIUR<Causativ<han
kapitalisiormalluunniit	kapitali+SIUR<Causativ<han+LUUNNIIT
kapitalisioratta	kapitali+SIUR<Causativ<vi
kapitalisiorattaluunniit	kapitali+SIUR<Causativ<vi+LUUNNIIT
kapitalisiorunnaarmata	kapitali+SIUR+GUNNAAR<Causativ<de
kapitalisiorunnaarmataluunniit	kapitali+SIUR+GUNNAAR<Causativ<de+LUUNNIIT
kapitalisiorunnaarmalluunniit	kapitali+SIUR+GUNNAAR<Causativ<han+LUUNNIIT
kapitalisiorunnaaratta	kapitali+SIUR+GUNNAAR<Causativ<vi
kapitalisiorunnaarattaluunniit	kapitali+SIUR+GUNNAAR<Causativ<vi+LUUNNIIT
kapitalisiorunnaarpoq	kapitali+SIUR+GUNNAAR<Indikativ<han
kapitalisiorunnaarporluunniit	kapitali+SIUR+GUNNAAR<Indikativ<han+LUUNNIIT
kapitalisiorusummata	kapitali+SIUR+GUSUP<Causativ<de
kapitalisiorusummataluunniit	kapitali+SIUR+GUSUP<Causativ<de+LUUNNIIT
kapitalisiorusummalluunniit	kapitali+SIUR+GUSUP<Causativ<han+LUUNNIIT
kapitalisiorusukkatta	kapitali+SIUR+GUSUP<Causativ<vi
kapitalisiorusukkattaluunniit	kapitali+SIUR+GUSUP<Causativ<vi+LUUNNIIT
kapitalisiorusuppoq	kapitali+SIUR+GUSUP<Indikativ<han
kapitalisiorusupporluunniit	kapitali+SIUR+GUSUP<Indikativ<han+LUUNNIIT
kapitalisiorpoq	kapitali+SIUR<Indikativ<han
kapitalisiorporluunniit	kapitali+SIUR<Indikativ<han+LUUNNIIT
kapitalisiorluarmata	kapitali+SIUR+LUAR<Causativ<de
kapitalisiorluarmat	kapitali+SIUR+LUAR<Causativ<han
kapitalisiorluarmalluunniit	kapitali+SIUR+LUAR<Causativ<han+LUUNNIIT
kapitalisiorluaratta	kapitali+SIUR+LUAR<Causativ<vi
kapitalisiorluarattaluunniit	kapitali+SIUR+LUAR<Causativ<vi+LUUNNIIT
kapitalisiorluarpoq	kapitali+SIUR+LUAR<Indikativ<han
kapitalisiorluarporluunniit	kapitali+SIUR+LUAR<Indikativ<han+LUUNNIIT
kapitalisiuimmata	kapitali+SIUR-VIP<Causativ<de
kapitalisiuimmataluunniit	kapitali+SIUR-VIP<Causativ<de+LUUNNIIT
kapitalisiuimmat	kapitali+SIUR-VIP<Causativ<han
kapitalisiuimmalluunniit	kapitali+SIUR-VIP<Causativ<han+LUUNNIIT
kapitalisiuikkatta	kapitali+SIUR-VIP<Causativ<vi
kapitalisiuikkattaluunniit	kapitali+SIUR-VIP<Causativ<vi+LUUNNIIT
kapitalisiuippoq	kapitali+SIUR-VIP<Indikativ<han
kapitalisiuipporluunniit	kapitali+SIUR-VIP<Indikativ<han+LUUNNIIT
kapitalitaarmata	kapitali+TAAR<Causativ<de
kapitalitaarmat	kapitali+TAAR<Causativ<han
kapitalitaarmalluunniit	kapitali+TAAR<Causativ<han+LUUNNIIT
kapitalitaaratta	kapitali+TAAR<Causativ<vi
kapitalitaarattaluunniit	kapitali+TAAR<Causativ<vi+LUUNNIIT
kapitalitaarunnaarmata	kapitali+TAAR+GUNNAAR<Causativ<de
kapitalitaarunnaarmataluunniit	kapitali+TAAR+GUNNAAR<Causativ<de+LUUNNIIT
kapitalitaarunnaarmalluunniit	kapitali+TAAR+GUNNAAR<Causativ<han+LUUNNIIT
kapitalitaarunnaaratta	kapitali+TAAR+GUNNAAR<Causativ<vi
kapitalitaarunnaarporluunniit	kapitali+TAAR+GUNNAAR<Indikativ<han+LUUNNIIT
kapitalitaarusummalluunniit	kapitali+TAAR+GUSUP<Causativ<han+LUUNNIIT
kapitalitaarusukkatta	kapitali+TAAR+GUSUP<Causativ<vi
kapitalitaarusukkattaluunniit	kapitali+TAAR+GUSUP<Causativ<vi+LUUNNIIT
kapitalitaarusuppoq	kapitali+TAAR+GUSUP<Indikativ<han
kapitalitaarusupporluunniit	kapitali+TAAR+GUSUP<Indikativ<han+LUUNNIIT
kapitalitaarpoq	kapitali+TAAR<Indikativ<han
kapitalitaarporluunniit	kapitali+TAAR<Indikativ<han+LUUNNIIT
kapitalitaarluarmataluunniit	kapitali+TAAR+LUAR<Causativ<de+LUUNNIIT
kapitalitaarluarattaluunniit	kapitali+TAAR+LUAR<Causativ<vi+LUUNNIIT
kapitalitaarluarporluunniit	kapitali+TAAR+LUAR<Indikativ<han+LUUNNIIT
kapitalitaavimmata	kapitali+TAAR-VIP<Causativ<de
kapitalitaavimmataluunniit	kapitali+TAAR-VIP<Causativ<de+LUUNNIIT
kapitalitaavimmat	kapitali+TAAR-VIP<Causativ<han
kapitalitaavimmalluunniit	kapitali+TAAR-VIP<Causativ<han+LUUNNIIT
kapitalitaavikkatta	kapitali+TAAR-VIP<Causativ<vi
kapitalitaavikkattaluunniit	kapitali+TAAR-VIP<Causativ<vi+LUUNNIIT
kapitalitaavippoq	kapitali+TAAR-VIP<Indikativ<han
kapitalitaavipporluunniit	kapitali+TAAR-VIP<Indikativ<han+LUUNNIIT
nalaa	nalә<Absolut<ental<hans
nalaaluunniit	nalә<Absolut<ental<hans+LUUNNIIT
nangikkunnaarpalluunniit	nangip+GUNNAAR<Indikativ<DuHam+LUUNNIIT
nangikkunnaarpaa	nangip+GUNNAAR<Indikativ<HanHam
nangikkunnaarpaaluunniit	nangip+GUNNAAR<Indikativ<HanHam+LUUNNIIT
nangikkunnaarlara	nangip+GUNNAAR<Optativ<JegHam
nangikkusuppalluunniit	nangip+GUSUP<Indikativ<DuHam+LUUNNIIT
nangikkusullaraluunniit	nangip+GUSUP<Optativ<JegHam+LUUNNIIT
nangippat	nangip<Indikativ<DuHam
nangippalluunniit	nangip<Indikativ<DuHam+LUUNNIIT
nangippaa	nangip<Indikativ<HanHam
nangilluarpat	nangip+LUAR<Indikativ<DuHam
nangilluarpalluunniit	nangip+LUAR<Indikativ<DuHam+LUUNNIIT
nangilluarpaa	nangip+LUAR<Indikativ<HanHam
nangilluarpaaluunniit	nangip+LUAR<Indikativ<HanHam+LUUNNIIT
nangilluarlara	nangip+LUAR<Optativ<JegHam
nangilluarlaraluunniit	nangip+LUAR<Optativ<JegHam+LUUNNIIT
nangillara	nangip<Optativ<JegHam
nangivippat	nangip-VIP<Indikativ<DuHam
nangivippalluunniit	nangip-VIP<Indikativ<DuHam+LUUNNIIT
nangivippaa	nangip-VIP<Indikativ<HanHam
nangivippaaluunniit	nangip-VIP<Indikativ<HanHam+LUUNNIIT
nangivillara	nangip-VIP<Optativ<JegHam
nangivillaraluunniit	nangip-VIP<Optativ<JegHam+LUUNNIIT
nassiussaq	nassiussaq<ental<Absolut
nassiussarluunniit	nassiussaq<ental<Absolut+LUUNNIIT
nassiussakkut	nassiussaq<ental<Vialis
nassiussakkulluunniit	nassiussaq<ental<Vialis+LUUNNIIT
nassiussama	nassiussaq<flertal<min>Relativ
nassiussamaluunniit	nassiussaq<flertal<min>Relativ+LUUNNIIT
nassiussakkut	nassiussaq-KKUT<flertal<Absolut
nassiussakkulluunniit	nassiussaq-KKUT<flertal<Absolut+LUUNNIIT
nassiussarsiormata	nassiussaq+SIUR<Causativ<de
nassiussarsiorunnaarmataluunniit	nassiussaq+SIUR+GUNNAAR<Causativ<de+LUUNNIIT
nassiussarsiorunnaarmalluunniit	nassiussaq+SIUR+GUNNAAR<Causativ<han+LUUNNIIT
nassiussarsiorpoq	nassiussaq+SIUR<Indikativ<han
nassiussarsiorluaratta	nassiussaq+SIUR+LUAR<Causativ<vi
nassiussarsiuimmataluunniit	nassiussaq+SIUR-VIP<Causativ<de+LUUNNIIT
nassiussarsiuikkatta	nassiussaq+SIUR-VIP<Causativ<vi
nassiussarsiuippoq	nassiussaq+SIUR-VIP<Indikativ<han
nassiussartaaratta	nassiussaq+TAAR<Causativ<vi
nassiussartaarunnaarporluunniit	nassiussaq+TAAR+GUNNAAR<Indikativ<han+LUUNNIIT
nassiussartaarusummata	nassiussaq+TAAR+GUSUP<Causativ<de
nassiussartaarusukkatta	nassiussaq+TAAR+GUSUP<Causativ<vi
nassiussartaarporluunniit	nassiussaq+TAAR<Indikativ<han+LUUNNIIT
nassiussartaarluarpoq	nassiussaq+TAAR+LUAR<Indikativ<han
nassiussartaavikkatta	nassiussaq+TAAR-VIP<Causativ<vi
nipilersormata	nipilersor<Causativ<de
nipilersormataluunniit	nipilersor<Causativ<de+LUUNNIIT
nipilersormat	nipilersor<Causativ<han
nipilersormalluunniit	nipilersor<Causativ<han+LUUNNIIT
nipilersoratta	nipilersor<Causativ<vi
nipilersorattaluunniit	nipilersor<Causativ<vi+LUUNNIIT
nipilersorunnaarmata	nipilersor+GUNNAAR<Causativ<de
nipilersorunnaarmataluunniit	nipilersor+GUNNAAR<Causativ<de+LUUNNIIT
nipilersorunnaarmat	nipilersor+GUNNAAR<Causativ<han
nipilersorunnaarmalluunniit	nipilersor+GUNNAAR<Causativ<han+LUUNNIIT
nipilersorunnaaratta	nipilersor+GUNNAAR<Causativ<vi
nipilersorunnaarattaluunniit	nipilersor+GUNNAAR<Causativ<vi+LUUNNIIT
nipilersorunnaarpoq	nipilersor+GUNNAAR<Indikativ<han
nipilersorunnaarporluunniit	nipilersor+GUNNAAR<Indikativ<han+LUUNNIIT
nipilersorusummata	nipilersor+GUSUP<Causativ<de
nipilersorusummataluunniit	nipilersor+GUSUP<Causativ<de+LUUNNIIT
nipilersorusummalluunniit	nipilersor+GUSUP<Causativ<han+LUUNNIIT
nipilersorusukkatta	nipilersor+GUSUP<Causativ<vi
nipilersorusukkattaluunniit	nipilersor+GUSUP<Causativ<vi+LUUNNIIT
nipilersorusuppoq	nipilersor+GUSUP<Indikativ<han
nipilersorusupporluunniit	nipilersor+GUSUP<Indikativ<han+LUUNNIIT
nipilersorpoq	nipilersor<Indikativ<han
nipilersorporluunniit	nipilersor<Indikativ<han+LUUNNIIT
nipilersorluarmata	nipilersor+LUAR<Causativ<de
nipilersorluarmataluunniit	nipilersor+LUAR<Causativ<de+LUUNNIIT
nipilersorluarmalluunniit	nipilersor+LUAR<Causativ<han+LUUNNIIT
nipilersorluarattaluunniit	nipilersor+LUAR<Causativ<vi+LUUNNIIT
nipilersorluarpoq	nipilersor+LUAR<Indikativ<han
nipilersorluarporluunniit	nipilersor+LUAR<Indikativ<han+LUUNNIIT
nipilersuimmata	nipilersor-VIP<Causativ<de
nipilersuimmataluunniit	nipilersor-VIP<Causativ<de+LUUNNIIT
nipilersuimmat	nipilersor-VIP<Causativ<han
nipilersuimmalluunniit	nipilersor-VIP<Causativ<han+LUUNNIIT
nipilersuikkatta	nipilersor-VIP<Causativ<vi
nipilersuikkattaluunniit	nipilersor-VIP<Causativ<vi+LUUNNIIT
nipilersuippoq	nipilersor-VIP<Indikativ<han
nipilersuipporluunniit	nipilersor-VIP<Indikativ<han+LUUNNIIT
oqaluttuariunnaarpat	oqaluttuarә+GUNNAAR<Indikativ<DuHam
oqaluttuariunnaarpalluunniit	oqaluttuarә+GUNNAAR<Indikativ<DuHam+LUUNNIIT
oqaluttuariunnaarpaa	oqaluttuarә+GUNNAAR<Indikativ<HanHam
oqaluttuariunnaarpaaluunniit	oqaluttuarә+GUNNAAR<Indikativ<HanHam+LUUNNIIT
oqaluttuariunnaarlara	oqaluttuarә+GUNNAAR<Optativ<JegHam
oqaluttuariunnaarlaraluunniit	oqaluttuarә+GUNNAAR<Optativ<JegHam+LUUNNIIT
oqaluttuarerusuppat	oqaluttuarә+GUSUP<Indikativ<DuHam
oqaluttuarerusuppalluunniit	oqaluttuarә+GUSUP<Indikativ<DuHam+LUUNNIIT
oqaluttuarerusuppaa	oqaluttuarә+GUSUP<Indikativ<HanHam
oqaluttuarerusuppaaluunniit	oqaluttuarә+GUSUP<Indikativ<HanHam+LUUNNIIT
oqaluttuarerusullara	oqaluttuarә+GUSUP<Optativ<JegHam
oqaluttuarerusullaraluunniit	oqaluttuarә+GUSUP<Optativ<JegHam+LUUNNIIT
oqaluttuarivat	oqaluttuarә<Indikativ<DuHam
oqaluttuarivalluunniit	oqaluttuarә<Indikativ<DuHam+LUUNNIIT
oqaluttuarivaa	oqaluttuarә<Indikativ<HanHam
oqaluttuarivaaluunniit	oqaluttuarә<Indikativ<HanHam+LUUNNIIT
oqaluttuarilluarpat	oqaluttuarә+LUAR<Indikativ<DuHam
oqaluttuarilluarpalluunniit	oqaluttuarә+LUAR<Indikativ<DuHam+LUUNNIIT
oqaluttuarilluarpaa	oqaluttuarә+LUAR<Indikativ<HanHam
oqaluttuarilluarpaaluunniit	oqaluttuarә+LUAR<Indikativ<HanHam+LUUNNIIT
oqaluttuarilluarlara	oqaluttuarә+LUAR<Optativ<JegHam
oqaluttuarilluarlaraluunniit	oqaluttuarә+LUAR<Optativ<JegHam+LUUNNIIT
oqaluttuarilara	oqaluttuarә<Optativ<JegHam
oqaluttuarilaraluunniit	oqaluttuarә<Optativ<JegHam+LUUNNIIT
oqaluttuarivippat	oqaluttuarә-VIP<Indikativ<DuHam
oqaluttuarivippalluunniit	oqaluttuarә-VIP<Indikativ<DuHam+LUUNNIIT
oqaluttuarivippaa	oqaluttuarә-VIP<Indikativ<HanHam
oqaluttuarivippaaluunniit	oqaluttuarә-VIP<Indikativ<HanHam+LUUNNIIT
oqaluttuarivillara	oqaluttuarә-VIP<Optativ<JegHam
oqaluttuarivillaraluunniit	oqaluttuarә-VIP<Optativ<JegHam+LUUNNIIT
panik	panik<ental<Absolut
panilluunniit	panik<ental<Absolut+LUUNNIIT
panikkut	panik<ental<Vialis
panikkulluunniit	panik<ental<Vialis+LUUNNIIT
panima	panik<flertal<min>Relativ
panimaluunniit	panik<flertal<min>Relativ+LUUNNIIT
panikkut	panik-KKUT<flertal<Absolut
panikkulluunniit	panik-KKUT<flertal<Absolut+LUUNNIIT
panissiormata	panik+SIUR<Causativ<de
panissiormat	panik+SIUR<Causativ<han
panissiormalluunniit	panik+SIUR<Causativ<han+LUUNNIIT
panissioratta	panik+SIUR<Causativ<vi
panissiorattaluunniit	panik+SIUR<Causativ<vi+LUUNNIIT
panissiorunnaarmata	panik+SIUR+GUNNAAR<Causativ<de
panissiorunnaarattaluunniit	panik+SIUR+GUNNAAR<Causativ<vi+LUUNNIIT
panissiorunnaarpoq	panik+SIUR+GUNNAAR<Indikativ<han
panissiorunnaarporluunniit	panik+SIUR+GUNNAAR<Indikativ<han+LUUNNIIT
panissiorusummataluunniit	panik+SIUR+GUSUP<Causativ<de+LUUNNIIT
panissiorusummat	panik+SIUR+GUSUP<Causativ<han
panissiorusukkatta	panik+SIUR+GUSUP<Causativ<vi
panissiorusukkattaluunniit	panik+SIUR+GUSUP<Causativ<vi+LUUNNIIT
panissiorpoq	panik+SIUR<Indikativ<han
panissiorporluunniit	panik+SIUR<Indikativ<han+LUUNNIIT
panissiorluarporluunniit	panik+SIUR+LUAR<Indikativ<han+LUUNNIIT
panissiuimmata	panik+SIUR-VIP<Causativ<de
panissiuimmataluunniit	panik+SIUR-VIP<Causativ<de+LUUNNIIT
panissiuimmat	panik+SIUR-VIP<Causativ<han
panissiuimmalluunniit	panik+SIUR-VIP<Causativ<han+LUUNNIIT
panissiuikkatta	panik+SIUR-VIP<Causativ<vi
panissiuikkattaluunniit	panik+SIUR-VIP<Causativ<vi+LUUNNIIT
panissiuippoq	panik+SIUR-VIP<Indikativ<han
panissiuipporluunniit	panik+SIUR-VIP<Indikativ<han+LUUNNIIT
panittaarmata	panik+TAAR<Causativ<de
panittaarmat	panik+TAAR<Causativ<han
panittaarmalluunniit	panik+TAAR<Causativ<han+LUUNNIIT
panittaarattaluunniit	panik+TAAR<Causativ<vi+LUUNNIIT
panittaarunnaarpoq	panik+TAAR+GUNNAAR<Indikativ<han
panittaarunnaarporluunniit	panik+TAAR+GUNNAAR<Indikativ<han+LUUNNIIT
panittaarusummata	panik+TAAR+GUSUP<Causativ<de
panittaarusummalluunniit	panik+TAAR+GUSUP<Causativ<han+LUUNNIIT
panittaarusukkatta	panik+TAAR+GUSUP<Causativ<vi
panittaarusukkattaluunniit	panik+TAAR+GUSUP<Causativ<vi+LUUNNIIT
panittaarusuppoq	panik+TAAR+GUSUP<Indikativ<han
panittaarusupporluunniit	panik+TAAR+GUSUP<Indikativ<han+LUUNNIIT
panittaarpoq	panik+TAAR<Indikativ<han
panittaarporluunniit	panik+TAAR<Indikativ<han+LUUNNIIT
panittaarluarmalluunniit	panik+TAAR+LUAR<Causativ<han+LUUNNIIT
panittaarluarporluunniit	panik+TAAR+LUAR<Indikativ<han+LUUNNIIT
panittaavimmata	panik+TAAR-VIP<Causativ<de
panittaavimmataluunniit	panik+TAAR-VIP<Causativ<de+LUUNNIIT
panittaavimmat	panik+TAAR-VIP<Causativ<han
panittaavimmalluunniit	panik+TAAR-VIP<Causativ<han+LUUNNIIT
panittaavikkatta	panik+TAAR-VIP<Causativ<vi
panittaavikkattaluunniit	panik+TAAR-VIP<Causativ<vi+LUUNNIIT
panittaavippoq	panik+TAAR-VIP<Indikativ<han
panittaavipporluunniit	panik+TAAR-VIP<Indikativ<han+LUUNNIIT
pissut	pissut<ental<Absolut
pissulluunniit	pissut<ental<Absolut+LUUNNIIT
pissutikkut	pissut<ental<Vialis
pissutikkulluunniit	pissut<ental<Vialis+LUUNNIIT
pissutima	pissut<flertal<min>Relativ
pissutimaluunniit	pissut<flertal<min>Relativ+LUUNNIIT
pissutikkut	pissut-KKUT<flertal<Absolut
pissutikkulluunniit	pissut-KKUT<flertal<Absolut+LUUNNIIT
pissutisiormataluunniit	pissut+SIUR<Causativ<de+LUUNNIIT
pissutisioratta	pissut+SIUR<Causativ<vi
pissutisiorattaluunniit	pissut+SIUR<Causativ<vi+LUUNNIIT
pissutisiorunnaarmata	pissut+SIUR+GUNNAAR<Causativ<de
pissutisiorunnaarmalluunniit	pissut+SIUR+GUNNAAR<Causativ<han+LUUNNIIT
pissutisiorunnaarpoq	pissut+SIUR+GUNNAAR<Indikativ<han
pissutisiorusummataluunniit	pissut+SIUR+GUSUP<Causativ<de+LUUNNIIT
pissutisiorusukkatta	pissut+SIUR+GUSUP<Causativ<vi
pissutisiorusupporluunniit	pissut+SIUR+GUSUP<Indikativ<han+LUUNNIIT
pissutisiorpoq	pissut+SIUR<Indikativ<han
pissutisiorluaratta	pissut+SIUR+LUAR<Causativ<vi
pissutisiuimmataluunniit	pissut+SIUR-VIP<Causativ<de+LUUNNIIT
pissutisiuimmat	pissut+SIUR-VIP<Causativ<han
pissutisiuimmalluunniit	pissut+SIUR-VIP<Causativ<han+LUUNNIIT
pissutisiuikkatta	pissut+SIUR-VIP<Causativ<vi
pissutisiuikkattaluunniit	pissut+SIUR-VIP<Causativ<vi+LUUNNIIT
pissutisiuippoq	pissut+SIUR-VIP<Indikativ<han
pissutisiuipporluunniit	pissut+SIUR-VIP<Indikativ<han+LUUNNIIT
pissutitaarmata	pissut+TAAR<Causativ<de
pissutitaarmataluunniit	pissut+TAAR<Causativ<de+LUUNNIIT
pissutitaarmalluunniit	pissut+TAAR<Causativ<han+LUUNNIIT
pissutitaarattaluunniit	pissut+TAAR<Causativ<vi+LUUNNIIT
pissutitaarunnaarmataluunniit	pissut+TAAR+GUNNAAR<Causativ<de+LUUNNIIT
pissutitaarunnaaratta	pissut+TAAR+GUNNAAR<Causativ<vi
pissutitaarusummat	pissut+TAAR+GUSUP<Causativ<han
pissutitaarusummalluunniit	pissut+TAAR+GUSUP<Causativ<han+LUUNNIIT
pissutitaarusukkatta	pissut+TAAR+GUSUP<Causativ<vi
pissutitaarusuppoq	pissut+TAAR+GUSUP<Indikativ<han
pissutitaarusupporluunniit	pissut+TAAR+GUSUP<Indikativ<han+LUUNNIIT
pissutitaarpoq	pissut+TAAR<Indikativ<han
pissutitaarporluunniit	pissut+TAAR<Indikativ<han+LUUNNIIT
pissutitaarluarmalluunniit	pissut+TAAR+LUAR<Causativ<han+LUUNNIIT
pissutitaarluarpoq	pissut+TAAR+LUAR<Indikativ<han
pissutitaavimmataluunniit	pissut+TAAR-VIP<Causativ<de+LUUNNIIT
pissutitaavimmat	pissut+TAAR-VIP<Causativ<han
pissutitaavimmalluunniit	pissut+TAAR-VIP<Causativ<han+LUUNNIIT
pissutitaavikkatta	pissut+TAAR-VIP<Causativ<vi
pissutitaavikkattaluunniit	pissut+TAAR-VIP<Causativ<vi+LUUNNIIT
pissutitaavippoq	pissut+TAAR-VIP<Indikativ<han
pissutitaavipporluunniit	pissut+TAAR-VIP<Indikativ<han+LUUNNIIT
qaangiummata	qaangiup<Causativ<de
qaangiummataluunniit	qaangiup<Causativ<de+LUUNNIIT
qaangiummat	qaangiup<Causativ<han
qaangiummalluunniit	qaangiup<Causativ<han+LUUNNIIT
qaangiukkatta	qaangiup<Causativ<vi
qaangiukkattaluunniit	qaangiup<Causativ<vi+LUUNNIIT
qaangiukkunnaarmata	qaangiup+GUNNAAR<Causativ<de
qaangiukkunnaaratta	qaangiup+GUNNAAR<Causativ<vi
qaangiukkunnaarpoq	qaangiup+GUNNAAR<Indikativ<han
qaangiukkusummata	qaangiup+GUSUP<Causativ<de
qaangiukkusummat	qaangiup+GUSUP<Causativ<han
qaangiukkusummalluunniit	qaangiup+GUSUP<Causativ<han+LUUNNIIT
qaangiukkusukkatta	qaangiup+GUSUP<Causativ<vi
qaangiukkusukkattaluunniit	qaangiup+GUSUP<Causativ<vi+LUUNNIIT
qaangiukkusuppoq	qaangiup+GUSUP<Indikativ<han
qaangiukkusupporluunniit	qaangiup+GUSUP<Indikativ<han+LUUNNIIT
qaangiuppoq	qaangiup<Indikativ<han
qaangiupporluunniit	qaangiup<Indikativ<han+LUUNNIIT
qaangiulluarmata	qaangiup+LUAR<Causativ<de
qaangiulluarmataluunniit	qaangiup+LUAR<Causativ<de+LUUNNIIT
qaangiulluarmat	qaangiup+LUAR<Causativ<han
qaangiulluarmalluunniit	qaangiup+LUAR<Causativ<han+LUUNNIIT
qaangiulluaratta	qaangiup+LUAR<Causativ<vi
qaangiulluarattaluunniit	qaangiup+LUAR<Causativ<vi+LUUNNIIT
qaangiulluarpoq	qaangiup+LUAR<Indikativ<han
qaangiulluarporluunniit	qaangiup+LUAR<Indikativ<han+LUUNNIIT
qaangiutivimmata	qaangiup-VIP<Causativ<de
qaangiutivimmataluunniit	qaangiup-VIP<Causativ<de+LUUNNIIT
qaangiutivimmat	qaangiup-VIP<Causativ<han
qaangiutivimmalluunniit	qaangiup-VIP<Causativ<han+LUUNNIIT
qaangiutivikkatta	qaangiup-VIP<Causativ<vi
qaangiutivikkattaluunniit	qaangiup-VIP<Causativ<vi+LUUNNIIT
qaangiutivippoq	qaangiup-VIP<Indikativ<han
qaangiutivipporluunniit	qaangiup-VIP<Indikativ<han+LUUNNIIT
qimakkunnaarpat	qimap+GUNNAAR<Indikativ<DuHam
qimakkunnaarpalluunniit	qimap+GUNNAAR<Indikativ<DuHam+LUUNNIIT
qimakkunnaarpaa	qimap+GUNNAAR<Indikativ<HanHam
qimakkunnaarpaaluunniit	qimap+GUNNAAR<Indikativ<HanHam+LUUNNIIT
qimakkunnaarlara	qimap+GUNNAAR<Optativ<JegHam
qimakkunnaarlaraluunniit	qimap+GUNNAAR<Optativ<JegHam+LUUNNIIT
qimakkusuppat	qimap+GUSUP<Indikativ<DuHam
qimakkusuppalluunniit	qimap+GUSUP<Indikativ<DuHam+LUUNNIIT
qimakkusuppaa	qimap+GUSUP<Indikativ<HanHam
qimakkusuppaaluunniit	qimap+GUSUP<Indikativ<HanHam+LUUNNIIT
qimakkusullara	qimap+GUSUP<Optativ<JegHam
qimakkusullaraluunniit	qimap+GUSUP<Optativ<JegHam+LUUNNIIT
qimappat	qimap<Indikativ<DuHam
qimappalluunniit	qimap<Indikativ<DuHam+LUUNNIIT
qimappaa	qimap<Indikativ<HanHam
qimappaaluunniit	qimap<Indikativ<HanHam+LUUNNIIT
qimalluarpat	qimap+LUAR<Indikativ<DuHam
qimalluarpalluunniit	qimap+LUAR<Indikativ<DuHam+LUUNNIIT
qimalluarpaa	qimap+LUAR<Indikativ<HanHam
qimalluarpaaluunniit	qimap+LUAR<Indikativ<HanHam+LUUNNIIT
qimalluarlara	qimap+LUAR<Optativ<JegHam
qimalluarlaraluunniit	qimap+LUAR<Optativ<JegHam+LUUNNIIT
qimallara	qimap<Optativ<JegHam
qimallaraluunniit	qimap<Optativ<JegHam+LUUNNIIT
qimavippat	qimap-VIP<Indikativ<DuHam
qimavippalluunniit	qimap-VIP<Indikativ<DuHam+LUUNNIIT
qimavippaa	qimap-VIP<Indikativ<HanHam
qimavippaaluunniit	qimap-VIP<Indikativ<HanHam+LUUNNIIT
qimavillara	qimap-VIP<Optativ<JegHam
qimavillaraluunniit	qimap-VIP<Optativ<JegHam+LUUNNIIT
sooq	sooq<Partikel
soorluunniit	sooq<Partikel+LUUNNIIT
soorunami	soorunami<Partikel
soorunamiluunniit	soorunami<Partikel+LUUNNIIT
soqutiginarmata	soqutiginar<Causativ<de
soqutiginarmataluunniit	soqutiginar<Causativ<de+LUUNNIIT
soqutiginarmat	soqutiginar<Causativ<han
soqutiginarmalluunniit	soqutiginar<Causativ<han+LUUNNIIT
soqutiginarattaluunniit	soqutiginar<Causativ<vi+LUUNNIIT
