aallaratta	aallar<Causativ<vi
akuerereerluguli	akuerә-RIIR<Ledsagemåde<ham+LI
akuerereerlaraana	akuerә-RIIR<Optativ<JegHam+UNA
akuerisorujorujussuullunga	akuerә+TUQ=RUJUK=RUJUK=SUAQ=U<Ledsagemåde<mig
aleqamininguna	aleqa<flertal<sin<Instrumentalis+UNA
aleqaannaleqqaarlungaana	aleqa-INNAQ-LIR_nv-QQAAR<Ledsagemåde<mig+UNA
aleqakkunneereertunga	aleqa-KKUT<flertal<Instrumentalis-IR-RIIR<Participium<jeg
aleqalereqqaarninili	aleqa-LIRI-QQAAR+NIQ<ental<sin<Absolut+LI
aleqamiuuallaarpit	aleqa+MIU-U+VALLAAR<Interrogativ<du
aleqassaagalui	aleqa-SSAQ=U=GALUAQ<flertal<deres<Absolut
aleqaasaraluarfianuna	aleqa-U+TAR=GALUAR+FIK<ental<Absolut<deres+UNA
allani	alla<flertal<Lokalis
allakkatulli	allagaq<ental<Aequalis+LI
allagiittut	alla+GIIT<flertal<Aequalis
allagereerakku	alla+GӘ-RIIR<Causativ<JegHam
allalimma	alla-LIK<ental<min<Relativ
allallilli	alla-LIK<flertal<Relativ+LI
allalilermanga	alla-LIR_nv-LIR<Causativ<HanMig
allamiooqimmanuna	alla+MIU-U-QӘ<Causativ<han+UNA
allamiuuallaartununa	alla+MIU-U+VALLAAR<Participium<de+UNA
allanngulaartaratta	alla-NNGUR-LAAR=TAR<Causativ<vi
allarujussua	alla-RUJUK=SUAQ<ental<hans<Absolut
allarujussuarmut	alla-RUJUK=SUAQ<ental<Terminalis
allassaagama	alla-SSAQ-U<Causativ<jeg
allassaagaluataana	alla-SSAQ=U=GALUAQ<ental<hans<Relativ+UNA
allataannginnatta	alla+TAAR-NNGIT<Causativ<vi
allataaqqaarnini	alla+TAAR-QQAAR+NIQ<ental<sin<Absolut
allataavifferujuttaannginnerit	alla+TAAR-VIP+FIK-RUJUK+TAAR-NNGIT+NIQ<flertal<Relativ
anaanami	anaana<ental<Lokalis
anaananngualu	anaana-NNGUAQ<ental<hans<Absolut+LU
anaanarpassuilu	anaana+PASSUAQ<flertal<deres<Absolut+LU
anaanaqareerferujuinuna	anaana-QAR-RIIR+FIK-RUJUK<flertal<Relativ+UNA
anaanataalerlutinguna	anaana+TAAR-LIR<Ledsagemåde<de_selv+UNA
anaanataareerpunga	anaana+TAAR-RIIR<Indikativ<jeg
angajoqqaarsiussammata	angajoqqaaq+SIUR-SSA<Causativ<de
angajuinnanngoriarfissiussagaluarfiinnanngoreerfeqareerfikkunninguna	angaju-INNAQ-NNGUR-RIAR+FIK+SIUR-SSA=GALUAR+FIK-INNAQ-NNGUR-RIIR+FIK-QAR-RIIR+FIK-KKUT<flertal<Instrumentalis+UNA
angajorpassuakkali	angaju+PASSUAQ<flertal<min<Absolut+LI
angajoqaqqulara	angaju-QAR-QQU<Optativ<JegHam
angulli	angut<ental<Absolut+LI
angununa	angut<ental<Absolut+UNA
angummiinngilanga	angut<ental<Instrumentalis-IR-NNGIT<Indikativ<jeg
animinillu	ani<flertal<sin<Instrumentalis+LU
aneqalaartunga	ani-QAR-LAAR<Participium<jeg
anerujunngussagatta	ani-RUJUK-NNGUR-SSA<Causativ<vi
anerujooqquiuk	ani-RUJUK-U-QQU<Interrogativ<DuHam
anisiussasununa	ani+SIUR-SSA<Participium<de+UNA
aqqalunnguatalu	aqqalu-NNGUAQ<ental<deres<Relativ+LU
aqqalunngoriarfileqqaarpaa	aqqalu-NNGUR-RIAR+FIK-LIR_nv-QQAAR<Indikativ<HanHam
aqqalorujooqaat	aqqalu-RUJUK-U-QӘ<Interrogativ<du
aqqanilissanngoqqaarnermut	aqqanillit-SSAQ-NNGUR-QQAAR+NIQ<ental<Terminalis
aqqanillinuna	aqqanillit<Talord<flertal<Absolut+UNA
aqqanilinnukavillutik	aqqanillit<Talord<flertal<Terminalis-KAR-VIP<Ledsagemåde<de_selv
aqqutigivagununa	aqqutigә<Indikativ<ViDem+UNA
aqqutigeriarmanga	aqqutigә-RIAR<Causativ<HanMig
aqqutigereerlunga	aqqutigә-RIIR<Ledsagemåde<mig
aqqutigisimallunga	aqqutigә+SIMA<Ledsagemåde<mig
aqqutigissavaa	aqqutigә-SSA<Indikativ<HanHam
aqqutigisarlungalu	aqqutigә+TAR<Ledsagemåde<mig+LU
arnaq	arnaq<ental<Absolut
arnaralu	arnaq<ental<min<Absolut+LU
arnaminik	arnaq<flertal<sin<Instrumentalis
arnariinuna	arnaq+GIIT<flertal<Absolut+UNA
arnareqqaarlara	arnaq+GӘ-QQAAR<Optativ<JegHam
arnaannaaneruffippassuarniinngitsoruna	arnaq-INNAQ-U+NIRU+FIK+PASSUAQ<flertal<Instrumentalis-IR-NNGIT<Participium<han+UNA
arnakkunneeqqularali	arnaq-KKUT<flertal<Instrumentalis-IR-QQU<Optativ<JegHam+LI
arnalereriarfissanngulaartartoq	arnaq-LIRI-RIAR+FIK-SSAQ-NNGUR-LAAR=TAR<Participium<han
arnarmioqartorli	arnaq+MIU-QAR+TUQ<ental<Absolut+LI
arnarpassuartut	arnaq+PASSUAQ<flertal<Aequalis
arnarpassuakka	arnaq+PASSUAQ<flertal<min<Absolut
arnarujulluunniit	arnaq-RUJUK<ental<Absolut+LUUNNIIT
arnarsioreertulluunniit	arnaq+SIUR-RIIR<Participium<de+LUUNNIIT
arnassalilerlugu	arnaq-SSAQ-LIR_nv-LIR<Ledsagemåde<ham
arnartaaqimmallu	arnaq+TAAR-QӘ<Causativ<han+LU
assersuullu	assersuut<ental<Absolut+LU
assersuununa	assersuut<ental<Absolut+UNA
assersuummukaqqutigilli	assersuut<ental<Terminalis-KAR-QQU<Imperativ<ViDem+LI
assorsuaq	assorsuaq<Partikel
assulli	assut<Partikel+LI
assununa	assut<Partikel+UNA
atassummukassagaluarlutinguna	atassut<ental<Terminalis-KAR-SSA=GALUAR<Ledsagemåde<de_selv+UNA
atassutilittulli	atassut-LIK<ental<Aequalis+LI
ateqartorujussuullutik	ateqar+TUQ=RUJUK=SUAQ=U<Ledsagemåde<de_selv
atilerereernini	ateq-LIRI-RIIR+NIQ<ental<sin<Absolut
atinnguiluunniit	ateq-NNGUAQ<flertal<hans<Absolut+LUUNNIIT
aterpassuili	ateq+PASSUAQ<flertal<hans<Absolut+LI
aterujukkali	ateq-RUJUK<flertal<min<Absolut+LI
atiutippiuk	ateq-U+TIP<Interrogativ<DuHam
atuinnartigilli	ator-INNAR<Imperativ<ViDem+LI
atunngilakka	ator-NNGIT<Indikativ<JegDem
atoqquassi	ator-QQU<Indikativ<JegJer
atoqqularali	ator-QQU<Optativ<JegHam+LI
atoriarlugit	ator-RIAR<Ledsagemåde<dem
atoriartoriinni	ator-RIAR+TUQ+GIIT<flertal<min<Lokalis
atussallunga	ator-SSA<Ledsagemåde<mig
atuakkialerininngooqqulara	atuakkialerineq-NNGUAQ-U-QQU<Optativ<JegHam
atuarsinnaasorlu	atuar+SINNAA<Participium<han+LU
Avanersuaq	Avanersuaq<ental<Absolut
Avanersuarli	Avanersuaq<ental<Absolut+LI
Avanersuarluunniit	Avanersuaq<ental<Absolut+LUUNNIIT
Avanersuaruna	Avanersuaq<ental<Absolut+UNA
Avanersuarmik	Avanersuaq<Instrumentalis
Avanersuarmilli	Avanersuaq<Instrumentalis+LI
Avanersuarmilluunniit	Avanersuaq<Instrumentalis+LUUNNIIT
Avanersuarminguna	Avanersuaq<Instrumentalis+UNA
Avanersuarmi	Avanersuaq<Lokalis
Avanersuarmeeqqaarneq	Avanersuaq<Lokalis+IP-QQAAR+NIQ<ental<Absolut
Avanersuarmeeqqaartoq	Avanersuaq<Lokalis+IP-QQAAR<Participium<han
Avanersuarmeeqquaangaluunniit	Avanersuaq<Lokalis+IP-QQU<Indikativ<HanMig+LUUNNIIT
Avanersuarmeeqqullunga	Avanersuaq<Lokalis+IP-QQU<Ledsagemåde<mig
