aamma	aamma<Partikel
assersuummiinniarnatilli	assersuut<ental<Lokalis+IP+NIAR=NNGIT<Ledsagemåde<de_selv+LI
assersuummut	assersuut<ental<Terminalis
assersuummulli	assersuut<ental<Terminalis+LI
assersuummununa	assersuut<ental<Terminalis+UNA
assersuutaannaq	assersuut-INNAQ<ental<Absolut
assersuutaannaa	assersuut-INNAQ<flertal<hans<Absolut
assersuutimiunili	assersuut+MIU<flertal<Lokalis+LI
assersuutimiunngorpununa	assersuut+MIU-NNGUR<Indikativ<de+UNA
assersuutimiunngortarlutillu	assersuut+MIU-NNGUR+TAR<Ledsagemåde<de_selv+LU
assersuutinngulaartarnera	assersuut-NNGUR-LAAR=TAR+NIQ<ental<hans<Absolut
assersuuterpassui	assersuut+PASSUAQ<flertal<hans<Absolut
assersuuteqaraluarpungaana	assersuut-QAR+GALUAR<Indikativ<jeg+UNA
assersuuteqassagaluarpit	assersuut-QAR-SSA=GALUAR<Interrogativ<du
assersuutaagaluarnerinuna	assersuut-U+GALUAR+NIQ<flertal<Relativ+UNA
assersuutaaniarput	assersuut-U+NIAR<Indikativ<de
ataasillit	ataaseq-LIK<flertal<Relativ
ataatsimik	ataaseq<Talord<Instrumentalis
ataatagisaraluartigilli	ataata+GӘ+TAR=GALUAR<Imperativ<ViDem+LI
ataataannalerisimasarpunga	ataata-INNAQ-LIRI+SIMA=TAR<Indikativ<jeg
ateq	ateq<ental<Absolut
atianuna	ateq<ental<deres<Absolut+UNA
atillit	ateq-LIK<flertal<Relativ
ateqalaarporuna	ateq-QAR-LAAR<Indikativ<han+UNA
ateqalaartarlutik	ateq-QAR-LAAR=TAR<Ledsagemåde<de_selv
ateqarlutinguna	ateq-QAR<Ledsagemåde<de_selv+UNA
ateqanngilangali	ateq-QAR-NNGIT<Indikativ<jeg+LI
ateqartungaana	ateq-QAR<Participium<jeg+UNA
atorpit	ator<Interrogativ<du
atulaarnermulli	ator-LAAR+NIQ<ental<Terminalis+LI
atorlutinguna	ator<Ledsagemåde<de_selv+UNA
atorniartoruna	ator+NIAR<Participium<han+UNA
atornatilli	ator-NNGIT<Ledsagemåde<de_selv+LI
atunnginnerinuna	ator-NNGIT+NIQ<flertal<Relativ+UNA
atorsimanernilu	ator+SIMA+NIQ<flertal<Lokalis+LU
atorsimasarnera	ator+SIMA=TAR+NIQ<ental<hans<Absolut
atussagaluarpakkaana	ator-SSA=GALUAR<Indikativ<JegDem+UNA
Avanersuaq	Avanersuaq<Absolut
Avanersuarli	Avanersuaq<Absolut+LI
Avanersuarlu	Avanersuaq<Absolut+LU
Avanersuaruna	Avanersuaq<Absolut+UNA
Avanersuarmik	Avanersuaq<Instrumentalis
Avanersuarmilli	Avanersuaq<Instrumentalis+LI
Avanersuarmillu	Avanersuaq<Instrumentalis+LU
Avanersuarminguna	Avanersuaq<Instrumentalis+UNA
Avanersuarmi	Avanersuaq<Lokalis
Avanersuarmiu	Avanersuaq+MIU<ental<Absolut
Avanersuarmiumilli	Avanersuaq+MIU<ental<Instrumentalis+LI
Avanersuarmiumi	Avanersuaq+MIU<ental<Lokalis
Avanersuarmiumullu	Avanersuaq+MIU<ental<Terminalis+LU
Avanersuarmiumununa	Avanersuaq+MIU<ental<Terminalis+UNA
Avanersuarmiunilli	Avanersuaq+MIU<flertal<Instrumentalis+LI
Avanersuarmiunillu	Avanersuaq+MIU<flertal<Instrumentalis+LU
Avanersuarmiuninguna	Avanersuaq+MIU<flertal<Instrumentalis+UNA
Avanersuarmiuni	Avanersuaq+MIU<flertal<Lokalis
Avanersuarmiuniuna	Avanersuaq+MIU<flertal<Lokalis+UNA
Avanersuarmiulerilaarnerit	Avanersuaq+MIU-LIRI-LAAR+NIQ<flertal<Relativ
Avanersuarmiuleriniartoq	Avanersuaq+MIU-LIRI+NIAR<Participium<han
Avanersuarmiulerisoruna	Avanersuaq+MIU-LIRI<Participium<han+UNA
Avanersuarmiulerissagaluartunga	Avanersuaq+MIU-LIRI-SSA=GALUAR<Participium<jeg
Avanersuarmiunngoraluarpit	Avanersuaq+MIU-NNGUR+GALUAR<Interrogativ<du
Avanersuarmiunngoraluarneri	Avanersuaq+MIU-NNGUR+GALUAR+NIQ<flertal<hans<Absolut
Avanersuarmiunngulaarneq	Avanersuaq+MIU-NNGUR-LAAR+NIQ<ental<Absolut
Avanersuarmiunngulaartarpoq	Avanersuaq+MIU-NNGUR-LAAR=TAR<Indikativ<han
Avanersuarmiunngulaartarlutik	Avanersuaq+MIU-NNGUR-LAAR=TAR<Ledsagemåde<de_selv
Avanersuarmiunngorlutik	Avanersuaq+MIU-NNGUR<Ledsagemåde<de_selv
Avanersuarmiunngornatik	Avanersuaq+MIU-NNGUR-NNGIT<Ledsagemåde<de_selv
Avanersuarmiunngorsimasarnerit	Avanersuaq+MIU-NNGUR+SIMA=TAR+NIQ<flertal<Absolut
Avanersuarmioqarpoq	Avanersuaq+MIU-QAR<Indikativ<han
Avanersuarmioqarporli	Avanersuaq+MIU-QAR<Indikativ<han+LI
Avanersuarmioqarporuna	Avanersuaq+MIU-QAR<Indikativ<han+UNA
Avanersuarmioqarneq	Avanersuaq+MIU-QAR+NIQ
Avanersuarmioqarnerli	Avanersuaq+MIU-QAR+NIQ+LI
Avanersuarmioqartoq	Avanersuaq+MIU-QAR<Participium<han
Avanersuarmioqartorli	Avanersuaq+MIU-QAR<Participium<han+LI
Avanersuarmioqartoruna	Avanersuaq+MIU-QAR<Participium<han+UNA
Avanersuarmiuugaluarpit	Avanersuaq+MIU-U+GALUAR<Interrogativ<du
Avanersuarmiuuvunga	Avanersuaq+MIU-U<Indikativ<jeg
Avanersuarmiuuvungalu	Avanersuaq+MIU-U<Indikativ<jeg+LU
Avanersuarmiuuvungaana	Avanersuaq+MIU-U<Indikativ<jeg+UNA
Avanersuarmiuuit	Avanersuaq+MIU-U<Interrogativ<du
Avanersuarmiuulaartarpit	Avanersuaq+MIU-U-LAAR=TAR<Interrogativ<du
Avanersuarmiuulaartartungalu	Avanersuaq+MIU-U-LAAR=TAR<Participium<jeg+LU
Avanersuarmiuullutillu	Avanersuaq+MIU-U<Ledsagemåde<de_selv+LU
Avanersuarmiuuniarpit	Avanersuaq+MIU-U+NIAR<Interrogativ<du
Avanersuarmiuuniarlutilli	Avanersuaq+MIU-U+NIAR<Ledsagemåde<de_selv+LI
Avanersuarmiuuniarnerilli	Avanersuaq+MIU-U+NIAR+NIQ<flertal<Relativ+LI
Avanersuarmiuunernilli	Avanersuaq+MIU-U+NIQ<flertal<Instrumentalis+LI
Avanersuarmiuunngilanga	Avanersuaq+MIU-U-NNGIT<Indikativ<jeg
Avanersuarmiuunatillu	Avanersuaq+MIU-U-NNGIT<Ledsagemåde<de_selv+LU
Avanersuarmiuunnginnera	Avanersuaq+MIU-U-NNGIT+NIQ<ental<hans<Absolut
Avanersuarmiuusunga	Avanersuaq+MIU-U<Participium<jeg
Avanersuarmiuusimasarnermullu	Avanersuaq+MIU-U+SIMA=TAR+NIQ<ental<Terminalis+LU
Avanersuarmiuussagaluarpulli	Avanersuaq+MIU-U-SSA=GALUAR<Indikativ<de+LI
Avanersuarmiuussagaluarneq	Avanersuaq+MIU-U-SSA=GALUAR+NIQ<ental<Absolut
Avanersuarmiuussagaluartungalu	Avanersuaq+MIU-U-SSA=GALUAR<Participium<jeg+LU
Avanersuarmiuusaraluarpugullu	Avanersuaq+MIU-U+TAR=GALUAR<Indikativ<vi+LU
Avanersuarmiuusaraluartunga	Avanersuaq+MIU-U+TAR=GALUAR<Participium<jeg
Avanersuarmiuusarnerilli	Avanersuaq+MIU-U+TAR+NIQ<flertal<Relativ+LI
Avanersuarmut	Avanersuaq<Terminalis
Avanersuarmulli	Avanersuaq<Terminalis+LI
Avanersuarmununa	Avanersuaq<Terminalis+UNA
eqqaamagaluartigit	eqqaama+GALUAR<Imperativ<ViDem
eqqaamagaluartigillu	eqqaama+GALUAR<Imperativ<ViDem+LU
eqqaamagaluarpaalli	eqqaama+GALUAR<Indikativ<DeHam+LI
eqqaamagaluarpakka	eqqaama+GALUAR<Indikativ<JegDem
eqqaamagaluarpakkaana	eqqaama+GALUAR<Indikativ<JegDem+UNA
eqqaamatigit	eqqaama<Imperativ<ViDem
eqqaamatiginuna	eqqaama<Imperativ<ViDem+UNA
eqqaamavaat	eqqaama<Indikativ<DeHam
eqqaamavaanuna	eqqaama<Indikativ<DeHam+UNA
eqqaamavaannga	eqqaama<Indikativ<DeMig
eqqaamavaali	eqqaama<Indikativ<HanHam+LI
eqqaamavassi	eqqaama<Indikativ<JegJer
eqqaamavagullu	eqqaama<Indikativ<ViDem+LU
eqqaamaviuk	eqqaama<Interrogativ<DuHam
eqqaamalaartigit	eqqaama-LAAR<Imperativ<ViDem
eqqaamalaartigillu	eqqaama-LAAR<Imperativ<ViDem+LU
eqqaamalaartiginuna	eqqaama-LAAR<Imperativ<ViDem+UNA
eqqaamalaarpaannga	eqqaama-LAAR<Indikativ<DeMig
eqqaamalaarpakka	eqqaama-LAAR<Indikativ<JegDem
eqqaamalaartartigit	eqqaama-LAAR=TAR<Imperativ<ViDem
eqqaamalaartarpassi	eqqaama-LAAR=TAR<Indikativ<JegJer
eqqaamalaartarpagullu	eqqaama-LAAR=TAR<Indikativ<ViDem+LU
eqqaamaniartiginuna	eqqaama+NIAR<Imperativ<ViDem+UNA
eqqaamaniarpakkali	eqqaama+NIAR<Indikativ<JegDem+LI
eqqaamanngilaat	eqqaama-NNGIT<Indikativ<DeHam
eqqaamanngilaa	eqqaama-NNGIT<Indikativ<HanHam
eqqaamanngilakka	eqqaama-NNGIT<Indikativ<JegDem
eqqaamanngilagulli	eqqaama-NNGIT<Indikativ<ViDem+LI
eqqaamanngiliuk	eqqaama-NNGIT<Interrogativ<DuHam
eqqaamasimatigit	eqqaama+SIMA<Imperativ<ViDem
eqqaamasimatigilli	eqqaama+SIMA<Imperativ<ViDem+LI
eqqaamasimavakka	eqqaama+SIMA<Indikativ<JegDem
eqqaamasimaviuk	eqqaama+SIMA<Interrogativ<DuHam
eqqaamasimasartigit	eqqaama+SIMA=TAR<Imperativ<ViDem
eqqaamasimasartigilli	eqqaama+SIMA=TAR<Imperativ<ViDem+LI
eqqaamasimasarpaalli	eqqaama+SIMA=TAR<Indikativ<DeHam+LI
eqqaamasimasarpakka	eqqaama+SIMA=TAR<Indikativ<JegDem
eqqaamasimasarpassiuna	eqqaama+SIMA=TAR<Indikativ<JegJer+UNA
eqqaamasimasarpiuk	eqqaama+SIMA=TAR<Interrogativ<DuHam
eqqaamasinnaatigit	eqqaama+SINNAA<Imperativ<ViDem
eqqaamasinnaatigilli	eqqaama+SINNAA<Imperativ<ViDem+LI
eqqaamasinnaavaat	eqqaama+SINNAA<Indikativ<DeHam
eqqaamasinnaavaalli	eqqaama+SINNAA<Indikativ<DeHam+LI
eqqaamasinnaavaannga	eqqaama+SINNAA<Indikativ<DeMig
eqqaamasinnaavakkalu	eqqaama+SINNAA<Indikativ<JegDem+LU
eqqaamasinnaavagut	eqqaama+SINNAA<Indikativ<ViDem
eqqaamasinnaaviuk	eqqaama+SINNAA<Interrogativ<DuHam
eqqaamassagaluartigilli	eqqaama-SSA=GALUAR<Imperativ<ViDem+LI
eqqaamassagaluartiginuna	eqqaama-SSA=GALUAR<Imperativ<ViDem+UNA
eqqaamassagaluarpaat	eqqaama-SSA=GALUAR<Indikativ<DeHam
eqqaamassagaluarpakka	eqqaama-SSA=GALUAR<Indikativ<JegDem
eqqaamassagaluarpagut	eqqaama-SSA=GALUAR<Indikativ<ViDem
eqqaamassagaluarpiuk	eqqaama-SSA=GALUAR<Interrogativ<DuHam
eqqaamassatigillu	eqqaama-SSA<Imperativ<ViDem+LU
eqqaamassavaanngaana	eqqaama-SSA<Indikativ<DeMig+UNA
eqqaamassavassilu	eqqaama-SSA<Indikativ<JegJer+LU
eqqaamasaraluartigilli	eqqaama+TAR=GALUAR<Imperativ<ViDem+LI
eqqaamasaraluarpaannga	eqqaama+TAR=GALUAR<Indikativ<DeMig
eqqaamasaraluarpagulli	eqqaama+TAR=GALUAR<Indikativ<ViDem+LI
eqqaamasaraluarpiuk	eqqaama+TAR=GALUAR<Interrogativ<DuHam
eqqaamasartigit	eqqaama+TAR<Imperativ<ViDem
eqqaamasartigilli	eqqaama+TAR<Imperativ<ViDem+LI
eqqaamasartiginuna	eqqaama+TAR<Imperativ<ViDem+UNA
eqqaamasarpakka	eqqaama+TAR<Indikativ<JegDem
eqqaamasarpakkaana	eqqaama+TAR<Indikativ<JegDem+UNA
eqqaamasarpassi	eqqaama+TAR<Indikativ<JegJer
eqqaamasarpagullu	eqqaama+TAR<Indikativ<ViDem+LU
eqqaamasarpiuk	eqqaama+TAR<Interrogativ<DuHam
eqqumiitsuliortoq	eqqumiitsuliortoq<ental<Absolut
eqqumiitsuliortorli	eqqumiitsuliortoq<ental<Absolut+LI
eqqumiitsuliortutut	eqqumiitsuliortoq<ental<Aequalis
eqqumiitsuliortuali	eqqumiitsuliortoq<ental<hans<Absolut+LI
eqqumiitsuliortuaana	eqqumiitsuliortoq<ental<hans<Absolut+UNA
eqqumiitsuliortumilli	eqqumiitsuliortoq<ental<Instrumentalis+LI
eqqumiitsuliortumi	eqqumiitsuliortoq<enta<Lokalisl
eqqumiitsuliortumiikkaluarnerli	eqqumiitsuliortoq<enta<Lokalisl+IP+GALUAR+NIQ<ental<Absolut+LI
eqqumiitsuliortumiilaartartunga	eqqumiitsuliortoq<enta<Lokalisl+IP-LAAR=TAR<Participium<jeg
eqqumiitsuliortumiissagaluartorli	eqqumiitsuliortoq<enta<Lokalisl+IP-SSA=GALUAR<Participium<han+LI
eqqumiitsuliortumiittarpungaana	eqqumiitsuliortoq<enta<Lokalisl+IP+TAR<Indikativ<jeg+UNA
eqqumiitsuliortumilu	eqqumiitsuliortoq<enta<Lokalisl+LU
eqqumiitsuliortumiuna	eqqumiitsuliortoq<enta<Lokalisl+UNA
eqqumiitsuliortuili	eqqumiitsuliortoq<flertal<hans<Absolut+LI
eqqumiitsuliortuni	eqqumiitsuliortoq<flertal<Lokalis
eqqumiitsuliortuniissimapput	eqqumiitsuliortoq<flertal<Lokalis+IP+SIMA<Indikativ<de
eqqumiitsuliortoritigit	eqqumiitsuliortoq+GӘ<Imperativ<ViDem
eqqumiitsuliortorisimavagununa	eqqumiitsuliortoq+GӘ+SIMA<Indikativ<ViDem+UNA
eqqumiitsuliortorisaraluartigit	eqqumiitsuliortoq+GӘ+TAR=GALUAR<Imperativ<ViDem
eqqumiitsuliortorisaraluarpakkaana	eqqumiitsuliortoq+GӘ+TAR=GALUAR<Indikativ<JegDem+UNA
eqqumiitsuliortuinnaq	eqqumiitsuliortoq-INNAQ<ental<Absolut
eqqumiitsuliortuinnarnillu	eqqumiitsuliortoq-INNAQ<flertal<Instrumentalis+LU
