aamma	aamma<Partikel
aammali	aamma<Partikel+LI
aammaana	aamma<Partikel+UNA
aappaaguli	aappaagu<Partikel+LI
aappaagulu	aappaagu<Partikel+LU
aappaaguuna	aappaagu<Partikel+UNA
aap	aap<Partikel
aalli	aap<Partikel+LI
aallu	aap<Partikel+LU
aapuna	aap<Partikel+UNA
Aasiaat	Aasiaat<Absolut
Aasiaalli	Aasiaat<Absolut+LI
Aasiaallu	Aasiaat<Absolut+LU
Aasiaanuna	Aasiaat<Absolut+UNA
Aasiannik	Aasiaat<Instrumentalis
Aasiannilli	Aasiaat<Instrumentalis+LI
Aasiannillu	Aasiaat<Instrumentalis+LU
Aasianninguna	Aasiaat<Instrumentalis+UNA
Aasianni	Aasiaat<Lokalis
Aasiannili	Aasiaat<Lokalis+LI
Aasiannilu	Aasiaat<Lokalis+LU
Aasianniuna	Aasiaat<Lokalis+UNA
Aasiammiu	Aasiaat+MIU<ental<Absolut
Aasiammiumut	Aasiaat+MIU<ental<Terminalis
Aasiammiuniuna	Aasiaat+MIU<flertal<Lokalis+UNA
Aasiammiulerilaarnernut	Aasiaat+MIU-LIRI-LAAR+NIQ<flertal<Terminalis
Aasiammiulerilaartarpugulli	Aasiaat+MIU-LIRI-LAAR=TAR<Indikativ<vi+LI
Aasiammiulerissavit	Aasiaat+MIU-LIRI-SSA<Interrogativ<du
Aasiammiunngorniarnatinguna	Aasiaat+MIU-NNGUR+NIAR=NNGIT<Ledsagemåde<de_selv+UNA
Aasiammioqarpoq	Aasiaat+MIU-QAR<Indikativ<han
Aasiammioqarporli	Aasiaat+MIU-QAR<Indikativ<han+LI
Aasiammioqarporuna	Aasiaat+MIU-QAR<Indikativ<han+UNA
Aasiammioqarneq	Aasiaat+MIU-QAR+NIQ
Aasiammioqarnerli	Aasiaat+MIU-QAR+NIQ+LI
Aasiammioqartorlu	Aasiaat+MIU-QAR<Participium<han+LU
Aasiammiuugaluarpit	Aasiaat+MIU-U+GALUAR<Interrogativ<du
Aasiammiuuvunga	Aasiaat+MIU-U<Indikativ<jeg
Aasiammiuuit	Aasiaat+MIU-U<Interrogativ<du
Aasiammiuuniarpununa	Aasiaat+MIU-U+NIAR<Indikativ<de+UNA
Aasiammiuunermut	Aasiaat+MIU-U+NIQ<ental<Terminalis
Aasiammiuunermulli	Aasiaat+MIU-U+NIQ<ental<Terminalis+LI
Aasiammiuunngillallu	Aasiaat+MIU-U-NNGIT<Indikativ<de+LU
Aasiammiuunnginnera	Aasiaat+MIU-U-NNGIT+NIQ<ental<hans<Absolut
Aasiammiuusut	Aasiaat+MIU-U<Participium<de
Aasiammiuusimasarpoq	Aasiaat+MIU-U+SIMA=TAR<Indikativ<han
Aasiammiuusinnaavit	Aasiaat+MIU-U+SINNAA<Interrogativ<du
akisuuanuna	akisooq<ental<deres<Absolut+UNA
akisuuniissinnaavit	akisooq<flertal<Lokalis+IP+SINNAA<Interrogativ<du
akisuunulli	akisooq<flertal<Terminalis+LI
akisuunullu	akisooq<flertal<Terminalis+LU
akisoorigaluarpiuk	akisooq+GӘ+GALUAR<Interrogativ<DuHam
akisoorisinnaavassi	akisooq+GӘ+SINNAA<Indikativ<JegJer
akisuuinnaqalaartarpit	akisooq-INNAQ-QAR-LAAR=TAR<Interrogativ<du
akisuullilli	akisooq-LIK<flertal<Relativ+LI
akisuunngornianngilaq	akisooq-NNGUR+NIAR=NNGIT<Indikativ<han
akisuunngunnginnermullu	akisooq-NNGUR-NNGIT+NIQ<ental<Terminalis+LU
akisuunngorsimanerli	akisooq-NNGUR+SIMA+NIQ+LI
akisuunngorsimasarnerlu	akisooq-NNGUR+SIMA=TAR+NIQ+LU
akisoorpassuartut	akisooq+PASSUAQ<flertal<Aequalis
akisoorpassui	akisooq+PASSUAQ<flertal<hans<Absolut
akisooqalaarneruna	akisooq-QAR-LAAR+NIQ+UNA
akisooqalaartarpoq	akisooq-QAR-LAAR=TAR<Indikativ<han
akisooqalaartartorli	akisooq-QAR-LAAR=TAR<Participium<han+LI
akisooqassagaluarporuna	akisooq-QAR-SSA=GALUAR<Indikativ<han+UNA
akisooqassagaluarneruna	akisooq-QAR-SSA=GALUAR+NIQ+UNA
akisooqassasorli	akisooq-QAR-SSA<Participium<han+LI
akisuujulaartarpit	akisooq-U-LAAR=TAR<Interrogativ<du
akisuujunatik	akisooq-U-NNGIT<Ledsagemåde<de_selv
akisuujusarnertut	akisooq-U+TAR+NIQ<ental<Aequalis
aleqatut	aleqa<ental<Aequalis
aleqaminguna	aleqa<ental<Instrumentalis+UNA
aleqamullu	aleqa<ental<Terminalis+LU
aleqamununa	aleqa<ental<Terminalis+UNA
aleqaauna	aleqa<flertal<hans<Absolut+UNA
aleqani	aleqa<flertal<Lokalis
aleqaniittoq	aleqa<flertal<Lokalis+IP<Participium<han
aleqaniissimasunga	aleqa<flertal<Lokalis+IP+SIMA<Participium<jeg
aleqanili	aleqa<flertal<Lokalis+LI
aleqagiviuk	aleqa+GӘ<Interrogativ<DuHam
aleqagisimaviuk	aleqa+GӘ+SIMA<Interrogativ<DuHam
aleqagissagaluarpassilu	aleqa+GӘ-SSA=GALUAR<Indikativ<JegJer+LU
aleqagisartigit	aleqa+GӘ+TAR<Imperativ<ViDem
aleqaannaali	aleqa-INNAQ<ental<hans<Absolut+LI
aleqaannalerinerillu	aleqa-INNAQ-LIRI+NIQ<flertal<Relativ+LU
aleqalittulli	aleqa-LIK<ental<Aequalis+LI
aleqallilli	aleqa-LIK<flertal<Relativ+LI
aleqalerilaarpugut	aleqa-LIRI-LAAR<Indikativ<vi
aleqalerissaanga	aleqa-LIRI-SSA<Indikativ<jeg
aleqamiuni	aleqa+MIU<flertal<Lokalis
aleqamioqarporli	aleqa+MIU-QAR<Indikativ<han+LI
aleqamioqartoq	aleqa+MIU-QAR<Participium<han
aleqamioqartorli	aleqa+MIU-QAR<Participium<han+LI
aleqamioqartorlu	aleqa+MIU-QAR<Participium<han+LU
aleqamiuunngilangaana	aleqa+MIU-U-NNGIT<Indikativ<jeg+UNA
aleqamiuusimasarnerali	aleqa+MIU-U+SIMA=TAR+NIQ<ental<hans<Absolut+LI
aleqamiuussasoruna	aleqa+MIU-U-SSA<Participium<han+UNA
aleqanngulaartarpugut	aleqa-NNGUR-LAAR=TAR<Indikativ<vi
aleqanngorneri	aleqa-NNGUR+NIQ<flertal<hans<Absolut
aleqarpassuilli	aleqa+PASSUAQ<flertal<Absolut+LI
aleqarpassuili	aleqa+PASSUAQ<flertal<hans<Absolut+LI
aleqarpassuiuna	aleqa+PASSUAQ<flertal<hans<Absolut+UNA
aleqarpassuarnik	aleqa+PASSUAQ<flertal<Instrumentalis
aleqaqassagaluarpit	aleqa-QAR-SSA=GALUAR<Interrogativ<du
aleqaasimavugununa	aleqa-U+SIMA<Indikativ<vi+UNA
aleqaasimavit	aleqa-U+SIMA<Interrogativ<du
anaanani	anaana<flertal<Lokalis
anaanagisinnaatigilli	anaana+GӘ+SINNAA<Imperativ<ViDem+LI
anaanaannalerisartununa	anaana-INNAQ-LIRI+TAR<Participium<de+UNA
anaanalimmullu	anaana-LIK<ental<Terminalis+LU
anaanamiulerisinnaaneranuna	anaana+MIU-LIRI+SINNAA+NIQ<ental<deres+UNA
anaanamiunngunngilagununa	anaana+MIU-NNGUR-NNGIT<Indikativ<vi+UNA
anaanamioqarpoq	anaana+MIU-QAR<Indikativ<han
angajulinniinnianngilagununa	angaju-LIK<flertal<Lokalis+IP+NIAR=NNGIT<Indikativ<vi+UNA
angajumioqarporli	angaju+MIU-QAR<Indikativ<han+LI
angajorpassuit	angaju+PASSUAQ<flertal<Absolut
angajorpassuartulli	angaju+PASSUAQ<flertal<Aequalis+LI
angajorpassuarniuna	angaju+PASSUAQ<flertal<Lokalis+UNA
angullu	angut<ental<Absolut+LU
angummik	angut<ental<Instrumentalis
angummi	angut<ental<Lokalis
aniga	ani<ental<min<Absolut
aniinnaat	ani-INNAQ<flertal<Relativ
aniinnaqalaarpit	ani-INNAQ-QAR-LAAR<Interrogativ<du
animiunilu	ani+MIU<flertal<Lokalis+LU
aninngulaarpit	ani-NNGUR-LAAR<Interrogativ<du
anerpassuilli	ani+PASSUAQ<flertal<Absolut+LI
anerpassuartut	ani+PASSUAQ<flertal<Aequalis
anerpassuarniilaartarlutilli	ani+PASSUAQ<flertal<Lokalis+IP-LAAR=TAR<Ledsagemåde<de_selv+LI
anerpassuarnulli	ani+PASSUAQ<flertal<Terminalis+LI
aneqalaartarpungaana	ani-QAR-LAAR=TAR<Indikativ<jeg+UNA
aqqaluga	aqqalu<ental<min<Absolut
aqqalumi	aqqalu<enta<Lokalisl
aqqalumiilaarneq	aqqalu<enta<Lokalisl+IP-LAAR+NIQ<ental<Absolut
aqqalumiittarpit	aqqalu<enta<Lokalisl+IP+TAR<Interrogativ<du
aqqalumilu	aqqalu<enta<Lokalisl+LU
aqqalugissagaluartigit	aqqalu+GӘ-SSA=GALUAR<Imperativ<ViDem
aqqaluinnaa	aqqalu-INNAQ<ental<hans<Absolut
aqqalullit	aqqalu-LIK<flertal<Relativ
aqqalullillu	aqqalu-LIK<flertal<Relativ+LU
aqqalulinngulaartarpugut	aqqalu-LIK-NNGUR-LAAR=TAR<Indikativ<vi
aqqalulerisorlu	aqqalu-LIRI<Participium<han+LU
aqqalumiuniuna	aqqalu+MIU<flertal<Lokalis+UNA
aqqalumiulerisunga	aqqalu+MIU-LIRI<Participium<jeg
aqqalumioqartoq	aqqalu+MIU-QAR<Participium<han
aqqalumiuulaarnermulli	aqqalu+MIU-U-LAAR+NIQ<ental<Terminalis+LI
aqqalumiuunianngitsut	aqqalu+MIU-U+NIAR=NNGIT<Participium<de
aqqalumiuusimallutinguna	aqqalu+MIU-U+SIMA<Ledsagemåde<de_selv+UNA
aqqalunngulaartarpunga	aqqalu-NNGUR-LAAR=TAR<Indikativ<jeg
aqqalunngulaartarnerni	aqqalu-NNGUR-LAAR=TAR+NIQ<flertal<Lokalis
aqqalunngortoq	aqqalu-NNGUR<Participium<han
aqqalorpassuillu	aqqalu+PASSUAQ<flertal<Absolut+LU
aqqalorpassuinuna	aqqalu+PASSUAQ<flertal<Absolut+UNA
aqqalorpassuartut	aqqalu+PASSUAQ<flertal<Aequalis
aqqalorpassuartulli	aqqalu+PASSUAQ<flertal<Aequalis+LI
aqqalorpassuartununa	aqqalu+PASSUAQ<flertal<Aequalis+UNA
aqqalorpassui	aqqalu+PASSUAQ<flertal<hans<Absolut
aqqalorpassuilu	aqqalu+PASSUAQ<flertal<hans<Absolut+LU
aqqalorpassuarnilli	aqqalu+PASSUAQ<flertal<Instrumentalis+LI
aqqaloqaraluarlutillu	aqqalu-QAR+GALUAR<Ledsagemåde<de_selv+LU
aqqaloqalaarpununa	aqqalu-QAR-LAAR<Indikativ<de+UNA
aqqaloqarniarnatillu	aqqalu-QAR+NIAR=NNGIT<Ledsagemåde<de_selv+LU
aqqaloqanngitsunga	aqqalu-QAR-NNGIT<Participium<jeg
aqqaluusimasarporlu	aqqalu-U+SIMA=TAR<Indikativ<han+LU
arnaq	arnaq<ental<Absolut
arnaa	arnaq<ental<hans<Absolut
arnamilli	arnaq<ental<Instrumentalis+LI
arnara	arnaq<ental<min<Absolut
arnami	arnaq<enta<Lokalisl
arnaa	arnaq<flertal<hans<Absolut
arnarigaluartigillu	arnaq+GӘ+GALUAR<Imperativ<ViDem+LU
arnaritigit	arnaq+GӘ<Imperativ<ViDem
arnarilaarpiuk	arnaq+GӘ-LAAR<Interrogativ<DuHam
arnaannaallu	arnaq-INNAQ<ental<deres<Absolut+LU
arnaannalerilaarpununa	arnaq-INNAQ-LIRI-LAAR<Indikativ<de+UNA
arnallilli	arnaq-LIK<flertal<Relativ+LI
arnarmiumi	arnaq+MIU<ental<Lokalis
arnarmiuni	arnaq+MIU<flertal<Lokalis
arnarmioqartoq	arnaq+MIU-QAR<Participium<han
arnarmiuusinnaallutilli	arnaq+MIU-U+SINNAA<Ledsagemåde<de_selv+LI
arnarmiuusartunga	arnaq+MIU-U+TAR<Participium<jeg
arnanngulaartartungaana	arnaq-NNGUR-LAAR=TAR<Participium<jeg+UNA
arnarpassuilu	arnaq+PASSUAQ<flertal<hans<Absolut+LU
arnaqaraluarlutik	arnaq-QAR+GALUAR<Ledsagemåde<de_selv
arnaqaraluartunga	arnaq-QAR+GALUAR<Participium<jeg
arnaallutinguna	arnaq-U<Ledsagemåde<de_selv+UNA
arnaanerniillutilli	arnaq-U+NIQ<flertal<Lokalis+IP<Ledsagemåde<de_selv+LI
arnaasunga	arnaq-U<Participium<jeg
assersuulli	assersuut<ental<Absolut+LI
assersuullu	assersuut<ental<Absolut+LU
assersuununa	assersuut<ental<Absolut+UNA
assersuummi	assersuut<ental<Lokalis
