akisussaassuseq	akisussaassuseq<ental<Absolut
ulapaarfilerpaa	ulapaar+FIK-LIR_nv<Indikativ<HanHam
ulapaarfilertippaa	ulapaar+FIK-LIR_nv+TIP<Indikativ<HanHam
ulapaarfilertussaavaa	ulapaar+FIK-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
ulapaarfissaagaluaq	ulapaar+FIK-SSAQ=U=GALUAQ<Absolut<ental
ulapaarfissaagaluata	ulapaar+FIK-SSAQ=U=GALUAQ<ental<deres<Relativ
ulapaarfissaagaluata	ulapaar+FIK-SSAQ=U=GALUAQ<ental<hans<Relativ
ulapaarfissaagaluanni	ulapaar+FIK-SSAQ=U=GALUAQ<ental<min<Lokalis
ulapaarfissaagalui	ulapaar+FIK-SSAQ=U=GALUAQ<flertal<deres<Absolut
ulapaarfissaagaluanni	ulapaar+FIK-SSAQ=U=GALUAQ<flertal<min<Lokalis
ulapaarpa	ulapaar<Interrogativ<han
ulapaarnerpaaq	ulapaar+NIRPAAQ<ental<Absolut
ulapaarnerpaata	ulapaar+NIRPAAQ<ental<deres<Relativ
ulapaarnerpaata	ulapaar+NIRPAAQ<ental<hans<Relativ
ulapaarnerpaanni	ulapaar+NIRPAAQ<ental<min<Lokalis
ulapaarnerpaat	ulapaar+NIRPAAQ<flertal<deres<Absolut
ulapaarnerpaanni	ulapaar+NIRPAAQ<flertal<min<Lokalis
ulapaarnerpaalerpaa	ulapaar+NIRPAAQ-LIR_nv<Indikativ<HanHam
ulapaarnerpaalertippaa	ulapaar+NIRPAAQ-LIR_nv+TIP<Indikativ<HanHam
ulapaarnerpaalertussaavaa	ulapaar+NIRPAAQ-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
ulapaarnerpaassaagaluaq	ulapaar+NIRPAAQ-SSAQ=U=GALUAQ<Absolut<ental
ulapaarnerpaassaagaluata	ulapaar+NIRPAAQ-SSAQ=U=GALUAQ<ental<deres<Relativ
ulapaarnerpaassaagaluata	ulapaar+NIRPAAQ-SSAQ=U=GALUAQ<ental<hans<Relativ
ulapaarnerpaassaagaluanni	ulapaar+NIRPAAQ-SSAQ=U=GALUAQ<ental<min<Lokalis
ulapaarnerpaassaagalui	ulapaar+NIRPAAQ-SSAQ=U=GALUAQ<flertal<deres<Absolut
ulapaarnerpaassaagaluanni	ulapaar+NIRPAAQ-SSAQ=U=GALUAQ<flertal<min<Lokalis
ulapaartippaa	ulapaar+TIP<Indikativ<HanHam
ulapaartussaaffik	ulapaar+TUQ=SSAQ=U+FIK<ental<Absolut
ulapaartussaaffiata	ulapaar+TUQ=SSAQ=U+FIK<ental<deres<Relativ
ulapaartussaaffiata	ulapaar+TUQ=SSAQ=U+FIK<ental<hans<Relativ
ulapaartussaaffinni	ulapaar+TUQ=SSAQ=U+FIK<ental<min<Lokalis
ulapaartussaaffii	ulapaar+TUQ=SSAQ=U+FIK<flertal<deres<Absolut
ulapaartussaaffilerpaa	ulapaar+TUQ=SSAQ=U+FIK-LIR_nv<Indikativ<HanHam
ulapaartussaaffilertippaa	ulapaar+TUQ=SSAQ=U+FIK-LIR_nv+TIP<Indikativ<HanHam
ulapaartussaaffilertussaavaa	ulapaar+TUQ=SSAQ=U+FIK-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
ulapaartussaaffissaagaluaq	ulapaar+TUQ=SSAQ=U+FIK-SSAQ=U=GALUAQ<Absolut<ental
ulapaartussaaffissaagaluata	ulapaar+TUQ=SSAQ=U+FIK-SSAQ=U=GALUAQ<ental<deres<Relativ
ulapaartussaaffissaagaluanni	ulapaar+TUQ=SSAQ=U+FIK-SSAQ=U=GALUAQ<ental<min<Lokalis
ulapaartussaaffissaagalui	ulapaar+TUQ=SSAQ=U+FIK-SSAQ=U=GALUAQ<flertal<deres<Absolut
ulapaartussaava	ulapaar+TUQ=SSAQ=U<Interrogativ<han
ulapaartussaanerpaaq	ulapaar+TUQ=SSAQ=U+NIRPAAQ<ental<Absolut
ulapaartussaanerpaata	ulapaar+TUQ=SSAQ=U+NIRPAAQ<ental<deres<Relativ
ulapaartussaanerpaata	ulapaar+TUQ=SSAQ=U+NIRPAAQ<ental<hans<Relativ
ulapaartussaanerpaanni	ulapaar+TUQ=SSAQ=U+NIRPAAQ<ental<min<Lokalis
ulapaartussaanerpaat	ulapaar+TUQ=SSAQ=U+NIRPAAQ<flertal<deres<Absolut
ulapaartussaanerpaanni	ulapaar+TUQ=SSAQ=U+NIRPAAQ<flertal<min<Lokalis
ulapaartussaanerpaalerpaa	ulapaar+TUQ=SSAQ=U+NIRPAAQ-LIR_nv<Indikativ<HanHam
ulapaartussaanerpaalertippaa	ulapaar+TUQ=SSAQ=U+NIRPAAQ-LIR_nv+TIP<Indikativ<HanHam
ulapaartussaanerpaalertussaavaa	ulapaar+TUQ=SSAQ=U+NIRPAAQ-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
ulapaartussaanerpaassaagaluaq	ulapaar+TUQ=SSAQ=U+NIRPAAQ-SSAQ=U=GALUAQ<Absolut<ental
ulapaartussaanerpaassaagaluata	ulapaar+TUQ=SSAQ=U+NIRPAAQ-SSAQ=U=GALUAQ<ental<hans<Relativ
ulapaartussaanerpaassaagaluanni	ulapaar+TUQ=SSAQ=U+NIRPAAQ-SSAQ=U=GALUAQ<ental<min<Lokalis
ulapaartussaanerpaassaagalui	ulapaar+TUQ=SSAQ=U+NIRPAAQ-SSAQ=U=GALUAQ<flertal<deres<Absolut
