akisussaassuseq	akisussaassuseq<ental<Absolut
eqqumiippoq	eqqumiip<Indikativ<han
eqqumiippa	eqqumiip<Interrogativ<han
eqqumiinnerpaaq	eqqumiip+NIRPAAQ<ental<Absolut
eqqumiinnerpaata	eqqumiip+NIRPAAQ<ental<deres<Relativ
eqqumiinnerpaata	eqqumiip+NIRPAAQ<ental<hans<Relativ
eqqumiinnerpaanni	eqqumiip+NIRPAAQ<ental<min<Lokalis
eqqumiinnerpaat	eqqumiip+NIRPAAQ<flertal<deres<Absolut
eqqumiinnerpaanni	eqqumiip+NIRPAAQ<flertal<min<Lokalis
eqqumiinnerpaalerpaa	eqqumiip+NIRPAAQ-LIR_nv<Indikativ<HanHam
eqqumiinnerpaalertippaa	eqqumiip+NIRPAAQ-LIR_nv+TIP<Indikativ<HanHam
eqqumiinnerpaalertussaavaa	eqqumiip+NIRPAAQ-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
eqqumiinnerpaassaagaluaq	eqqumiip+NIRPAAQ-SSAQ=U=GALUAQ<Absolut<ental
eqqumiinnerpaassaagaluata	eqqumiip+NIRPAAQ-SSAQ=U=GALUAQ<ental<hans<Relativ
eqqumiinnerpaassaagaluanni	eqqumiip+NIRPAAQ-SSAQ=U=GALUAQ<ental<min<Lokalis
eqqumiinnerpaassaagalui	eqqumiip+NIRPAAQ-SSAQ=U=GALUAQ<flertal<deres<Absolut
eqqumiitsippaa	eqqumiip+TIP<Indikativ<HanHam
eqqumiitsussaaffik	eqqumiip+TUQ=SSAQ=U+FIK<ental<Absolut
eqqumiitsussaaffiata	eqqumiip+TUQ=SSAQ=U+FIK<ental<deres<Relativ
eqqumiitsussaaffiata	eqqumiip+TUQ=SSAQ=U+FIK<ental<hans<Relativ
eqqumiitsussaaffinni	eqqumiip+TUQ=SSAQ=U+FIK<ental<min<Lokalis
eqqumiitsussaaffii	eqqumiip+TUQ=SSAQ=U+FIK<flertal<deres<Absolut
eqqumiitsussaaffinni	eqqumiip+TUQ=SSAQ=U+FIK<flertal<min<Lokalis
eqqumiitsussaaffilerpaa	eqqumiip+TUQ=SSAQ=U+FIK-LIR_nv<Indikativ<HanHam
eqqumiitsussaaffilertippaa	eqqumiip+TUQ=SSAQ=U+FIK-LIR_nv+TIP<Indikativ<HanHam
eqqumiitsussaaffilertussaavaa	eqqumiip+TUQ=SSAQ=U+FIK-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
eqqumiitsussaaffissaagaluaq	eqqumiip+TUQ=SSAQ=U+FIK-SSAQ=U=GALUAQ<Absolut<ental
eqqumiitsussaaffissaagaluata	eqqumiip+TUQ=SSAQ=U+FIK-SSAQ=U=GALUAQ<ental<deres<Relativ
eqqumiitsussaaffissaagalui	eqqumiip+TUQ=SSAQ=U+FIK-SSAQ=U=GALUAQ<flertal<deres<Absolut
eqqumiitsussaaffissaagaluanni	eqqumiip+TUQ=SSAQ=U+FIK-SSAQ=U=GALUAQ<flertal<min<Lokalis
eqqumiitsussaava	eqqumiip+TUQ=SSAQ=U<Interrogativ<han
eqqumiitsussaanerpaaq	eqqumiip+TUQ=SSAQ=U+NIRPAAQ<ental<Absolut
eqqumiitsussaanerpaata	eqqumiip+TUQ=SSAQ=U+NIRPAAQ<ental<hans<Relativ
eqqumiitsussaanerpaanni	eqqumiip+TUQ=SSAQ=U+NIRPAAQ<ental<min<Lokalis
eqqumiitsussaanerpaat	eqqumiip+TUQ=SSAQ=U+NIRPAAQ<flertal<deres<Absolut
eqqumiitsussaanerpaanni	eqqumiip+TUQ=SSAQ=U+NIRPAAQ<flertal<min<Lokalis
eqqumiitsussaanerpaalerpaa	eqqumiip+TUQ=SSAQ=U+NIRPAAQ-LIR_nv<Indikativ<HanHam
eqqumiitsussaanerpaalertippaa	eqqumiip+TUQ=SSAQ=U+NIRPAAQ-LIR_nv+TIP<Indikativ<HanHam
eqqumiitsussaanerpaalertussaavaa	eqqumiip+TUQ=SSAQ=U+NIRPAAQ-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
eqqumiitsussaanerpaassaagaluata	eqqumiip+TUQ=SSAQ=U+NIRPAAQ-SSAQ=U=GALUAQ<ental<deres<Relativ
eqqumiitsussaanerpaassaagaluata	eqqumiip+TUQ=SSAQ=U+NIRPAAQ-SSAQ=U=GALUAQ<ental<hans<Relativ
eqqumiitsussaanerpaassaagaluanni	eqqumiip+TUQ=SSAQ=U+NIRPAAQ-SSAQ=U=GALUAQ<ental<min<Lokalis
