aappaatigut	aappaatigut<Partikel
ernernik	erneq<flertal<Instrumentalis
ernerneerpoq	erneq<flertal<Instrumentalis-IR<Indikativ<han
ernerneerluinnarpoq	erneq<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
ernerneertariaqarpoq	erneq<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
erniminik	erneq<flertal<sin<Instrumentalis
erniku	erneq-KU<ental<Absolut
ernikuattut	erneq-KU<ental<deres<Aequalis
ernikumik	erneq-KU<ental<Instrumentalis
ernikumeerluinnarpoq	erneq-KU<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
ernikumeertariaqarpoq	erneq-KU<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
ernikuminik	erneq-KU<ental<sin<Instrumentalis
ernikunik	erneq-KU<flertal<Instrumentalis
ernikuneerpoq	erneq-KU<flertal<Instrumentalis-IR<Indikativ<han
ernikuneerluinnarpoq	erneq-KU<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
ernikuneertariaqarpoq	erneq-KU<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
ernikuminik	erneq-KU<flertal<sin<Instrumentalis
ernerujuk	erneq-RUJUK<ental<Absolut
ernerujuattut	erneq-RUJUK<ental<deres<Aequalis
ernerujummik	erneq-RUJUK<ental<Instrumentalis
ernerujummeerpoq	erneq-RUJUK<ental<Instrumentalis-IR<Indikativ<han
ernerujummeerluinnarpoq	erneq-RUJUK<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
ernerujunnik	erneq-RUJUK<flertal<Instrumentalis
ernerujunneerpoq	erneq-RUJUK<flertal<Instrumentalis-IR<Indikativ<han
ernerujunneerluinnarpoq	erneq-RUJUK<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
ernerujuminik	erneq-RUJUK<flertal<sin<Instrumentalis
ernerujussuaq	erneq-RUJUK=SUAQ<ental<Absolut
ernerujussuattut	erneq-RUJUK=SUAQ<ental<deres<Aequalis
ernerujussuarmeerpoq	erneq-RUJUK=SUAQ<ental<Instrumentalis-IR<Indikativ<han
ernerujussuarmeerluinnarpoq	erneq-RUJUK=SUAQ<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
ernerujussuarmeertariaqarpoq	erneq-RUJUK=SUAQ<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
ernerujussuarnik	erneq-RUJUK=SUAQ<flertal<Instrumentalis
ernerujussuarneerpoq	erneq-RUJUK=SUAQ<flertal<Instrumentalis-IR<Indikativ<han
ernerujussuarneerluinnarpoq	erneq-RUJUK=SUAQ<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
ernerujussuaminik	erneq-RUJUK=SUAQ<flertal<sin<Instrumentalis
ersivoq	ersi<Indikativ<han
ersilluinnarpoq	ersi+LUINNAR<Indikativ<han
erseqaaq	ersi-QӘ<Indikativ<han
ersisariaqarpoq	ersi+TARIAQAR<Indikativ<han
ersisorujorujussuuvoq	ersi+TUQ=RUJUK=RUJUK=SUAQ=U<Indikativ<han
ersisorujussuuvoq	ersi+TUQ=RUJUK=SUAQ=U<Indikativ<han
ilami	ilami<Partikel
ilimagivatit	ilimagә<Indikativ<DuDem
ilimagivarput	ilimagә<Indikativ<ViHam
ilimagiluinnarpatit	ilimagә+LUINNAR<Indikativ<DuDem
ilimagiluinnarpaa	ilimagә+LUINNAR<Indikativ<HanHam
ilimagiluinnarparput	ilimagә+LUINNAR<Indikativ<ViHam
ilimageqaatit	ilimagә-QӘ<Indikativ<DuDem
ilimageqaa	ilimagә-QӘ<Indikativ<HanHam
ilimageqaarput	ilimagә-QӘ<Indikativ<ViHam
ilimagisariaqarpatit	ilimagә+TARIAQAR<Indikativ<DuDem
ilimagisariaqarpaa	ilimagә+TARIAQAR<Indikativ<HanHam
ilimagisariaqarparput	ilimagә+TARIAQAR<Indikativ<ViHam
ilimagisorujorujussuuatit	ilimagә+TUQ=RUJUK=RUJUK=SUAQ=U<Indikativ<DuDem
ilimagisorujorujussuuaa	ilimagә+TUQ=RUJUK=RUJUK=SUAQ=U<Indikativ<HanHam
ilimagisorujorujussuuarput	ilimagә+TUQ=RUJUK=RUJUK=SUAQ=U<Indikativ<ViHam
ilimagisorujussuuatit	ilimagә+TUQ=RUJUK=SUAQ=U<Indikativ<DuDem
ilimagisorujussuuaa	ilimagә+TUQ=RUJUK=SUAQ=U<Indikativ<HanHam
ilimagisorujussuuarput	ilimagә+TUQ=RUJUK=SUAQ=U<Indikativ<ViHam
innaallagissiorfik	innaallagissiorfik<ental<Absolut
innaallagissiorfiattut	innaallagissiorfik<ental<deres<Aequalis
innaallagissiorfimmik	innaallagissiorfik<ental<Instrumentalis
innaallagissiorfimmeerluinnarpoq	innaallagissiorfik<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
innaallagissiorfimmeertariaqarpoq	innaallagissiorfik<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
innaallagissiorfimminik	innaallagissiorfik<ental<sin<Instrumentalis
innaallagissiorfinnik	innaallagissiorfik<flertal<Instrumentalis
innaallagissiorfinneerpoq	innaallagissiorfik<flertal<Instrumentalis-IR<Indikativ<han
innaallagissiorfinneerluinnarpoq	innaallagissiorfik<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
innaallagissiorfinneertariaqarpoq	innaallagissiorfik<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
innaallagissiorfiminik	innaallagissiorfik<flertal<sin<Instrumentalis
innaallagissiorfiku	innaallagissiorfik-KU<ental<Absolut
innaallagissiorfikuattut	innaallagissiorfik-KU<ental<deres<Aequalis
innaallagissiorfikumik	innaallagissiorfik-KU<ental<Instrumentalis
