aallartikkama	aallartip<Causativ<jeg
naammasseriarmanga	naammassi-RIAR<Causativ<HanMig
naammasseriarakku	naammassi-RIAR<Causativ<JegHam
naammassereermanga	naammassi-RIIR<Causativ<HanMig
naammassereerakku	naammassi-RIIR<Causativ<JegHam
naammassereerpaa	naammassi-RIIR<Indikativ<HanHam
naammassereerpaanga	naammassi-RIIR<Indikativ<HanMig
naammassereerpara	naammassi-RIIR<Indikativ<JegHam
naammassivallaarmanga	naammassi+VALLAAR<Causativ<HanMig
naammassivallaarakku	naammassi+VALLAAR<Causativ<JegHam
naammassivallaarpaa	naammassi+VALLAAR<Indikativ<HanHam
naammassivallaarpaanga	naammassi+VALLAAR<Indikativ<HanMig
naammassivallaarpara	naammassi+VALLAAR<Indikativ<JegHam
nalummanga	nalu<Causativ<HanMig
nalugakku	nalu<Causativ<JegHam
naluaanga	nalu<Indikativ<HanMig
naluara	nalu<Indikativ<JegHam
naluinnarmanga	nalu-INNAR<Causativ<HanMig
naluinnarakku	nalu-INNAR<Causativ<JegHam
naluinnarpaanga	nalu-INNAR<Indikativ<HanMig
naluinnarpara	nalu-INNAR<Indikativ<JegHam
nalunikuummanga	nalu+NIKUU<Causativ<HanMig
nalunikuugakku	nalu+NIKUU<Causativ<JegHam
nalunikuuaa	nalu+NIKUU<Indikativ<HanHam
nalunikuuaanga	nalu+NIKUU<Indikativ<HanMig
nalunikuuara	nalu+NIKUU<Indikativ<JegHam
naluneqarama	nalu+NIQAR<Causativ<jeg
naluneqarpoq	nalu+NIQAR<Indikativ<han
nalunermanga	nalu+NIR<Causativ<HanMig
nalunerummanga	nalu+NIRU<Causativ<HanMig
nalunerugakku	nalu+NIRU<Causativ<JegHam
naluneruaanga	nalu+NIRU<Indikativ<HanMig
naluneruara	nalu+NIRU<Indikativ<JegHam
naloqqaarmanga	nalu-QQAAR<Causativ<HanMig
naloqqaarakku	nalu-QQAAR<Causativ<JegHam
naloqqaarpaa	nalu-QQAAR<Indikativ<HanHam
naloqqaarpaanga	nalu-QQAAR<Indikativ<HanMig
naloqqaarpara	nalu-QQAAR<Indikativ<JegHam
naloqqummanga	nalu-QQU<Causativ<HanMig
naloqqugakku	nalu-QQU<Causativ<JegHam
naloqquaa	nalu-QQU<Indikativ<HanHam
naloqquaanga	nalu-QQU<Indikativ<HanMig
naloqquara	nalu-QQU<Indikativ<JegHam
naloriarmanga	nalu-RIAR<Causativ<HanMig
naloriarakku	nalu-RIAR<Causativ<JegHam
naloreermanga	nalu-RIIR<Causativ<HanMig
naloreerakku	nalu-RIIR<Causativ<JegHam
naloreerpaa	nalu-RIIR<Indikativ<HanHam
