aappaagu	aappaagu<Partikel
eqqumiitsuliortulerivit	eqqumiitsuliortoq-LIRI<Interrogativ<du
eqqumiitsuliortulerisunga	eqqumiitsuliortoq-LIRI<Participium<jeg
eqqumiitsuliortulerisaraluarpunga	eqqumiitsuliortoq-LIRI+TAR+GALUAR<Indikativ<jeg
eqqumiitsuliortulerisaraluarpit	eqqumiitsuliortoq-LIRI+TAR+GALUAR<Interrogativ<du
eqqumiitsuliortulerisaraluartunga	eqqumiitsuliortoq-LIRI+TAR+GALUAR<Participium<jeg
eqqumiitsuliortulerisarpoq	eqqumiitsuliortoq-LIRI+TAR<Indikativ<han
eqqumiitsuliortulerisarpunga	eqqumiitsuliortoq-LIRI+TAR<Indikativ<jeg
eqqumiitsuliortulerisarpugut	eqqumiitsuliortoq-LIRI+TAR<Indikativ<vi
eqqumiitsuliortulerisartunga	eqqumiitsuliortoq-LIRI+TAR<Participium<jeg
eqqumiitsuliortunngoraluarpoq	eqqumiitsuliortoq-NNGUR+GALUAR<Indikativ<han
eqqumiitsuliortunngoraluarpunga	eqqumiitsuliortoq-NNGUR+GALUAR<Indikativ<jeg
eqqumiitsuliortunngoraluarpit	eqqumiitsuliortoq-NNGUR+GALUAR<Interrogativ<du
eqqumiitsuliortunngoraluartunga	eqqumiitsuliortoq-NNGUR+GALUAR<Participium<jeg
eqqumiitsuliortunngorpoq	eqqumiitsuliortoq-NNGUR<Indikativ<han
eqqumiitsuliortunngorpunga	eqqumiitsuliortoq-NNGUR<Indikativ<jeg
eqqumiitsuliortunngorpugut	eqqumiitsuliortoq-NNGUR<Indikativ<vi
eqqumiitsuliortunngorpit	eqqumiitsuliortoq-NNGUR<Interrogativ<du
eqqumiitsuliortunngortunga	eqqumiitsuliortoq-NNGUR<Participium<jeg
eqqumiitsuliortunngortaraluarpoq	eqqumiitsuliortoq-NNGUR+TAR+GALUAR<Indikativ<han
eqqumiitsuliortunngortaraluarpunga	eqqumiitsuliortoq-NNGUR+TAR+GALUAR<Indikativ<jeg
eqqumiitsuliortunngortaraluarpugut	eqqumiitsuliortoq-NNGUR+TAR+GALUAR<Indikativ<vi
eqqumiitsuliortunngortaraluarpit	eqqumiitsuliortoq-NNGUR+TAR+GALUAR<Interrogativ<du
eqqumiitsuliortunngortaraluartunga	eqqumiitsuliortoq-NNGUR+TAR+GALUAR<Participium<jeg
eqqumiitsuliortunngortarpoq	eqqumiitsuliortoq-NNGUR+TAR<Indikativ<han
eqqumiitsuliortunngortarpunga	eqqumiitsuliortoq-NNGUR+TAR<Indikativ<jeg
eqqumiitsuliortunngortarpugut	eqqumiitsuliortoq-NNGUR+TAR<Indikativ<vi
eqqumiitsuliortunngortarpit	eqqumiitsuliortoq-NNGUR+TAR<Interrogativ<du
eqqumiitsuliortunngortartunga	eqqumiitsuliortoq-NNGUR+TAR<Participium<jeg
ilinniaraluarpoq	ilinniar+GALUAR<Indikativ<han
ilinniaraluarpunga	ilinniar+GALUAR<Indikativ<jeg
ilinniaraluarpugut	ilinniar+GALUAR<Indikativ<vi
ilinniaraluarpit	ilinniar+GALUAR<Interrogativ<du
ilinniaraluartunga	ilinniar+GALUAR<Participium<jeg
ilinniarpoq	ilinniar<Indikativ<han
ilinniarpunga	ilinniar<Indikativ<jeg
ilinniarpugut	ilinniar<Indikativ<vi
ilinniarpit	ilinniar<Interrogativ<du
ilinniartunga	ilinniar<Participium<jeg
ilinniartaraluarpoq	ilinniar+TAR+GALUAR<Indikativ<han
ilinniartaraluarpunga	ilinniar+TAR+GALUAR<Indikativ<jeg
ilinniartaraluarpugut	ilinniar+TAR+GALUAR<Indikativ<vi
ilinniartaraluarpit	ilinniar+TAR+GALUAR<Interrogativ<du
ilinniartaraluartunga	ilinniar+TAR+GALUAR<Participium<jeg
ilinniartarpoq	ilinniar+TAR<Indikativ<han
ilinniartarpunga	ilinniar+TAR<Indikativ<jeg
ilinniartarpugut	ilinniar+TAR<Indikativ<vi
ilinniartarpit	ilinniar+TAR<Interrogativ<du
ilinniartartunga	ilinniar+TAR<Participium<jeg
ilinniartitsisoq	ilinniartitsisoq<Ental<Absolut
ilinniartitsisumut	ilinniartitsisoq<Ental<Terminalis
ilinniartitsisunik	ilinniartitsisoq<Flertal<Instrumentalis
ilinniartitsisuni	ilinniartitsisoq<Flertal<Lokalis
ilinniartitsisulerigaluarpit	ilinniartitsisoq-LIRI+GALUAR<Interrogativ<du
ilinniartitsisulerigaluartunga	ilinniartitsisoq-LIRI+GALUAR<Participium<jeg
ilinniartitsisulerivoq	ilinniartitsisoq-LIRI<Indikativ<han
ilinniartitsisulerivunga	ilinniartitsisoq-LIRI<Indikativ<jeg
ilinniartitsisulerivugut	ilinniartitsisoq-LIRI<Indikativ<vi
ilinniartitsisulerisunga	ilinniartitsisoq-LIRI<Participium<jeg
ilinniartitsisulerisaraluarpunga	ilinniartitsisoq-LIRI+TAR+GALUAR<Indikativ<jeg
ilinniartitsisunngoraluarpit	ilinniartitsisoq-NNGUR+GALUAR<Interrogativ<du
ilinniartitsisunngorpunga	ilinniartitsisoq-NNGUR<Indikativ<jeg
ilinniartitsisunngorpit	ilinniartitsisoq-NNGUR<Interrogativ<du
ilinniartitsisunngortunga	ilinniartitsisoq-NNGUR<Participium<jeg
ilinniartitsisunngortartunga	ilinniartitsisoq-NNGUR+TAR<Participium<jeg
Ilisimatusarfik	Ilisimatusarfik<Ental<Absolut
Ilisimatusarfimmut	Ilisimatusarfik<Ental<Terminalis
Ilisimatusarfinnik	Ilisimatusarfik<Flertal<Instrumentalis
Ilisimatusarfinni	Ilisimatusarfik<Flertal<Lokalis
Ilisimatusarfilerigaluarpoq	Ilisimatusarfik-LIRI+GALUAR<Indikativ<han
Ilisimatusarfilerigaluarpunga	Ilisimatusarfik-LIRI+GALUAR<Indikativ<jeg
Ilisimatusarfilerigaluarpugut	Ilisimatusarfik-LIRI+GALUAR<Indikativ<vi
Ilisimatusarfilerigaluarpit	Ilisimatusarfik-LIRI+GALUAR<Interrogativ<du
Ilisimatusarfilerigaluartunga	Ilisimatusarfik-LIRI+GALUAR<Participium<jeg
