aleqa	aleqa<ental<Absolut
aqqalugivagut	aqqalu+GӘ<Indikativ<ViDem
aqqaluginngilakka	aqqalu+GӘ-NNGIT<Indikativ<JegDem
aqqaluginngilagut	aqqalu+GӘ-NNGIT<Indikativ<ViDem
assersuut	assersuut<ental<Absolut
assersuutaa	assersuut<ental<hans<Absolut
assersuummi	assersuut<ental<Lokalis
assersuummiipput	assersuut<ental<Lokalis+IP<Indikativ<de
assersuummiippoq	assersuut<ental<Lokalis+IP<Indikativ<han
assersuummiillutik	assersuut<ental<Lokalis+IP<Ledsagemåde<de_selv
assersuummiinniarpoq	assersuut<ental<Lokalis+IP+NIAR<Indikativ<han
assersuummiinniarlutik	assersuut<ental<Lokalis+IP+NIAR<Ledsagemåde<de_selv
assersuummiinnianngitsut	assersuut<ental<Lokalis+IP+NIAR=NNGIT<Participium<de
assersuummiinnianngitsoq	assersuut<ental<Lokalis+IP+NIAR=NNGIT<Participium<han
assersuummiinniartut	assersuut<ental<Lokalis+IP+NIAR<Participium<de
assersuummiinngillat	assersuut<ental<Lokalis+IP-NNGIT<Indikativ<de
assersuummiinnatik	assersuut<ental<Lokalis+IP-NNGIT<Ledsagemåde<de_selv
assersuummiinngitsoq	assersuut<ental<Lokalis+IP-NNGIT<Participium<han
assersuummiissinnaavoq	assersuut<ental<Lokalis+IP+SINNAA<Indikativ<han
assersuummiissinnaallutik	assersuut<ental<Lokalis+IP+SINNAA<Ledsagemåde<de_selv
assersuummiissinnaasoq	assersuut<ental<Lokalis+IP+SINNAA<Participium<han
assersuutai	assersuut<flertal<hans<Absolut
assersuutini	assersuut<flertal<Lokalis
assersuutiniillutik	assersuut<flertal<Lokalis+IP<Ledsagemåde<de_selv
assersuutiniinniarpoq	assersuut<flertal<Lokalis+IP+NIAR<Indikativ<han
assersuutiniinniarnatik	assersuut<flertal<Lokalis+IP+NIAR=NNGIT<Ledsagemåde<de_selv
assersuutiniinngillat	assersuut<flertal<Lokalis+IP-NNGIT<Indikativ<de
assersuutiniinnatik	assersuut<flertal<Lokalis+IP-NNGIT<Ledsagemåde<de_selv
assersuutiniinngitsoq	assersuut<flertal<Lokalis+IP-NNGIT<Participium<han
assersuutiniittut	assersuut<flertal<Lokalis+IP<Participium<de
assersuutiniittoq	assersuut<flertal<Lokalis+IP<Participium<han
assersuutigitigit	assersuut+GӘ<Imperativ<ViDem
assersuutigivakka	assersuut+GӘ<Indikativ<JegDem
assersuutigivagut	assersuut+GӘ<Indikativ<ViDem
assersuutiginngilakka	assersuut+GӘ-NNGIT<Indikativ<JegDem
assersuutiginngilagut	assersuut+GӘ-NNGIT<Indikativ<ViDem
ataaseq	ataaseq<Talord<Absolut
atorpoq	ator<Indikativ<han
atorniarput	ator+NIAR<Indikativ<de
atorniarpoq	ator+NIAR<Indikativ<han
atorniarlutik	ator+NIAR<Ledsagemåde<de_selv
atornianngillat	ator+NIAR=NNGIT<Indikativ<de
atornianngilaq	ator+NIAR=NNGIT<Indikativ<han
atorniarnatik	ator+NIAR=NNGIT<Ledsagemåde<de_selv
atornianngitsut	ator+NIAR=NNGIT<Participium<de
atornianngitsoq	ator+NIAR=NNGIT<Participium<han
atorniartoq	ator+NIAR<Participium<han
atunngillat	ator-NNGIT<Indikativ<de
atunngilaq	ator-NNGIT<Indikativ<han
atornatik	ator-NNGIT<Ledsagemåde<de_selv
atunngitsut	ator-NNGIT<Participium<de
atunngitsoq	ator-NNGIT<Participium<han
atortut	ator<Participium<de
atorsinnaavoq	ator+SINNAA<Indikativ<han
atorsinnaallutik	ator+SINNAA<Ledsagemåde<de_selv
atorsinnaasut	ator+SINNAA<Participium<de
atorsinnaasoq	ator+SINNAA<Participium<han
ilaqutariit	ilaqutariit<flertal<Absolut
ilaqutariivi	ilaqutariit<flertal<hans<Absolut
ilaqutariinni	ilaqutariit<flertal<Lokalis
ilaqutariinniipput	ilaqutariit<flertal<Lokalis+IP<Indikativ<de
ilaqutariinniippoq	ilaqutariit<flertal<Lokalis+IP<Indikativ<han
ilaqutariinniillutik	ilaqutariit<flertal<Lokalis+IP<Ledsagemåde<de_selv
ilaqutariinniinniarput	ilaqutariit<flertal<Lokalis+IP+NIAR<Indikativ<de
ilaqutariinniinniarlutik	ilaqutariit<flertal<Lokalis+IP+NIAR<Ledsagemåde<de_selv
ilaqutariinniinnianngillat	ilaqutariit<flertal<Lokalis+IP+NIAR=NNGIT<Indikativ<de
ilaqutariinniinniarnatik	ilaqutariit<flertal<Lokalis+IP+NIAR=NNGIT<Ledsagemåde<de_selv
ilaqutariinniinngilaq	ilaqutariit<flertal<Lokalis+IP-NNGIT<Indikativ<han
ilaqutariinniinnatik	ilaqutariit<flertal<Lokalis+IP-NNGIT<Ledsagemåde<de_selv
ilaqutariinniinngitsut	ilaqutariit<flertal<Lokalis+IP-NNGIT<Participium<de
ilaqutariinniinngitsoq	ilaqutariit<flertal<Lokalis+IP-NNGIT<Participium<han
ilaqutariinniittut	ilaqutariit<flertal<Lokalis+IP<Participium<de
ilaqutariinniittoq	ilaqutariit<flertal<Lokalis+IP<Participium<han
ilaqutariinniissinnaapput	ilaqutariit<flertal<Lokalis+IP+SINNAA<Indikativ<de
ilaqutariinniissinnaavoq	ilaqutariit<flertal<Lokalis+IP+SINNAA<Indikativ<han
ilaqutariinniissinnaasut	ilaqutariit<flertal<Lokalis+IP+SINNAA<Participium<de
ilaqutariinniissinnaasoq	ilaqutariit<flertal<Lokalis+IP+SINNAA<Participium<han
imaapput	imaap<Indikativ<de
imaappoq	imaap<Indikativ<han
imaallutik	imaap<Ledsagemåde<de_selv
imaanniarput	imaap+NIAR<Indikativ<de
imaanniarpoq	imaap+NIAR<Indikativ<han
imaanniarlutik	imaap+NIAR<Ledsagemåde<de_selv
imaannianngillat	imaap+NIAR=NNGIT<Indikativ<de
imaannianngilaq	imaap+NIAR=NNGIT<Indikativ<han
imaanniarnatik	imaap+NIAR=NNGIT<Ledsagemåde<de_selv
imaannianngitsoq	imaap+NIAR=NNGIT<Participium<han
imaanniartut	imaap+NIAR<Participium<de
imaanniartoq	imaap+NIAR<Participium<han
imaanngillat	imaap-NNGIT<Indikativ<de
imaanngilaq	imaap-NNGIT<Indikativ<han
imaannatik	imaap-NNGIT<Ledsagemåde<de_selv
imaanngitsut	imaap-NNGIT<Participium<de
imaanngitsoq	imaap-NNGIT<Participium<han
imaattut	imaap<Participium<de
imaattoq	imaap<Participium<han
imaassinnaapput	imaap+SINNAA<Indikativ<de
imaassinnaavoq	imaap+SINNAA<Indikativ<han
imaassinnaallutik	imaap+SINNAA<Ledsagemåde<de_selv
imaassinnaasut	imaap+SINNAA<Participium<de
imaassinnaasoq	imaap+SINNAA<Participium<han
inunngorput	inunngor<Indikativ<de
inunngorpoq	inunngor<Indikativ<han
inunngorlutik	inunngor<Ledsagemåde<de_selv
inunngorniarput	inunngor+NIAR<Indikativ<de
inunngorniarpoq	inunngor+NIAR<Indikativ<han
inunngorniarlutik	inunngor+NIAR<Ledsagemåde<de_selv
inunngornianngillat	inunngor+NIAR=NNGIT<Indikativ<de
inunngornianngilaq	inunngor+NIAR=NNGIT<Indikativ<han
inunngorniarnatik	inunngor+NIAR=NNGIT<Ledsagemåde<de_selv
inunngornianngitsut	inunngor+NIAR=NNGIT<Participium<de
inunngornianngitsoq	inunngor+NIAR=NNGIT<Participium<han
inunngorniartut	inunngor+NIAR<Participium<de
inunngorniartoq	inunngor+NIAR<Participium<han
inunngunngillat	inunngor-NNGIT<Indikativ<de
inunngunngilaq	inunngor-NNGIT<Indikativ<han
inunngornatik	inunngor-NNGIT<Ledsagemåde<de_selv
inunngunngitsut	inunngor-NNGIT<Participium<de
inunngunngitsoq	inunngor-NNGIT<Participium<han
inunngortut	inunngor<Participium<de
inunngortoq	inunngor<Participium<han
inunngorsinnaapput	inunngor+SINNAA<Indikativ<de
inunngorsinnaavoq	inunngor+SINNAA<Indikativ<han
inunngorsinnaallutik	inunngor+SINNAA<Ledsagemåde<de_selv
inunngorsinnaasut	inunngor+SINNAA<Participium<de
inunngorsinnaasoq	inunngor+SINNAA<Participium<han
isuma	isuma<ental<Absolut
isumaa	isuma<ental<hans<Absolut
isumami	isuma<ental<Lokalis
isumamiillutik	isuma<ental<Lokalis+IP<Ledsagemåde<de_selv
isumamiinniartoq	isuma<ental<Lokalis+IP+NIAR<Participium<han
