aleqa	aleqa<ental<Absolut
taaguutiniinniartut	taaguut<flertal<Lokalis+IP+NIAR<Participium<de
taaguutiniinniartoq	taaguut<flertal<Lokalis+IP+NIAR<Participium<han
taaguutiniinngillat	taaguut<flertal<Lokalis+IP-NNGIT<Indikativ<de
taaguutiniinngilaq	taaguut<flertal<Lokalis+IP-NNGIT<Indikativ<han
taaguutiniinnatik	taaguut<flertal<Lokalis+IP-NNGIT<Ledsagemåde<de_selv
taaguutiniinngitsut	taaguut<flertal<Lokalis+IP-NNGIT<Participium<de
taaguutiniittut	taaguut<flertal<Lokalis+IP<Participium<de
taaguutiniissinnaallutik	taaguut<flertal<Lokalis+IP+SINNAA<Ledsagemåde<de_selv
taaguutiniissinnaasut	taaguut<flertal<Lokalis+IP+SINNAA<Participium<de
taaguutiniissinnaasoq	taaguut<flertal<Lokalis+IP+SINNAA<Participium<han
taaguutigitigit	taaguut+GӘ<Imperativ<ViDem
taaguutigivaa	taaguut+GӘ<Indikativ<HanHam
taaguutigivakka	taaguut+GӘ<Indikativ<JegDem
taaguutigivagut	taaguut+GӘ<Indikativ<ViDem
taaguutiginngilakka	taaguut+GӘ-NNGIT<Indikativ<JegDem
taaguutiginngilagut	taaguut+GӘ-NNGIT<Indikativ<ViDem
uagut	uagut<Pronomen<flertal
ukioq	ukioq<ental<Absolut
