aamma	aamma<Partikel
angajulliinnaasimavorlu	angajulleq-INNAQ-U+SIMA<Indikativ<han+LU
angajullillilli	angajulleq-LIK<flertal<Absolut+LI
angajullilinnut	angajulleq-LIK<flertal<Terminalis
angajullilerigaluartunga	angajulleq-LIRI+GALUAR<Participium<jeg
angajullilerilaarpoq	angajulleq-LIRI-LAAR<Indikativ<han
angajullilerilaartartungali	angajulleq-LIRI-LAAR=TAR<Participium<jeg+LI
angajullilerissaneq	angajulleq-LIRI-SSA+NIQ<ental<Absolut
angajullilerisassagaluarporlu	angajulleq-LIRI+TAR=SSA=GALUAR<Indikativ<han+LU
angajullermioqarporli	angajulleq+MIU-QAR<Indikativ<han+LI
angajullermioqarnerli	angajulleq+MIU-QAR+NIQ+LI
angajullermiuusimasarnerit	angajulleq+MIU-U+SIMA=TAR+NIQ<flertal<Relativ
angajullinngorpugullu	angajulleq-NNGUR<Indikativ<vi+LU
angajullinngussasunga	angajulleq-NNGUR-SSA<Participium<jeg
angajullerpassuarnut	angajulleq+PASSUAQ<flertal<Terminalis
angajulleqassagaluarpungalu	angajulleq-QAR-SSA=GALUAR<Indikativ<jeg+LU
angajulliussagaluarporli	angajulleq-U-SSA=GALUAR<Indikativ<han+LI
angajulliusassagaluartunga	angajulleq-U+TAR=SSA=GALUAR<Participium<jeg
arnaq	arnaq<ental>Absolut
arnarli	arnaq<ental>Absolut+LI
arnarlu	arnaq<ental>Absolut+LU
arnamik	arnaq<ental<Instrumentalis
arnami	arnaq<ental<Lokalis
arnanullu	arnaq<flertal<Terminalis+LU
arnaannarnik	arnaq-INNAQ<flertal<Instrumentalis
arnaannalerigaluartunga	arnaq-INNAQ-LIRI+GALUAR<Participium<jeg
arnaannalerisimanermut	arnaq-INNAQ-LIRI+SIMA+NIQ<ental<Terminalis
arnaannaqassagaluarpit	arnaq-INNAQ-QAR-SSA=GALUAR<Interrogativ<du
arnaannaasunga	arnaq-INNAQ-U<Participium<jeg
arnalik	arnaq-LIK<ental<Absolut
arnalittut	arnaq-LIK<ental<Aequalis
arnallillu	arnaq-LIK<flertal<Relativ+LU
arnanngussagaluarpoq	arnaq-NNGUR-SSA=GALUAR<Indikativ<han
arnanngussagaluarneq	arnaq-NNGUR-SSA=GALUAR+NIQ
arnanngussanerlu	arnaq-NNGUR-SSA+NIQ+LU
arnarpassuit	arnaq+PASSUAQ<flertal<Absolut
arnarpassuilli	arnaq+PASSUAQ<flertal<Absolut+LI
arnarpassuartut	arnaq+PASSUAQ<flertal<Aequalis
arnarpassuartulli	arnaq+PASSUAQ<flertal<Aequalis+LI
arnarpassuarnik	arnaq+PASSUAQ<flertal<Instrumentalis
arnarpassuarnut	arnaq+PASSUAQ<flertal<Terminalis
arnarpassuarnulli	arnaq+PASSUAQ<flertal<Terminalis+LI
arnarpassuarnullu	arnaq+PASSUAQ<flertal<Terminalis+LU
arnaqarsimaneq	arnaq-QAR+SIMA+NIQ
arnaqartarporli	arnaq-QAR+TAR<Indikativ<han+LI
arnaagaluarnernilli	arnaq-U+GALUAR+NIQ<flertal<Instrumentalis+LI
arnaanertulli	arnaq-U+NIQ<ental<Aequalis+LI
arnaasimavit	arnaq-U+SIMA<Interrogativ<du
arnaasimasartunga	arnaq-U+SIMA=TAR<Participium<jeg
ataatami	ataata<ental<Lokalis
ataatallit	ataata-LIK<flertal<Absolut
ataatallillu	ataata-LIK<flertal<Absolut+LU
ataatallit	ataata-LIK<flertal<Relativ
ataatamiulerisungali	ataata+MIU-LIRI<Participium<jeg+LI
ataatamioqarporli	ataata+MIU-QAR<Indikativ<han+LI
ataatanngorpunga	ataata-NNGUR<Indikativ<jeg
ataatanngulaartungali	ataata-NNGUR-LAAR<Participium<jeg+LI
ataatarpassuit	ataata+PASSUAQ<flertal<Absolut
ataatarpassuartulli	ataata+PASSUAQ<flertal<Aequalis+LI
ataatarpassuarnik	ataata+PASSUAQ<flertal<Instrumentalis
ataataqalaarpungali	ataata-QAR-LAAR<Indikativ<jeg+LI
ataataqassasungali	ataata-QAR-SSA<Participium<jeg+LI
ateqaraluartungali	ateqar+GALUAR<Participium<jeg+LI
atialli	ateq<ental<deres>Absolut+LI
atiallu	ateq<ental<deres>Absolut+LU
atiinnalerisimavunga	ateq-INNAQ-LIRI+SIMA<Indikativ<jeg
atillit	ateq-LIK<flertal<Absolut
atillit	ateq-LIK<flertal<Relativ
