aallariartorpoq	aallar+GIARTUR<Indikativ<han
qaammatinnguamukalertoq	qaammat-NNGUAQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
qaammatinnguamukartoq	qaammat-NNGUAQ<ental<Terminalis-KAR+TUQ<ental<Absolut
qaammatinnguakka	qaammat-NNGUAQ<flertal<min<Absolut
qangali	qangali<Partikel
qanga	qanga<Partikel
qatanngut	qatanngut<ental<Absolut
qatanngummut	qatanngut<ental<Terminalis
qatanngummukariartorpoq	qatanngut<ental<Terminalis-KAR+GIARTUR<Indikativ<han
qatanngummukariartorpisi	qatanngut<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
qatanngummukariartortoq	qatanngut<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
qatanngummukarpoq	qatanngut<ental<Terminalis-KAR<Indikativ<han
qatanngummukarpisi	qatanngut<ental<Terminalis-KAR<Interrogativ<I
qatanngummukalerpoq	qatanngut<ental<Terminalis-KAR-LIR<Indikativ<han
qatanngummukalerpisi	qatanngut<ental<Terminalis-KAR-LIR<Interrogativ<I
qatanngummukalertoq	qatanngut<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
qatanngummukartoq	qatanngut<ental<Terminalis-KAR+TUQ<ental<Absolut
qatanngutikka	qatanngut<flertal<min<Absolut
qatanngutinnguaq	qatanngut-NNGUAQ<ental<Absolut
qatanngutinnguamut	qatanngut-NNGUAQ<ental<Terminalis
qatanngutinnguamukariartorpisi	qatanngut-NNGUAQ<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
qatanngutinnguamukarpisi	qatanngut-NNGUAQ<ental<Terminalis-KAR<Interrogativ<I
qatanngutinnguamukalerpoq	qatanngut-NNGUAQ<ental<Terminalis-KAR-LIR<Indikativ<han
qatanngutinnguamukalerpisi	qatanngut-NNGUAQ<ental<Terminalis-KAR-LIR<Interrogativ<I
qatanngutinnguamukalertoq	qatanngut-NNGUAQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
qatanngutinnguamukartoq	qatanngut-NNGUAQ<ental<Terminalis-KAR+TUQ<ental<Absolut
qatanngutinnguakka	qatanngut-NNGUAQ<flertal<min<Absolut
sinneriartorpai	sinner+GIARTUR<Indikativ<HanDem
sinneriartorpaa	sinner+GIARTUR<Indikativ<HanHam
sinneriartorlugit	sinner+GIARTUR<Ledsagemåde<dem
sinneriartorlugu	sinner+GIARTUR<Ledsagemåde<ham
sinnerpai	sinner<Indikativ<HanDem
sinnerpaa	sinner<Indikativ<HanHam
sinnerlugit	sinner<Ledsagemåde<dem
sinnerlugu	sinner<Ledsagemåde<ham
sinnilerpai	sinner-LIR<Indikativ<HanDem
sinnilerpaa	sinner-LIR<Indikativ<HanHam
sinnilerlugit	sinner-LIR<Ledsagemåde<dem
sinnilerlugu	sinner-LIR<Ledsagemåde<ham
siulleq	siulleq<ental<Absolut
siullermut	siulleq<ental<Terminalis
siullermukariartorpisi	siulleq<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
siullermukariartortoq	siulleq<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
siullermukarpoq	siulleq<ental<Terminalis-KAR<Indikativ<han
siullermukarpisi	siulleq<ental<Terminalis-KAR<Interrogativ<I
siullermukalerpoq	siulleq<ental<Terminalis-KAR-LIR<Indikativ<han
siullermukalerpisi	siulleq<ental<Terminalis-KAR-LIR<Interrogativ<I
siullermukalertoq	siulleq<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
siullermukartoq	siulleq<ental<Terminalis-KAR+TUQ<ental<Absolut
siullikka	siulleq<flertal<min<Absolut
siullernut	siulleq<flertal<Terminalis
siullernukariartorpoq	siulleq<flertal<Terminalis-KAR+GIARTUR<Indikativ<han
siullernukariartorpisi	siulleq<flertal<Terminalis-KAR+GIARTUR<Interrogativ<I
siullernukariartortoq	siulleq<flertal<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
siullernukarpoq	siulleq<flertal<Terminalis-KAR<Indikativ<han
siullernukarpisi	siulleq<flertal<Terminalis-KAR<Interrogativ<I
siullernukalerpoq	siulleq<flertal<Terminalis-KAR-LIR<Indikativ<han
siullernukalerpisi	siulleq<flertal<Terminalis-KAR-LIR<Interrogativ<I
siullernukalertoq	siulleq<flertal<Terminalis-KAR-LIR+TUQ<ental<Absolut
siullernukartoq	siulleq<flertal<Terminalis-KAR+TUQ<ental<Absolut
siullinnguaq	siulleq-NNGUAQ<ental<Absolut
siullinnguamut	siulleq-NNGUAQ<ental<Terminalis
siullinnguamukariartorpoq	siulleq-NNGUAQ<ental<Terminalis-KAR+GIARTUR<Indikativ<han
siullinnguamukariartorpisi	siulleq-NNGUAQ<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
siullinnguamukariartortoq	siulleq-NNGUAQ<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
siullinnguamukarpoq	siulleq-NNGUAQ<ental<Terminalis-KAR<Indikativ<han
siullinnguamukarpisi	siulleq-NNGUAQ<ental<Terminalis-KAR<Interrogativ<I
siullinnguamukalerpoq	siulleq-NNGUAQ<ental<Terminalis-KAR-LIR<Indikativ<han
siullinnguamukalerpisi	siulleq-NNGUAQ<ental<Terminalis-KAR-LIR<Interrogativ<I
siullinnguamukalertoq	siulleq-NNGUAQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
siullinnguamukartoq	siulleq-NNGUAQ<ental<Terminalis-KAR+TUQ<ental<Absolut
siullinnguakka	siulleq-NNGUAQ<flertal<min<Absolut
taamaammat	taamaammat<Partikel
taava	taava<Partikel
tamatta	tamatta<Adjektiv
