aallariartorpoq	aallar+GIARTUR<Indikativ<han
atuariartortumukariartorpoq	atuar+GIARTUR+TUQ<ental<Terminalis-KAR+GIARTUR<Indikativ<han
atuariartortumukalertoq	atuar+GIARTUR+TUQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
atuariartortukka	atuar+GIARTUR+TUQ<flertal<min<Absolut
atuariartortunnguamut	atuar+GIARTUR+TUQ-NNGUAQ<ental<Terminalis
atuariartortunnguamukarpisi	atuar+GIARTUR+TUQ-NNGUAQ<ental<Terminalis-KAR<Interrogativ<I
atuariartortunnguakka	atuar+GIARTUR+TUQ-NNGUAQ<flertal<min<Absolut
atuarpoq	atuar<Indikativ<han
atuarpisi	atuar<Interrogativ<I
atualerpoq	atuar-LIR<Indikativ<han
atualerpisi	atuar-LIR<Interrogativ<I
atualertoq	atuar-LIR+TUQ<ental<Absolut
atualertumut	atuar-LIR+TUQ<ental<Terminalis
atualertumukariartorpisi	atuar-LIR+TUQ<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
atualertumukarpoq	atuar-LIR+TUQ<ental<Terminalis-KAR<Indikativ<han
atualertumukalerpoq	atuar-LIR+TUQ<ental<Terminalis-KAR-LIR<Indikativ<han
atualertumukalertoq	atuar-LIR+TUQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
atualertumukartoq	atuar-LIR+TUQ<ental<Terminalis-KAR+TUQ<ental<Absolut
atualertukka	atuar-LIR+TUQ<flertal<min<Absolut
atualertunnguaq	atuar-LIR+TUQ-NNGUAQ<ental<Absolut
atualertunnguamut	atuar-LIR+TUQ-NNGUAQ<ental<Terminalis
atualertunnguamukariartorpoq	atuar-LIR+TUQ-NNGUAQ<ental<Terminalis-KAR+GIARTUR<Indikativ<han
atualertunnguamukarpoq	atuar-LIR+TUQ-NNGUAQ<ental<Terminalis-KAR<Indikativ<han
atualertunnguamukalerpisi	atuar-LIR+TUQ-NNGUAQ<ental<Terminalis-KAR-LIR<Interrogativ<I
atualertunnguamukalertoq	atuar-LIR+TUQ-NNGUAQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
atualertunnguakka	atuar-LIR+TUQ-NNGUAQ<flertal<min<Absolut
atuartoq	atuar+TUQ<ental<Absolut
atuartumut	atuar+TUQ<ental<Terminalis
atuartumukariartorpoq	atuar+TUQ<ental<Terminalis-KAR+GIARTUR<Indikativ<han
atuartumukariartorpisi	atuar+TUQ<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
atuartumukarpoq	atuar+TUQ<ental<Terminalis-KAR<Indikativ<han
atuartumukarpisi	atuar+TUQ<ental<Terminalis-KAR<Interrogativ<I
atuartumukalerpoq	atuar+TUQ<ental<Terminalis-KAR-LIR<Indikativ<han
atuartumukalerpisi	atuar+TUQ<ental<Terminalis-KAR-LIR<Interrogativ<I
atuartumukartoq	atuar+TUQ<ental<Terminalis-KAR+TUQ<ental<Absolut
atuartukka	atuar+TUQ<flertal<min<Absolut
atuartunnguaq	atuar+TUQ-NNGUAQ<ental<Absolut
atuartunnguakka	atuar+TUQ-NNGUAQ<flertal<min<Absolut
eqqaq	eqqaq<ental<Absolut
eqqamut	eqqaq<ental<Terminalis
eqqamukariartorpoq	eqqaq<ental<Terminalis-KAR+GIARTUR<Indikativ<han
eqqamukariartorpisi	eqqaq<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
eqqamukariartortoq	eqqaq<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
eqqamukarpoq	eqqaq<ental<Terminalis-KAR<Indikativ<han
eqqamukarpisi	eqqaq<ental<Terminalis-KAR<Interrogativ<I
eqqamukalerpoq	eqqaq<ental<Terminalis-KAR-LIR<Indikativ<han
eqqamukalerpisi	eqqaq<ental<Terminalis-KAR-LIR<Interrogativ<I
eqqamukalertoq	eqqaq<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
eqqamukartoq	eqqaq<ental<Terminalis-KAR+TUQ<ental<Absolut
eqqakka	eqqaq<flertal<min<Absolut
eqqannguaq	eqqaq-NNGUAQ<ental<Absolut
eqqannguamut	eqqaq-NNGUAQ<ental<Terminalis
eqqannguamukariartorpoq	eqqaq-NNGUAQ<ental<Terminalis-KAR+GIARTUR<Indikativ<han
eqqannguamukariartorpisi	eqqaq-NNGUAQ<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
eqqannguamukariartortoq	eqqaq-NNGUAQ<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
eqqannguamukarpoq	eqqaq-NNGUAQ<ental<Terminalis-KAR<Indikativ<han
eqqannguamukarpisi	eqqaq-NNGUAQ<ental<Terminalis-KAR<Interrogativ<I
eqqannguamukalerpoq	eqqaq-NNGUAQ<ental<Terminalis-KAR-LIR<Indikativ<han
eqqannguamukalerpisi	eqqaq-NNGUAQ<ental<Terminalis-KAR-LIR<Interrogativ<I
eqqannguamukalertoq	eqqaq-NNGUAQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
eqqannguamukartoq	eqqaq-NNGUAQ<ental<Terminalis-KAR+TUQ<ental<Absolut
eqqannguakka	eqqaq-NNGUAQ<flertal<min<Absolut
ilinniarnertooq	ilinniarnertooq<ental<Absolut
ilinniarnertuumut	ilinniarnertooq<ental<Terminalis
ilinniarnertuumukariartorpoq	ilinniarnertooq<ental<Terminalis-KAR+GIARTUR<Indikativ<han
ilinniarnertuumukariartorpisi	ilinniarnertooq<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
ilinniarnertuumukariartortoq	ilinniarnertooq<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
ilinniarnertuumukarpoq	ilinniarnertooq<ental<Terminalis-KAR<Indikativ<han
ilinniarnertuumukarpisi	ilinniarnertooq<ental<Terminalis-KAR<Interrogativ<I
ilinniarnertuumukalerpoq	ilinniarnertooq<ental<Terminalis-KAR-LIR<Indikativ<han
ilinniarnertuumukalerpisi	ilinniarnertooq<ental<Terminalis-KAR-LIR<Interrogativ<I
ilinniarnertuumukalertoq	ilinniarnertooq<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
ilinniarnertuumukartoq	ilinniarnertooq<ental<Terminalis-KAR+TUQ<ental<Absolut
ilinniarnertuukka	ilinniarnertooq<flertal<min<Absolut
ilinniarnertuunnguaq	ilinniarnertooq-NNGUAQ<ental<Absolut
ilinniarnertuunnguamut	ilinniarnertooq-NNGUAQ<ental<Terminalis
ilinniarnertuunnguamukariartortoq	ilinniarnertooq-NNGUAQ<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
ilinniarnertuunnguamukarpisi	ilinniarnertooq-NNGUAQ<ental<Terminalis-KAR<Interrogativ<I
ilinniarnertuunnguamukalerpoq	ilinniarnertooq-NNGUAQ<ental<Terminalis-KAR-LIR<Indikativ<han
ilinniarnertuunnguamukalerpisi	ilinniarnertooq-NNGUAQ<ental<Terminalis-KAR-LIR<Interrogativ<I
ilinniarnertuunnguamukalertoq	ilinniarnertooq-NNGUAQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
ilinniarnertuunnguamukartoq	ilinniarnertooq-NNGUAQ<ental<Terminalis-KAR+TUQ<ental<Absolut
ilinniarnertuunnguakka	ilinniarnertooq-NNGUAQ<flertal<min<Absolut
immiussiartorpoq	immiussi+GIARTUR<Indikativ<han
immiussiartorpisi	immiussi+GIARTUR<Interrogativ<I
immiussiartortoq	immiussi+GIARTUR+TUQ<ental<Absolut
immiussiartortumukariartorpisi	immiussi+GIARTUR+TUQ<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
immiussiartortumukarpoq	immiussi+GIARTUR+TUQ<ental<Terminalis-KAR<Indikativ<han
