TA+una+Gram/Dem+Pron+Abs+Sg	taanna
pizza+Sem/food-h+N+Abl+Sg	pizzamit
pizza+Sem/food-h+N+Lok+Sg	pizzami
pizza+Sem/food-h+N+Lok+Sg+LI	pizzamili
pizza+Sem/food-h+N+Lok+Sg+LU	pizzamilu
pizza+Sem/food-h+N+Trm+Sg+LI	pizzamulli
pizza+Sem/food-h+N+Trm+Sg+LU	pizzamullu
pizza+Sem/food-h+N+Trm+Sg	pizzamut
pizza+Sem/food-h+N+Abs+Sg+1SgPoss	pizzaga
pizza+Sem/food-h+N+Abs+Sg+1SgPoss+LI	pizzagali
pizza+Sem/food-h+N+Abs+Sg+1SgPoss+LU	pizzagalu
pizza+Sem/food-h+N+Abs+Sg	pizza
pizza+Sem/food-h+N+Abs+Sg+LI	pizzali
pizza+Sem/food-h+N+Abs+Sg+LU	pizzalu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+V+Ind+3Sg	pisiniarfeqarpoq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+V+Ind+3Sg+LI	pisiniarfeqarporli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+V+Ind+3Sg+LU	pisiniarfeqarporlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg	pisiniarfeqarusussanngilaq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI	pisiniarfeqarusussanngilarli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU	pisiniarfeqarusussanngilarlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg	pisiniarfeqarusussaaq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI	pisiniarfeqarusussaarli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU	pisiniarfeqarusussaarlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg	pisiniarfeqarusuppoq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI	pisiniarfeqarusupporli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU	pisiniarfeqarusupporlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	pisiniarfeqarusunngilaq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI	pisiniarfeqarusunngilarli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU	pisiniarfeqarusunngilarlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg	pisiniarfeqassanngilaq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI	pisiniarfeqassanngilarli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU	pisiniarfeqassanngilarlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg	pisiniarfeqassaaq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LI	pisiniarfeqassaarli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LU	pisiniarfeqassaarlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg	pisiniarfeqanngilaq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LI	pisiniarfeqanngilarli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LU	pisiniarfeqanngilarlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Abs+Sg	pisiniarfik
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Ins+Sg	pisiniarfimmik
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Ins+Sg+LI	pisiniarfimmilli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Ins+Sg+LU	pisiniarfimmillu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Abl+Sg+LI	pisiniarfimmilli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Abl+Sg+LU	pisiniarfimmillu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Abl+Sg	pisiniarfimmit
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Lok+Sg	pisiniarfimmi
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Lok+Sg+LI	pisiniarfimmili
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Lok+Sg+LU	pisiniarfimmilu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Trm+Sg+LI	pisiniarfimmulli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Trm+Sg+LU	pisiniarfimmullu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Trm+Sg	pisiniarfimmut
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Abs+Sg+LI	pisiniarfilli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Abs+Sg+LU	pisiniarfillu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Abs+Sg+1SgPoss	pisiniarfiga
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Abs+Sg+1SgPoss+LI	pisiniarfigali
pisi+Gram/HV+NIAR+VIK+Sem/Lh+N+Abs+Sg+1SgPoss+LU	pisiniarfigalu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+V+Ind+3Sg	pisiniarfiuvoq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+V+Ind+3Sg+LI	pisiniarfiuvorli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+V+Ind+3Sg+LU	pisiniarfiuvorlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg	pisiniarfiussanngilaq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI	pisiniarfiussanngilarli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU	pisiniarfiussanngilarlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg	pisiniarfiussaaq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LI	pisiniarfiussaarli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LU	pisiniarfiussaarlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg	pisiniarfiunngilaq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI	pisiniarfiunngilarli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU	pisiniarfiunngilarlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg	pisiniarfiorusussanngilaq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI	pisiniarfiorusussanngilarli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU	pisiniarfiorusussanngilarlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg	pisiniarfiorusussaaq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI	pisiniarfiorusussaarli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU	pisiniarfiorusussaarlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg	pisiniarfiorusuppoq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI	pisiniarfiorusupporli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU	pisiniarfiorusupporlu
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	pisiniarfiorusunngilaq
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI	pisiniarfiorusunngilarli
pisi+Gram/HV+NIAR+VIK+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU	pisiniarfiorusunngilarlu
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI	ikkorikkusussavilli
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU	pikkorikkusussavillu
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg	pikkorikkusussavit
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg	pikkorikkusussanngilaq
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI	pikkorikkusussanngilarli
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU	pikkorikkusussanngilarlu
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg	pikkorikkusussanngilanga
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI	pikkorikkusussanngilangali
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU	pikkorikkusussanngilangalu
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI	pikkorikkusussanngilatilli
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU	pikkorikkusussanngilatillu
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg	pikkorikkusussanngilatit
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg	pikkorikkusussaaq
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI	pikkorikkusussaarli
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU	pikkorikkusussaarlu
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg	pikkorikkusussaanga
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI	pikkorikkusussaangali
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU	pikkorikkusussaangalu
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI	pikkorikkusuppilli
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU	pikkorikkusuppillu
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg	pikkorikkusuppit
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg	pikkorikkusuppoq
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI	pikkorikkusupporli
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU	pikkorikkusupporlu
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg	pikkorikkusuppunga
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI	pikkorikkusuppungali
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU	pikkorikkusuppungalu
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	pikkorikkusunngilaq
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI	pikkorikkusunngilarli
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU	pikkorikkusunngilarlu
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg	pikkorikkusunngilanga
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI	pikkorikkusunngilangali
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU	pikkorikkusunngilangalu
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI	pikkorikkusunngilatilli
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU	pikkorikkusunngilatillu
pikkorip+Sem/be_attribute+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg	pikkorikkusunngilatit
pikkorip+Sem/be_attribute+V+Int+2Sg+LI	pikkorippilli
pikkorip+Sem/be_attribute+V+Int+2Sg+LU	pikkorippillu
pikkorip+Sem/be_attribute+V+Int+2Sg	pikkorippit
pikkorip+Sem/be_attribute+V+Ind+3Sg	pikkorippoq
pikkorip+Sem/be_attribute+V+Ind+3Sg+LI	pikkoripporli
pikkorip+Sem/be_attribute+V+Ind+3Sg+LU	pikkoripporlu
pikkorip+Sem/be_attribute+V+Ind+1Sg	pikkorippunga
pikkorip+Sem/be_attribute+V+Ind+1Sg+LI	pikkorippungali
pikkorip+Sem/be_attribute+V+Ind+1Sg+LU	pikkorippungalu
pikkorip+Sem/be_attribute+Gram/IV+SSA+V+Int+2Sg+LI	pikkorissavilli
pikkorip+Sem/be_attribute+Gram/IV+SSA+V+Int+2Sg+LU	pikkorissavillu
pikkorip+Sem/be_attribute+Gram/IV+SSA+V+Int+2Sg	pikkorissavit
pikkorip+Sem/be_attribute+Gram/IV+SSA+NNGIT+V+Ind+3Sg	pikkorissanngilaq
pikkorip+Sem/be_attribute+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI	pikkorissanngilarli
pikkorip+Sem/be_attribute+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU	pikkorissanngilarlu
pikkorip+Sem/be_attribute+Gram/IV+SSA+NNGIT+V+Ind+1Sg	pikkorissanngilanga
pikkorip+Sem/be_attribute+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI	pikkorissanngilangali
pikkorip+Sem/be_attribute+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU	pikkorissanngilangalu
pikkorip+Sem/be_attribute+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI	pikkorissanngilatilli
pikkorip+Sem/be_attribute+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU	pikkorissanngilatillu
pikkorip+Sem/be_attribute+Gram/IV+SSA+NNGIT+V+Int+2Sg	pikkorissanngilatit
pikkorip+Sem/be_attribute+Gram/IV+SSA+V+Ind+3Sg	pikkorissaaq
pikkorip+Sem/be_attribute+Gram/IV+SSA+V+Ind+3Sg+LI	pikkorissaarli
pikkorip+Sem/be_attribute+Gram/IV+SSA+V+Ind+3Sg+LU	pikkorissaarlu
pikkorip+Sem/be_attribute+Gram/IV+SSA+V+Ind+1Sg	pikkorissaanga
pikkorip+Sem/be_attribute+Gram/IV+SSA+V+Ind+1Sg+LI	pikkorissaangali
pikkorip+Sem/be_attribute+Gram/IV+SSA+V+Ind+1Sg+LU	pikkorissaangalu
pikkorip+Sem/be_attribute+Gram/IV+NNGIT+V+Ind+3Sg	pikkorinngilaq
pikkorip+Sem/be_attribute+Gram/IV+NNGIT+V+Ind+3Sg+LI	pikkorinngilarli
pikkorip+Sem/be_attribute+Gram/IV+NNGIT+V+Ind+3Sg+LU	pikkorinngilarlu
pikkorip+Sem/be_attribute+Gram/IV+NNGIT+V+Ind+1Sg	pikkorinngilanga
pikkorip+Sem/be_attribute+Gram/IV+NNGIT+V+Ind+1Sg+LI	pikkorinngilangali
pikkorip+Sem/be_attribute+Gram/IV+NNGIT+V+Ind+1Sg+LU	pikkorinngilangalu
pikkorip+Sem/be_attribute+Gram/IV+NNGIT+V+Int+2Sg+LI	pikkorinngilatilli
pikkorip+Sem/be_attribute+Gram/IV+NNGIT+V+Int+2Sg+LU	pikkorinngilatillu
pikkorip+Sem/be_attribute+Gram/IV+NNGIT+V+Int+2Sg	pikkorinngilatit
nuliaq+Sem/Hfam+N+Abs+Sg+1SgPoss	nuliara
nuliaq+Sem/Hfam+N+Abs+Sg+1SgPoss+LI	nuliarali
nuliaq+Sem/Hfam+N+Abs+Sg+1SgPoss+LU	nuliaralu
nuliaq+Sem/Hfam+N+Abs+Sg+LI	nuliarli
nuliaq+Sem/Hfam+N+Abs+Sg+LU	nuliarlu
nuliaq+Sem/Hfam+N+Abs+Sg	nuliaq
nuliaq+Sem/Hfam+N+Ins+Sg	nuliamik
nuliaq+Sem/Hfam+N+Ins+Sg+LI	nuliamilli
nuliaq+Sem/Hfam+N+Ins+Sg+LU	nuliamillu
nuliaq+Sem/Hfam+N+Abl+Sg+LI	nuliamilli
nuliaq+Sem/Hfam+N+Abl+Sg+LU	nuliamillu
nuliaq+Sem/Hfam+N+Abl+Sg	nuliamit
nuliaq+Sem/Hfam+N+Lok+Sg	nuliami
nuliaq+Sem/Hfam+N+Lok+Sg+LI	nuliamili
nuliaq+Sem/Hfam+N+Lok+Sg+LU	nuliamilu
nuliaq+Sem/Hfam+N+Trm+Sg+LI	nuliamulli
nuliaq+Sem/Hfam+N+Trm+Sg+LU	nuliamullu
nuliaq+Sem/Hfam+N+Trm+Sg	nuliamut
nuliaq+Sem/Hfam+QAR+Sem/have+V+Int+2Sg+LI	nuliaqarpilli
nuliaq+Sem/Hfam+QAR+Sem/have+V+Int+2Sg+LU	nuliaqarpillu
nuliaq+Sem/Hfam+QAR+Sem/have+V+Int+2Sg	nuliaqarpit
nuliaq+Sem/Hfam+QAR+Sem/have+V+Ind+3Sg	nuliaqarpoq
nuliaq+Sem/Hfam+QAR+Sem/have+V+Ind+3Sg+LI	nuliaqarporli
nuliaq+Sem/Hfam+QAR+Sem/have+V+Ind+3Sg+LU	nuliaqarporlu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI	nuliaqarusussavilli
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU	nuliaqarusussavillu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg	nuliaqarusussavit
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg	nuliaqarusussanngilaq
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI	nuliaqarusussanngilarli
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU	nuliaqarusussanngilarlu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg	nuliaqarusussanngilanga
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI	nuliaqarusussanngilangali
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU	nuliaqarusussanngilangalu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI	nuliaqarusussanngilatilli
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU	nuliaqarusussanngilatillu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg	nuliaqarusussanngilatit
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg	nuliaqarusussaaq
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI	nuliaqarusussaarli
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU	nuliaqarusussaarlu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg	nuliaqarusussaanga
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI	nuliaqarusussaangali
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU	nuliaqarusussaangalu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI	nuliaqarusuppilli
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU	nuliaqarusuppillu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg	nuliaqarusuppit
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg	nuliaqarusuppoq
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI	nuliaqarusupporli
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU	nuliaqarusupporlu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg	nuliaqarusuppunga
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI	nuliaqarusuppungali
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU	nuliaqarusuppungalu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	nuliaqarusunngilaq
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI	nuliaqarusunngilarli
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU	nuliaqarusunngilarlu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg	nuliaqarusunngilanga
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI	nuliaqarusunngilangali
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU	nuliaqarusunngilangalu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI	nuliaqarusunngilatilli
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU	nuliaqarusunngilatillu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg	nuliaqarusunngilatit
nuliaq+Sem/Hfam+QAR+Sem/have+V+Ind+1Sg	nuliaqarpunga
nuliaq+Sem/Hfam+QAR+Sem/have+V+Ind+1Sg+LI	nuliaqarpungali
nuliaq+Sem/Hfam+QAR+Sem/have+V+Ind+1Sg+LU	nuliaqarpungalu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+SSA+V+Int+2Sg+LI	nuliaqassavilli
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+SSA+V+Int+2Sg+LU	nuliaqassavillu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+SSA+V+Int+2Sg	nuliaqassavit
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg	nuliaqassanngilaq
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI	nuliaqassanngilarli
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU	nuliaqassanngilarlu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+1Sg	nuliaqassanngilanga
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI	nuliaqassanngilangali
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU	nuliaqassanngilangalu
nuliaq+Sem/Hfam+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI	nuliaqassanngilatilli
