TA+una+Gram/Dem+Pron+Abs+Sg	taanna
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU	whiskytorusussaarlu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg	whiskytorusussaanga
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI	whiskytorusussaangali
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU	whiskytorusussaangalu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI	whiskytorusuppilli
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU	whiskytorusuppillu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg	whiskytorusuppit
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg	whiskytorusuppoq
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI	whiskytorusupporli
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU	whiskytorusupporlu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg	whiskytorusuppunga
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI	whiskytorusuppungali
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU	whiskytorusuppungalu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	whiskytorusunngilaq
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI	whiskytorusunngilarli
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU	whiskytorusunngilarlu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg	whiskytorusunngilanga
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI	whiskytorusunngilangali
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU	whiskytorusunngilangalu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI	whiskytorusunngilatilli
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU	whiskytorusunngilatillu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg	whiskytorusunngilatit
whisky+Sem/drink-h+OLang/DAN+TUR+V+Ind+1Sg	whiskytorpunga
whisky+Sem/drink-h+OLang/DAN+TUR+V+Ind+1Sg+LI	whiskytorpungali
whisky+Sem/drink-h+OLang/DAN+TUR+V+Ind+1Sg+LU	whiskytorpungalu
utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Int+2Sg+LI	utoqqatsissavilli
utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Int+2Sg+LU	utoqqatsissavillu
utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Int+2Sg	utoqqatsissavit
utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Ind+3Sg	utoqqatsissanngilaq
utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI	utoqqatsissanngilarli
utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU	utoqqatsissanngilarlu
utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Ind+1Sg	utoqqatsissanngilanga
utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI	utoqqatsissanngilangali
utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU	utoqqatsissanngilangalu
utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI	utoqqatsissanngilatilli
utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU	utoqqatsissanngilatillu
utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Int+2Sg	utoqqatsissanngilatit
utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Ind+3Sg	utoqqatsissaaq
utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Ind+3Sg+LI	utoqqatsissaarli
utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Ind+3Sg+LU	utoqqatsissaarlu
utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Ind+1Sg	utoqqatsissaanga
utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Ind+1Sg+LI	utoqqatsissaangali
utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Ind+1Sg+LU	utoqqatsissaangalu
utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Ind+3Sg	utoqqatsinngilaq
utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Ind+3Sg+LI	utoqqatsinngilarli
utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Ind+3Sg+LU	utoqqatsinngilarlu
utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Ind+1Sg	utoqqatsinngilanga
utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Ind+1Sg+LI	utoqqatsinngilangali
utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Ind+1Sg+LU	utoqqatsinngilangalu
utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Int+2Sg+LI	utoqqatsinngilatilli
utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Int+2Sg+LU	utoqqatsinngilatillu
