Aasiaat+Sem/Geo+Prop+Abl+Pl	Aasiannit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+GALUAR+V+Ind+1Sg	Aasiammioorusussagaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+GALUAR+V+Ind+3Sg	Aasiammioorusussagaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+GALUAR+V+Int+2Sg	Aasiammioorusussagaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+GALUAR+V+Ind+1Pl	Aasiammioorusussanngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+GALUAR+V+Ind+1Sg	Aasiammioorusussanngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+GALUAR+V+Ind+3Sg	Aasiammioorusussanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+GALUAR+V+Int+2Sg	Aasiammioorusussanngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Pl	Aasiammioorusussanngilagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg	Aasiammioorusussanngilanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg	Aasiammioorusussanngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg	Aasiammioorusussanngilatit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+V+Ind+1Pl	Aasiammioorusussaagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+V+Ind+1Sg	Aasiammioorusussaanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+V+Ind+3Sg	Aasiammioorusussaaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+V+Int+2Sg	Aasiammioorusussavit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+GALUAR+V+Ind+1Pl	Aasiammioorusuttaraluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+GALUAR+V+Ind+1Sg	Aasiammioorusuttaraluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+GALUAR+V+Ind+3Sg	Aasiammioorusuttaraluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+GALUAR+V+Int+2Sg	Aasiammioorusuttaraluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Ind+1Pl	Aasiammioorusuttanngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Ind+1Sg	Aasiammioorusuttanngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Ind+3Sg	Aasiammioorusuttanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Int+2Sg	Aasiammioorusuttanngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+NNGIT+V+Ind+1Pl	Aasiammioorusuttanngilagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+NNGIT+V+Ind+1Sg	Aasiammioorusuttanngilanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+NNGIT+V+Ind+3Sg	Aasiammioorusuttanngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+NNGIT+V+Int+2Sg	Aasiammioorusuttanngilatit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+V+Ind+1Pl	Aasiammioorusuttarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+V+Ind+1Sg	Aasiammioorusuttarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+V+Ind+3Sg	Aasiammioorusuttarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+V+Int+2Sg	Aasiammioorusuttarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+V+Ind+1Pl	Aasiammioorusuppugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+V+Ind+1Sg	Aasiammioorusuppunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+V+Ind+3Sg	Aasiammioorusuppoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+V+Int+2Sg	Aasiammioorusuppit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+NNGIT+GALUAR+V+Ind+1Pl	Aasiammiuunngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+NNGIT+GALUAR+V+Ind+1Sg	Aasiammiuunngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+NNGIT+GALUAR+V+Ind+3Sg	Aasiammiuunngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+NNGIT+GALUAR+V+Int+2Sg	Aasiammiuunngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+NNGIT+V+Ind+1Pl	Aasiammiuunngilagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+NNGIT+V+Ind+1Sg	Aasiammiuunngilanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+NNGIT+V+Ind+3Sg	Aasiammiuunngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+NNGIT+V+Int+2Sg	Aasiammiuunngilatit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+GALUAR+V+Ind+1Pl	Aasiammiuussagaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+GALUAR+V+Ind+1Sg	Aasiammiuussagaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+GALUAR+V+Ind+3Sg	Aasiammiuussagaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+GALUAR+V+Int+2Sg	Aasiammiuussagaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+NNGIT+GALUAR+V+Ind+1Pl	Aasiammiuussanngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+NNGIT+GALUAR+V+Ind+1Sg	Aasiammiuussanngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+NNGIT+GALUAR+V+Ind+3Sg	Aasiammiuussanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+NNGIT+GALUAR+V+Int+2Sg	Aasiammiuussanngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+NNGIT+V+Ind+1Pl	Aasiammiuussanngilagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+NNGIT+V+Ind+1Sg	Aasiammiuussanngilanga
