taanna	TA+una+Gram/Dem+Pron+Abs+Sg
najugaassaarlu	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LU
najugaarusussanngilaq	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
najugaarusussanngilarli	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
najugaarusussanngilarlu	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
najugaarusussaaq	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
najugaarusussaarli	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
najugaarusussaarlu	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
najugaarusuppoq	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
najugaarusupporli	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
najugaarusupporlu	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
najugaarusunngilaq	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
najugaarusunngilarli	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
najugaarusunngilarlu	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
najugaanngilaq	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg
najugaanngilarli	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI
najugaanngilarlu	najor+Gram/TV+TAQ+Sem/Lh+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU
naapikkusussaviuk	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+V+Int+2Sg+3SgO
naapikkusussaviulli	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+V+Int+2Sg+3SgO+LI
naapikkusussaviullu	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+V+Int+2Sg+3SgO+LU
naapikkusussavassi	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+2PlO
naapikkusussavassili	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+2PlO+LI
naapikkusussavassilu	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+2PlO+LU
naapikkusussavara	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+3SgO
naapikkusussavarali	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+3SgO+LI
naapikkusussavaralu	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+3SgO+LU
naapikkusussanngiliuk	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Int+2Sg+3SgO
naapikkusussanngiliulli	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LI
naapikkusussanngiliullu	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LU
naapikkusussanngilassi	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Ind+1Sg+2PlO
naapikkusussanngilassili	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LI
naapikkusussanngilassilu	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LU
naapikkusussanngilara	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Ind+1Sg+3SgO
naapikkusussanngilarali	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LI
naapikkusussanngilaralu	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LU
naapikkusuppiuk	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+V+Int+2Sg+3SgO
naapikkusuppiulli	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+V+Int+2Sg+3SgO+LI
naapikkusuppiullu	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+V+Int+2Sg+3SgO+LU
naapikkusuppassi	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+V+Ind+1Sg+2PlO
naapikkusuppassili	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+V+Ind+1Sg+2PlO+LI
naapikkusuppassilu	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+V+Ind+1Sg+2PlO+LU
naapikkusuppara	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+V+Ind+1Sg+3SgO
naapikkusupparali	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+V+Ind+1Sg+3SgO+LI
naapikkusupparalu	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+V+Ind+1Sg+3SgO+LU
naapikkusunngiliuk	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Int+2Sg+3SgO
naapikkusunngiliulli	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LI
naapikkusunngiliullu	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LU
naapikkusunngilassi	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Ind+1Sg+2PlO
naapikkusunngilassili	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LI
naapikkusunngilassilu	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LU
naapikkusunngilara	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Ind+1Sg+3SgO
naapikkusunngilarali	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LI
naapikkusunngilaralu	naapip+Sem/encounter+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LU
naapippiuk	naapip+Sem/encounter+Gram/TV+V+Int+2Sg+3SgO
naapippiulli	naapip+Sem/encounter+Gram/TV+V+Int+2Sg+3SgO+LI
naapippiullu	naapip+Sem/encounter+Gram/TV+V+Int+2Sg+3SgO+LU
naapippassi	naapip+Sem/encounter+Gram/TV+V+Ind+1Sg+2PlO
naapippassili	naapip+Sem/encounter+Gram/TV+V+Ind+1Sg+2PlO+LI
naapippassilu	naapip+Sem/encounter+Gram/TV+V+Ind+1Sg+2PlO+LU
naapippara	naapip+Sem/encounter+Gram/TV+V+Ind+1Sg+3SgO
naapipparali	naapip+Sem/encounter+Gram/TV+V+Ind+1Sg+3SgO+LI
naapipparalu	naapip+Sem/encounter+Gram/TV+V+Ind+1Sg+3SgO+LU
naapissaviuk	naapip+Sem/encounter+Gram/TV+SSA+V+Int+2Sg+3SgO
naapissaviulli	naapip+Sem/encounter+Gram/TV+SSA+V+Int+2Sg+3SgO+LI
naapissaviullu	naapip+Sem/encounter+Gram/TV+SSA+V+Int+2Sg+3SgO+LU
naapissavassi	naapip+Sem/encounter+Gram/TV+SSA+V+Ind+1Sg+2PlO
naapissavassili	naapip+Sem/encounter+Gram/TV+SSA+V+Ind+1Sg+2PlO+LI
naapissavassilu	naapip+Sem/encounter+Gram/TV+SSA+V+Ind+1Sg+2PlO+LU
naapissavara	naapip+Sem/encounter+Gram/TV+SSA+V+Ind+1Sg+3SgO
naapissavarali	naapip+Sem/encounter+Gram/TV+SSA+V+Ind+1Sg+3SgO+LI
naapissavaralu	naapip+Sem/encounter+Gram/TV+SSA+V+Ind+1Sg+3SgO+LU
naapissanngiliuk	naapip+Sem/encounter+Gram/TV+SSA+NNGIT+Gram/TV+V+Int+2Sg+3SgO
naapissanngiliulli	naapip+Sem/encounter+Gram/TV+SSA+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LI
naapissanngiliullu	naapip+Sem/encounter+Gram/TV+SSA+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LU
naapissanngilassi	naapip+Sem/encounter+Gram/TV+SSA+NNGIT+Gram/TV+V+Ind+1Sg+2PlO
naapissanngilassili	naapip+Sem/encounter+Gram/TV+SSA+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LI
naapissanngilassilu	naapip+Sem/encounter+Gram/TV+SSA+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LU
naapissanngilara	naapip+Sem/encounter+Gram/TV+SSA+NNGIT+Gram/TV+V+Ind+1Sg+3SgO
naapissanngilarali	naapip+Sem/encounter+Gram/TV+SSA+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LI
naapissanngilaralu	naapip+Sem/encounter+Gram/TV+SSA+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LU
naapinngiliuk	naapip+Sem/encounter+Gram/TV+NNGIT+Gram/TV+V+Int+2Sg+3SgO
naapinngiliulli	naapip+Sem/encounter+Gram/TV+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LI
naapinngiliullu	naapip+Sem/encounter+Gram/TV+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LU
naapinngilassi	naapip+Sem/encounter+Gram/TV+NNGIT+Gram/TV+V+Ind+1Sg+2PlO
naapinngilassili	naapip+Sem/encounter+Gram/TV+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LI
naapinngilassilu	naapip+Sem/encounter+Gram/TV+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LU
naapinngilara	naapip+Sem/encounter+Gram/TV+NNGIT+Gram/TV+V+Ind+1Sg+3SgO
naapinngilarali	naapip+Sem/encounter+Gram/TV+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LI
naapinngilaralu	naapip+Sem/encounter+Gram/TV+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LU
naamilli	naamik+Interj+LI
naamillu	naamik+Interj+LU
naamik	naamik+Interj
kalaaliuvunga	kalaaleq+Sem/Hnat+U+Sem/be_copula+V+Ind+1Sg
kalaaliuvungali	kalaaleq+Sem/Hnat+U+Sem/be_copula+V+Ind+1Sg+LI
kalaaliuvungalu	kalaaleq+Sem/Hnat+U+Sem/be_copula+V+Ind+1Sg+LU
kalaaliuvoq	kalaaleq+Sem/Hnat+U+Sem/be_copula+V+Ind+3Sg
kalaaliuvorli	kalaaleq+Sem/Hnat+U+Sem/be_copula+V+Ind+3Sg+LI
kalaaliuvorlu	kalaaleq+Sem/Hnat+U+Sem/be_copula+V+Ind+3Sg+LU
kalaaliussavilli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LI
kalaaliussavillu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LU
kalaaliussavit	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg
kalaaliussanngilaq	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg
kalaaliussanngilarli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
kalaaliussanngilarlu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
kalaaliussanngilanga	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg
kalaaliussanngilangali	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI
kalaaliussanngilangalu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU
kalaaliussanngilatilli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI
kalaaliussanngilatillu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU
kalaaliussanngilatit	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg
kalaaliussaaq	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg
kalaaliussaarli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LI
kalaaliussaarlu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LU
kalaaliussaanga	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg
kalaaliussaangali	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LI
kalaaliussaangalu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LU
kalaaliuilli	kalaaleq+Sem/Hnat+U+Sem/be_copula+V+Int+2Sg+LI
kalaaliuillu	kalaaleq+Sem/Hnat+U+Sem/be_copula+V+Int+2Sg+LU
kalaaliuit	kalaaleq+Sem/Hnat+U+Sem/be_copula+V+Int+2Sg
kalaaliunngilaq	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg
kalaaliunngilarli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI
kalaaliunngilarlu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU
kalaaliunngilanga	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg
kalaaliunngilangali	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg+LI
kalaaliunngilangalu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg+LU
kalaaliunngilatilli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg+LI
kalaaliunngilatillu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg+LU
kalaaliunngilatit	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg
kalaaliorusussavilli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI
kalaaliorusussavillu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU
kalaaliorusussavit	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg
kalaaliorusussanngilaq	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
kalaaliorusussanngilarli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
kalaaliorusussanngilarlu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
kalaaliorusussanngilanga	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg
kalaaliorusussanngilangali	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI
kalaaliorusussanngilangalu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU
kalaaliorusussanngilatilli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI
kalaaliorusussanngilatillu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU
kalaaliorusussanngilatit	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg
kalaaliorusussaaq	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
kalaaliorusussaarli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
kalaaliorusussaarlu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
kalaaliorusussaanga	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg
kalaaliorusussaangali	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI
kalaaliorusussaangalu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU
kalaaliorusuppilli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI
kalaaliorusuppillu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU
kalaaliorusuppit	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg
kalaaliorusuppoq	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
kalaaliorusupporli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
kalaaliorusupporlu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
kalaaliorusuppunga	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg
kalaaliorusuppungali	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI
kalaaliorusuppungalu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU
kalaaliorusunngilaq	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
kalaaliorusunngilarli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
kalaaliorusunngilarlu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
kalaaliorusunngilanga	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg
kalaaliorusunngilangali	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI
kalaaliorusunngilangalu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU
kalaaliorusunngilatilli	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI
kalaaliorusunngilatillu	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU
kalaaliorusunngilatit	kalaaleq+Sem/Hnat+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg
kalaalerli	kalaaleq+Sem/Hnat+N+Abs+Sg+LI
kalaalerlu	kalaaleq+Sem/Hnat+N+Abs+Sg+LU
kalaaleq	kalaaleq+Sem/Hnat+N+Abs+Sg
kalaaleqarpoq	kalaaleq+Sem/Hnat+QAR+Sem/have+V+Ind+3Sg
kalaaleqarporli	kalaaleq+Sem/Hnat+QAR+Sem/have+V+Ind+3Sg+LI
kalaaleqarporlu	kalaaleq+Sem/Hnat+QAR+Sem/have+V+Ind+3Sg+LU
kalaaleqarusussanngilaq	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
kalaaleqarusussanngilarli	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
kalaaleqarusussanngilarlu	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
kalaaleqarusussaaq	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
kalaaleqarusussaarli	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
kalaaleqarusussaarlu	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
kalaaleqarusuppoq	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
kalaaleqarusupporli	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
kalaaleqarusupporlu	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
kalaaleqarusunngilaq	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
kalaaleqarusunngilarli	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
kalaaleqarusunngilarlu	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
laaleqassanngilaq	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg
kalaaleqassanngilarli	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
kalaaleqassanngilarlu	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
kalaaleqassaaq	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg
kalaaleqassaarli	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LI
kalaaleqassaarlu	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LU
kalaaleqanngilaq	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg
kalaaleqanngilarli	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LI
kalaaleqanngilarlu	kalaaleq+Sem/Hnat+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LU
kalaallimik	kalaaleq+Sem/Hnat+N+Ins+Sg
kalaallimilli	kalaaleq+Sem/Hnat+N+Ins+Sg+LI
kalaallimillu	kalaaleq+Sem/Hnat+N+Ins+Sg+LU
kalaallimilli	kalaaleq+Sem/Hnat+N+Abl+Sg+LI
kalaallimillu	kalaaleq+Sem/Hnat+N+Abl+Sg+LU
kalaallimit	kalaaleq+Sem/Hnat+N+Abl+Sg
kalaallimi	kalaaleq+Sem/Hnat+N+Lok+Sg
kalaallimili	kalaaleq+Sem/Hnat+N+Lok+Sg+LI
kalaallimilu	kalaaleq+Sem/Hnat+N+Lok+Sg+LU
kalaallimulli	kalaaleq+Sem/Hnat+N+Trm+Sg+LI
kalaallimullu	kalaaleq+Sem/Hnat+N+Trm+Sg+LU
kalaallimut	kalaaleq+Sem/Hnat+N+Trm+Sg
kalaallisulli	kalaaleq+N+Sg+Aeq+Sem/ling+Adv+LI
kalaallisullu	kalaaleq+N+Sg+Aeq+Sem/ling+Adv+LU
kalaallisut	kalaaleq+N+Sg+Aeq+Sem/ling+Adv
ippassarli	ippassaq+Adv+LI
ippassarlu	ippassaq+Adv+LU
ippassaq	ippassaq+Adv
illoqarpilli	illu+Sem/build+QAR+Sem/have+V+Int+2Sg+LI
illoqarpillu	illu+Sem/build+QAR+Sem/have+V+Int+2Sg+LU
illoqarpit	illu+Sem/build+QAR+Sem/have+V+Int+2Sg
illoqarpoq	illu+Sem/build+QAR+Sem/have+V+Ind+3Sg
illoqarporli	illu+Sem/build+QAR+Sem/have+V+Ind+3Sg+LI
illoqarporlu	illu+Sem/build+QAR+Sem/have+V+Ind+3Sg+LU
illoqarusussavilli	illu+Sem/build+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI
illoqarusussavillu	illu+Sem/build+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU
illoqarusussavit	illu+Sem/build+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg
illoqarusussanngilaq	illu+Sem/build+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
illoqarusussanngilarli	illu+Sem/build+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
illoqarusussanngilarlu	illu+Sem/build+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
illoqarusussanngilanga	illu+Sem/build+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg
illoqarusussanngilangali	illu+Sem/build+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI
illoqarusussanngilangalu	illu+Sem/build+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU
