taanna	TA+una+Gram/Dem+Pron+Abs+Sg
whiskytorusussaarlu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
whiskytorusussaanga	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg
whiskytorusussaangali	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI
whiskytorusussaangalu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU
whiskytorusuppilli	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI
whiskytorusuppillu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU
whiskytorusuppit	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg
whiskytorusuppoq	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
whiskytorusupporli	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
whiskytorusupporlu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
whiskytorusuppunga	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg
whiskytorusuppungali	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI
whiskytorusuppungalu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU
whiskytorusunngilaq	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
whiskytorusunngilarli	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
whiskytorusunngilarlu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
whiskytorusunngilanga	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg
whiskytorusunngilangali	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI
whiskytorusunngilangalu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU
whiskytorusunngilatilli	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI
whiskytorusunngilatillu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU
whiskytorusunngilatit	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg
whiskytorpunga	whisky+Sem/drink-h+OLang/DAN+TUR+V+Ind+1Sg
whiskytorpungali	whisky+Sem/drink-h+OLang/DAN+TUR+V+Ind+1Sg+LI
whiskytorpungalu	whisky+Sem/drink-h+OLang/DAN+TUR+V+Ind+1Sg+LU
utoqqatsissavilli	utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Int+2Sg+LI
utoqqatsissavillu	utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Int+2Sg+LU
utoqqatsissavit	utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Int+2Sg
utoqqatsissanngilaq	utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Ind+3Sg
utoqqatsissanngilarli	utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
utoqqatsissanngilarlu	utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
utoqqatsissanngilanga	utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Ind+1Sg
utoqqatsissanngilangali	utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI
utoqqatsissanngilangalu	utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU
utoqqatsissanngilatilli	utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI
utoqqatsissanngilatillu	utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU
utoqqatsissanngilatit	utoqqatser+Sem/speak_emot+Gram/IV+SSA+NNGIT+V+Int+2Sg
utoqqatsissaaq	utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Ind+3Sg
utoqqatsissaarli	utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Ind+3Sg+LI
utoqqatsissaarlu	utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Ind+3Sg+LU
utoqqatsissaanga	utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Ind+1Sg
utoqqatsissaangali	utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Ind+1Sg+LI
utoqqatsissaangalu	utoqqatser+Sem/speak_emot+Gram/IV+SSA+V+Ind+1Sg+LU
utoqqatsinngilaq	utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Ind+3Sg
utoqqatsinngilarli	utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Ind+3Sg+LI
utoqqatsinngilarlu	utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Ind+3Sg+LU
utoqqatsinngilanga	utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Ind+1Sg
utoqqatsinngilangali	utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Ind+1Sg+LI
utoqqatsinngilangalu	utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Ind+1Sg+LU
utoqqatsinngilatilli	utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Int+2Sg+LI
utoqqatsinngilatillu	utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Int+2Sg+LU
utoqqatsinngilatit	utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Int+2Sg
utoqqatserpilli	utoqqatser+Sem/speak_emot+V+Int+2Sg+LI
utoqqatserpillu	utoqqatser+Sem/speak_emot+V+Int+2Sg+LU
utoqqatserpit	utoqqatser+Sem/speak_emot+V+Int+2Sg
utoqqatserusussavilli	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI
utoqqatserusussavillu	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU
utoqqatserusussavit	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg
utoqqatserusussanngilaq	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
utoqqatserusussanngilarli	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
utoqqatserusussanngilarlu	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
utoqqatserusussanngilanga	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg
utoqqatserusussanngilangali	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI
utoqqatserusussanngilangalu	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU
utoqqatserusussanngilatilli	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI
utoqqatserusussanngilatillu	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU
utoqqatserusussanngilatit	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg
utoqqatserusussaaq	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
utoqqatserusussaarli	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
utoqqatserusussaarlu	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
utoqqatserusussaanga	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg
utoqqatserusussaangali	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI
utoqqatserusussaangalu	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU
utoqqatserusuppilli	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI
utoqqatserusuppillu	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU
utoqqatserusuppit	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg
utoqqatserusuppoq	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
utoqqatserusupporli	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
utoqqatserusupporlu	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
utoqqatserusuppunga	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg
utoqqatserusuppungali	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI
utoqqatserusuppungalu	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU
